ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0001palmer_sem1_num1;6.2;50.40964477;54.09238816;30.61146375;23.79923841;86.50185701;56.31668047;54.95619841;123.7910607;138.3694492
0003palmer_sem1_num2;4.5;52.10687853;60.12181436;32.09442592;25.08573243;86.20179386;61.39703306;60.61137704;121.9736075;139.4773988
0005palmer_sem1_num3;5.3;45.94772158;56.56812927;29.85528293;28.42600394;83.87753335;56.4311297;56.04154143;121.0573983;138.74292680000002
0007palmer_sem1_num4;4.4;46.42208144;50.51238829;31.46881778;24.95624831;71.67479445;51.33776395;50.85567437;124.057644;136.24885930000002
0009palmer_sem1_num5;5.5;56.51294954;71.01477237;30.40425377;29.60312709;107.3410639;70.84539428;71.0211333;118.1493697;144.36706919999997
0011palmer_sem1_num6;3.9;58.87329232;72.59650929;32.27199212;29.9862053;106.7236622;72.44382736;72.82391985;118.1601423;144.81807609999996
0013palmer_sem1_num7;5.2;45.03709768;55.68461753;31.31670428;30.23715415;79.93871685;55.50574186;55.04507712;121.0956836;138.05580569999998
0015palmer_sem1_num8;4.3;48.70310938;61.31006292;30.85022839;30.16186457;90.64405428;61.10019886;60.84301009;119.77012859999998;140.403675
0841tommy_sem1_num1;5.3;52.1573963;57.63941848;37.72900745;29.49144149;68.21421956;58.41078958;58.34276447;123.5837152;136.52517360000002
0843tommy_sem1_num2;5.9;51.94254611;56.21170424;37.24873154;25.74546714;72.4476305;58.32217219;57.28397389999999;123.8435162;136.6825703
0845tommy_sem1_num3;6.1;48.84790654;57.23856606;37.4331747;31.82582457;70.47788503;57.47563815;57.43016182;122.3588525;136.3430108
0847tommy_sem1_num4;6.0;55.21742339;67.41789081;38.0635352;30.81191055;86.28001227;67.77793839;67.76651259;120.1232424;139.98509019999997
0849tommy_sem1_num5;6.2;52.45689066;63.7221767;38.05665445;30.18437329;79.15256494;63.6782182;63.96150579;120.7708234;138.46157380000002
0851tommy_sem1_num6;5.8;55.47657768;68.43013357;36.54352057;31.12944102;91.47388673;68.6092725;68.69759069;119.5134916;141.0321282
0853tommy_sem1_num7;6.0;56.65735066;66.86472773;39.79729515;29.20214961;80.80688628;66.90488366;67.61945357;120.98721100000002;139.2188447
0855tommy_sem1_num8;6.1;52.27221455;62.4457686;38.20883008;32.69834063;79.43889792;62.33876176;62.71201531;120.9941198;138.4756628
0121palmer_sem2_num1;6.2;53.07793276;63.26958929;31.83804301;27.06899338;89.90533675;64.07269742;63.70459888;120.83476;140.5437478
0123palmer_sem2_num2;4.5;51.65679998;64.75843591;29.98681906;28.53172515;94.33847976;65.02392155;64.38067128;119.7041294;141.45521430000005
0125palmer_sem2_num3;5.9;49.6815569;61.36808621;31.13563354;28.58500177;89.97225105;61.57693321;61.24551512;120.4401246;140.1741816
0127palmer_sem2_num4;4.6;47.55392622;62.39700392;30.64790785;30.83282475;93.12025018;62.30229939;61.72741423;119.1637504;140.3994491
0129palmer_sem2_num5;6.0;48.22419311;59.22168249999999;28.72233515;28.58138601;96.19183551;59.42637674;58.90226894;120.4613161;140.5290274
0131palmer_sem2_num6;4.1;48.44522547;61.1835988;30.21529162;29.60564622;92.06207228;61.1196988;60.6737516;119.9142012;140.2633941
0133palmer_sem2_num7;5.3;55.34097785;68.09500463;33.12449837;28.82847145;92.33373345;68.14777599;68.27553599;119.4592293;141.9813781
0135palmer_sem2_num8;4.2;52.26226835;70.24708284;29.88000445;31.04288846;105.6060404;70.14607188;69.60653776;117.2536007;143.6640195
0961tommy_sem2_num1;5.7;44.69761979;49.43954325;32.500892900000004;28.14827644;71.92181971;50.63940532;49.45829208;123.8810791;135.7263841
0963tommy_sem2_num2;6.1;51.34758927;56.89717049;34.68061126;28.34328614;81.04497987;58.55207566;57.6317058;123.048369;137.902965
0965tommy_sem2_num3;6.5;53.73293368;67.93577223;33.35658201;30.92487335;98.5171876;67.99971206;67.92424535;118.8388312;142.0486995
0967tommy_sem2_num4;6.5;51.94338016;57.57194696;34.69214799;27.08251439;78.70669166;58.24415583;58.29156207;123.1665021;137.7768523
0969tommy_sem2_num5;5.5;61.72765662;69.08273207;32.39886112;26.79801564;111.6048338;71.73907455;70.62995241;120.7153477;144.4302926
0971tommy_sem2_num6;6.9;49.84668246;65.15673123;33.27799222;33.23941361;99.5054574;65.17652829999999;64.67741728;118.34969209999998;141.3725072
0973tommy_sem2_num7;5.8;60.79225561;72.02271929999998;33.85327694;28.69204012;101.547751;72.32312577;72.99224771;119.6945541;143.5224966
0975tommy_sem2_num8;5.6;51.46992303;61.68177945;34.02897766;31.61169624;91.55724052;61.98501365;61.90053815;120.546698;140.0977462
0241palmer_sem3_num1;5.4;52.94632664;65.87785809;29.32833298;29.74126234;107.4730367;66.3693699;65.92141927;118.8329087;143.5067847
0243palmer_sem3_num2;5.1;42.5199311;53.94570709;29.35002632;30.42179814;81.9226697;53.90768865;53.07366073;121.0078524;137.8336855
0245palmer_sem3_num3;6.0;44.07751306;58.66365699;30.29531878;32.46783421;87.58055376;58.58556801;57.66769666;119.49688290000002;139.1816211
0247palmer_sem3_num4;5.6;49.73340176;63.37059549999999;32.64124881;33.04148894;91.68487928;63.3222844;63.11206781;119.1753018;140.7460919
0249palmer_sem3_num5;6.0;49.72612752;54.01072232;33.09399488;24.96892428;74.02341296;56.3360223;54.79831615;123.7248435;137.1836601
0251palmer_sem3_num6;5.0;45.40650322;54.7226529;31.31619744;30.52129107;75.77625988;54.76192352;54.28693357;121.8508624;137.5090501
0253palmer_sem3_num7;6.2;45.7771413;49.05554361;33.04095653;26.63189488;66.65539616;50.97227667;49.58669875;124.72145659999998;135.0262958
0255palmer_sem3_num8;4.6;46.0774032;56.74292592;31.28328108;31.80389743;79.82599566;56.76872327;56.29004781;121.0596774;138.41089119999998
1081tommy_sem3_num1;6.7;48.58777571;53.75473203;29.3445978;26.20427554;92.33372741;55.45398896;54.19515845;122.9295561;139.1144606
1083tommy_sem3_num2;5.8;54.92264308;70.15084178;29.59942077;30.69186844;112.1967445;70.16207247;70.12016755;117.6639854;144.818409
1085tommy_sem3_num3;6.2;50.60319175;55.80593655;30.5048012;27.41848966;95.68254905;57.70927407;56.412337;122.5934023;139.9948814
1087tommy_sem3_num4;5.8;51.45128417;57.28590234;30.277696;27.77355821;95.15898924;57.88285912;57.95446885;122.2314504;140.3144
1089tommy_sem3_num5;5.4;61.50113608;61.35839836;32.40911809;20.78069326;103.6220131;69.13089223;64.38589447;124.7168966;141.5610604
1091tommy_sem3_num6;6.0;47.56412697;57.24293398;31.24426361;31.62569275;92.1464173;57.31598572;57.23642245;120.7668009;139.7466206
1093tommy_sem3_num7;5.9;55.36980033;65.61666221;30.1069102;28.42505894;102.0178472;65.71823584;66.11198182;120.121378;142.83949199999995
1095tommy_sem3_num8;5.9;48.91190204;59.5941649;30.19526345;29.63104843;92.64474958;59.61878307;59.5009105;120.5112763;140.3440698
0361palmer_sem4_num1;6.0;42.76290143;51.50048464;25.79921855;30.57528881;98.40581436;51.69577713;50.70913731;121.1889551;139.63488080000002
0363palmer_sem4_num2;5.1;39.54882552;48.88576336;26.36089679;31.26700018;89.24367813;48.81302019;47.63680489;121.50118290000002;137.7607885
0365palmer_sem4_num3;6.2;41.27047138;45.54651418;27.86095928;26.95431838;77.27675956;46.70483163;45.11813218;123.9657795;136.01446140000002
0367palmer_sem4_num4;5.2;45.50903536;54.26663025;25.90505915;30.55575616;98.37862801;54.66627149999999;53.65215213;121.2182388;140.19531940000002
0369palmer_sem4_num5;5.1;41.80501146;48.53752842;27.00825477;28.63400171;87.87603617;50.19518871;47.83224518;122.7101518;137.528504
0371palmer_sem4_num6;7.0;37.37120104;42.79404845;26.44541344;28.95409854;74.72128972;43.1500485;41.54229470000001;123.6962404;135.28002780000003
0373palmer_sem4_num7;6.4;40.31008244;46.39076941;27.51347265;28.99045809;80.09866296;46.88594521;45.54727077;123.0762044;136.5544824
0375palmer_sem4_num8;4.6;38.57681567;40.43220145;27.06857263;26.33208418;68.54262146;43.07105635;39.70799633;125.5675127;134.1494503
1201tommy_sem4_num1;6.2;52.39669772;48.70159534;27.88415714;28.46122441;105.9979138;56.63273014;50.9614308;126.736859;139.21750419999998
1203tommy_sem4_num2;5.8;57.34272429;68.89623509;30.08076156;29.131038300000004;111.3301712;69.41200079;69.43110987;119.052402;144.6683543
