ind;time;sst;firmeza;dominant_HSV;long_gradient;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full;RG_rate;RB_rate;SH_rate;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff;region_0_R;region_0_G;region_0_B;region_1_R;region_1_G;region_1_B;region_2_R;region_2_G;region_2_B;region_3_R;region_3_G;region_3_B;region_4_R;region_4_G;region_4_B;region_0_H;region_0_S;region_0_V;region_1_H;region_1_S;region_1_V;region_2_H;region_2_S;region_2_V;region_3_H;region_3_S;region_3_V;region_4_H;region_4_S;region_4_V;region_0_L;region_0_a;region_0_b;region_1_L;region_1_a;region_1_b;region_2_L;region_2_a;region_2_b;region_3_L;region_3_a;region_3_b;region_4_L;region_4_a;region_4_b;0_1_R_diff;0_1_G_diff;0_1_B_diff;0_2_R_diff;0_2_G_diff;0_2_B_diff;0_3_R_diff;0_3_G_diff;0_3_B_diff;0_4_R_diff;0_4_G_diff;0_4_B_diff;1_2_R_diff;1_2_G_diff;1_2_B_diff;1_3_R_diff;1_3_G_diff;1_3_B_diff;1_4_R_diff;1_4_G_diff;1_4_B_diff;2_3_R_diff;2_3_G_diff;2_3_B_diff;2_4_R_diff;2_4_G_diff;2_4_B_diff;3_4_R_diff;3_4_G_diff;3_4_B_diff;0_1_H_diff;0_1_S_diff;0_1_V_diff;0_2_H_diff;0_2_S_diff;0_2_V_diff;0_3_H_diff;0_3_S_diff;0_3_V_diff;0_4_H_diff;0_4_S_diff;0_4_V_diff;1_2_H_diff;1_2_S_diff;1_2_V_diff;1_3_H_diff;1_3_S_diff;1_3_V_diff;1_4_H_diff;1_4_S_diff;1_4_V_diff;2_3_H_diff;2_3_S_diff;2_3_V_diff;2_4_H_diff;2_4_S_diff;2_4_V_diff;3_4_H_diff;3_4_S_diff;3_4_V_diff;0_1_L_diff;0_1_a_diff;0_1_b_diff;0_2_L_diff;0_2_a_diff;0_2_b_diff;0_3_L_diff;0_3_a_diff;0_3_b_diff;0_4_L_diff;0_4_a_diff;0_4_b_diff;1_2_L_diff;1_2_a_diff;1_2_b_diff;1_3_L_diff;1_3_a_diff;1_3_b_diff;1_4_L_diff;1_4_a_diff;1_4_b_diff;2_3_L_diff;2_3_a_diff;2_3_b_diff;2_4_L_diff;2_4_a_diff;2_4_b_diff;3_4_L_diff;3_4_a_diff;3_4_b_diff;area;height;width;diameter;bcd;cd;dd
0001palmer_sem1_num1;35;6.2;86.8;1;-0.007911348;50.40964477;54.09238816;30.61146375;23.79923841;86.50185701;56.31668047;54.95619841;123.7910607;138.3694492;0.942032196;1.646860181;0.275521622;-3.682743395;19.79818102;23.48092441;40.83860656;41.00903677;28.08623714;47.06046756;50.36461777;28.49713857;53.02638012;64.12129563;29.71714409;-6.221861008;-5.96591255;-12.18777356;-9.355580995;-13.75667786;-23.11225886;-0.410901439;-1.220005512;-1.630906951;47.09654593;45.54292667;34.70047315;45.94398873;43.84966777;25.66148136;47.18358947;50.29045342;27.68122084;52.58021253;61.25301585;28.40672333;53.8788501;64.76070778;33.60066172;12.15771389;30.90696813;51.52754145;20.31551381;90.07424591;50.00325459;31.12055811;113.6955311;53.17915936;32.09493868;121.2598901;61.53528906;23.48273186;77.24924601;64.45773547;48.55259562;127.9020577;130.6864722;46.00273507;127.1141213;136.7424542;51.92429682;122.6950283;141.2259365;61.87663906;119.5515302;144.6002528;65.12566965;121.6247615;138.6915848;1.152557201;1.693258902;9.038991797;-0.087043533;-4.747526743;7.019252317;-5.483666599;-15.71008917;6.293749827;-6.782304168;-19.2177811;1.099811429;-1.239600735;-6.440785645;-2.01973948;-6.636223801;-17.40334808;-2.74524197;-7.934861369;-20.91104;-7.939180368;-5.396623066;-10.96256243;-0.72550249;-6.695260635;-14.47025436;-5.919440889;-1.298637569;-3.507691927;-5.193938399;-8.157799911;-59.16727778;1.524286855;-18.96284422;-82.78856293;-1.651617912;-19.93722479;-90.35292199;-10.00774761;-11.32501796;-46.34227788;-12.93019402;-10.80504431;-23.62128515;-3.175904767;-11.77942488;-31.18564421;-11.53203447;-3.167218052;12.8249999;-14.45448087;-0.974380568;-7.564359056;-8.356129701;7.637826258;36.44628505;-11.27857611;8.612206826;44.01064411;-2.922446407;2.549860546;0.787936429;-6.055981995;-3.371701203;5.207029466;-10.53946429;-13.32404344;8.350527571;-13.91378058;-16.57307404;6.277296212;-8.005112587;-5.921561749;4.419093036;-4.483482298;-15.87390398;7.562591142;-7.857798581;-19.12293458;5.489359783;-1.949130592;-9.952342235;3.143498105;-3.374316284;-13.20137283;1.070266747;2.534351706;-3.249030598;-2.073231359;5.908667989;1192008;1782.5;946.5;1231.949342;1.023254063;-0.025685087;-1.165113774
0003palmer_sem1_num2;35;4.5;86.75;1;-0.014241148;52.10687853;60.12181436;32.09442592;25.08573243;86.20179386;61.39703306;60.61137704;121.9736075;139.4773988;0.876282013;1.62326531;0.290717108;-8.014935829;20.01245261;28.02738843;41.96269678;44.52973877;29.26464572;48.92541735;56.4587683;29.99477054;58.15632155;74.22308876;30.92851521;-6.962720573;-9.230904201;-16.19362477;-11.92902953;-17.76432046;-29.69334999;-0.73012482;-0.933744679;-1.663869498;48.85285822;47.39404759;34.53439303;43.27731098;43.88105459;27.18154982;48.55172928;56.61280392;28.75029617;56.38365561;69.93479322;30.18332108;58.25812397;73.628493;33.80200676;10.71469563;29.55725213;51.94651557;21.17649391;69.90023792;48.39133293;33.41198883;113.339724;58.48480951;34.72848425;130.6526558;70.42208171;25.60222214;88.36892123;73.26037748;50.26854745;127.3571011;130.858885;46.39115028;125.9830019;134.9813009;57.71389472;120.4225327;142.4447688;70.20559688;116.6163661;147.6869805;73.58867684;119.4063849;141.5425593;5.575547241;3.512992998;7.352843212;0.301128944;-9.21875633;5.78409686;-7.530797385;-22.54074564;4.351071951;-9.405265751;-26.23444542;0.73238627;-5.274418296;-12.73174933;-1.568746352;-13.10634463;-26.05373863;-3.001771262;-14.98081299;-29.74743841;-6.620456943;-7.83192633;-13.32198931;-1.433024909;-9.706394695;-17.01568909;-5.05171059;-1.874468365;-3.69369978;-3.618685681;-10.46179828;-40.3429858;3.555182643;-22.6972932;-83.78247182;-6.53829394;-24.01378862;-101.0954036;-18.47556614;-14.88752651;-58.8116691;-21.31386191;-12.23549492;-43.43948603;-10.09347658;-13.55199034;-60.75241783;-22.03074878;-4.425728223;-18.46868331;-24.86904455;-1.316495422;-17.31293181;-11.9372722;7.809766696;24.97080272;-14.77556797;9.126262118;42.28373453;-2.838295766;3.877397172;1.374099184;-4.122415902;-7.445347273;6.934568427;-11.58588386;-19.93704943;10.74073496;-16.82809552;-23.32012939;7.950716223;-10.68367435;-11.32274444;5.560469243;-7.463467953;-23.8144466;9.366635771;-12.70567962;-27.19752656;6.576617039;-6.561258447;-12.49170216;3.806166529;-5.242211663;-15.87478212;1.016147796;0.902209506;-3.383079961;-2.790018733;6.144421169;1182720;1780.5;943;1227.14469;1.022764602;-0.025744211;-1.211900836
0005palmer_sem1_num3;35;5.3;98.45;1;-0.025759832;45.94772158;56.56812927;29.85528293;28.42600394;83.87753335;56.4311297;56.04154143;121.0573983;138.7429268;0.818917449;1.539373402;0.341408814;-10.62040769;16.09243865;26.71284634;31.78970962;38.51646654;24.91502566;44.45026662;55.42546645;27.94254474;51.10777401;65.89632731;29.59149323;-12.660557;-6.657507386;-19.31806439;-16.90899992;-10.47086086;-27.37986077;-3.027519085;-1.648948483;-4.676467569;39.2965425;42.40610645;29.97877835;36.11743385;43.96326416;24.59210218;43.51072843;54.99511054;26.39270779;50.43465423;64.49196101;28.28075607;50.86801645;64.33931636;32.69365395;11.97328812;24.14876297;46.22213565;28.96521614;71.65526964;45.88302304;39.26930058;117.4086497;55.51143299;37.7441342;130.7777932;64.38063316;24.3562137;76.06257522;63.93381871;45.25870565;126.6347094;130.2928995;45.13809501;123.061238;135.585466;55.10574603;118.3240581;142.919437;64.19954406;116.2421761;146.5695867;63.95776698;120.964706;138.4392881;3.179108645;-1.557157706;5.386676168;-4.214185937;-12.58900409;3.586070562;-11.13811174;-22.08585456;1.698022286;-11.57147395;-21.93320991;-2.714875602;-7.393294582;-11.03184638;-1.800605605;-14.31722038;-20.52869685;-3.688653882;-14.75058259;-20.3760522;-8.10155177;-6.923925801;-9.496850469;-1.888048277;-7.357288013;-9.344205821;-6.300946164;-0.433362212;0.152644648;-4.412897888;-16.99192802;-47.50650668;0.339112619;-27.29601245;-93.2598867;-9.289297337;-25.77084608;-106.6290303;-18.15849751;-12.38292558;-51.91381225;-17.71168306;-10.30408444;-45.75338002;-9.628409956;-8.77891806;-59.12252359;-18.49761012;4.60900244;-4.407305573;-18.05079568;1.525166375;-13.36914356;-8.869200168;14.91308688;41.34607445;-8.422385722;13.3879205;54.71521801;0.446814447;0.12061064;3.573471306;-5.292566512;-9.847040383;8.310651239;-12.62653756;-18.94083842;10.39253322;-16.27668728;-18.69906133;5.670003321;-8.146388627;-9.967651023;4.737179933;-7.33397105;-19.06144906;6.819061919;-10.98412077;-18.81967197;2.096532015;-2.853822116;-9.093798034;2.081881986;-3.65014972;-8.852020951;-2.640647918;4.480148935;0.241777082;-4.722529904;8.130298655;1341610;1844;1054;1306.977513;1.030829843;-0.025338046;-1.125395937
0007palmer_sem1_num4;35;4.4;95.9;1;-0.029457805;46.42208144;50.51238829;31.46881778;24.95624831;71.67479445;51.33776395;50.85567437;124.057644;136.2488593;0.918582864;1.479502822;0.352937707;-4.090306847;14.95326366;19.04357051;40.35950142;40.58347605;30.04499068;43.28727267;45.53587092;29.47207286;49.11275328;61.17127649;29.79436093;-2.927771253;-5.825480603;-8.753251856;-4.952394867;-15.63540557;-20.58780044;0.572917821;-0.322288073;0.250629748;47.46377207;40.05111125;31.74633483;41.15421739;40.89802778;26.82516652;42.743876;45.5378927;28.12889838;47.10586409;55.0298639;29.26361516;51.34731874;62.70222499;34.0411013;11.75771695;23.16163337;50.61666538;21.47408214;64.38474622;44.42979733;32.84352075;90.1554798;47.02200202;35.26308883;109.9998044;54.97819427;23.62440706;71.2661471;62.35735836;47.29751443;128.0978608;129.8457667;42.79180136;126.504442;134.1241827;47.11526116;123.611915;138.0223366;55.18820076;120.2112999;141.8267861;62.69936326;121.8120851;137.5045763;6.309554684;-0.846916529;4.921168313;4.719896071;-5.486781454;3.61743645;0.357907981;-14.97875266;2.482719667;-3.883546664;-22.65111375;-2.294766466;-1.589658613;-4.639864924;-1.303731863;-5.951646703;-14.13183613;-2.438448646;-10.19310135;-21.80419722;-7.215934779;-4.36198809;-9.491971203;-1.134716783;-8.603442735;-17.16433229;-5.912202916;-4.241454646;-7.67236109;-4.777486132;-9.716365191;-41.22311285;6.186868058;-21.0858038;-66.99384643;3.594663362;-23.50537188;-86.83817106;-4.361528886;-11.86669011;-48.10451373;-11.74069298;-11.36943861;-25.77073358;-2.592204695;-13.78900669;-45.6150582;-10.54839694;-2.150324918;-6.881400878;-17.92756104;-2.41956808;-19.84432463;-7.956192248;9.219113693;18.8893327;-15.33535634;11.63868177;38.73365733;-7.379164095;4.505713073;1.593418863;-4.278415912;0.182253269;4.485945865;-8.176569874;-7.890686331;7.886560953;-11.98101937;-15.40184883;6.285775765;-7.658809566;-4.323459804;2.892527001;-3.898153962;-12.3963994;6.29314209;-7.70260346;-19.9075619;4.692356902;-3.380393654;-8.0729396;3.400615088;-3.804449498;-15.5841021;1.7998299;0.517760308;-7.511162501;-1.600785188;4.322209806;1283671.5;1821.5;1020;1278.412087;1.03530964;-0.025465527;-1.230666454
0009palmer_sem1_num5;35;5.5;120;1;-0.015950842;56.51294954;71.01477237;30.40425377;29.60312709;107.3410639;70.84539428;71.0211333;118.1493697;144.3670692;0.796630182;1.858686098;0.276339281;-14.50182284;26.10869577;40.61051861;37.84208062;48.0694824;25.36450168;57.43035164;73.45025714;28.33658881;63.59693192;80.36858894;30.92619312;-19.58827102;-6.166580285;-25.75485131;-25.38077474;-6.918331803;-32.29910655;-2.972087133;-2.589604314;-5.561691447;49.18726373;54.7353823;31.68345977;46.3130709;60.09516579;24.41956258;56.98434701;73.33344551;27.24056415;62.95676118;80.51058186;29.04011825;61.98468505;77.60132624;33.62655887;14.43323198;37.13216313;53.71194066;33.19565096;110.4526942;60.01308555;39.72863541;151.6037527;73.54469336;36.65205062;149.8079905;80.37260263;24.16749439;88.44120169;77.17190345;53.58021389;125.4259022;132.2043026;59.79077296;118.7839441;142.5806835;73.70768145;113.7592865;151.7629092;80.69210382;113.3482472;153.113838;77.83745712;119.3541868;142.3002541;2.874192835;-5.359783492;7.263897189;-7.797083279;-18.59806321;4.442895618;-13.76949745;-25.77519956;2.643341513;-12.79742131;-22.86594395;-1.943099104;-10.67127611;-13.23827972;-2.821001571;-16.64369028;-20.41541607;-4.620555676;-15.67161415;-17.50616045;-9.206996293;-5.972414167;-7.177136352;-1.799554106;-5.000338033;-4.267880737;-6.385994722;0.972076134;2.909255615;-4.586440617;-18.76241899;-73.32053104;-6.301144889;-25.29540343;-114.4715896;-19.8327527;-22.21881864;-112.6758274;-26.66066196;-9.734262406;-51.30903856;-23.45996279;-6.532984447;-41.15105854;-13.53160781;-3.456399654;-39.35529632;-20.35951708;9.028156579;22.01149247;-17.1588179;3.076584793;1.795762212;-6.827909264;15.56114103;63.16255101;-3.627210085;12.48455623;61.3667888;3.200699179;-6.210559071;6.641958099;-10.37638087;-20.12746756;11.66661564;-19.55860656;-27.11188993;12.07765493;-20.90953537;-24.25724323;6.071715377;-10.09595148;-13.91690849;5.02465754;-9.182225688;-20.90133085;5.43569683;-10.53315449;-18.04668416;-0.570242722;0.280429391;-6.984422362;0.41103929;-1.350928805;-4.129775671;-5.594900263;9.462655079;2.854646691;-6.005939552;10.81358388;1372392;1825.5;1040;1321.88318;1.035545386;-0.025340808;-1.246281269
0011palmer_sem1_num6;35;3.9;75.45;1;0.008756192;58.87329232;72.59650929;32.27199212;29.9862053;106.7236622;72.44382736;72.82391985;118.1601423;144.8180761;0.811189615;1.823176737;0.281672539;-13.72321697;26.6013002;40.32451717;40.34984536;47.94619036;26.64327224;59.67994975;75.84590636;30.04771936;70.93550158;88.8848906;34.54982379;-19.33010438;-11.25555183;-30.58565621;-27.899716;-13.03898424;-40.93870024;-3.404447119;-4.502104427;-7.906551546;50.17671918;53.84379724;32.32846081;46.92234259;57.87147891;27.04252101;59.64998328;75.8867152;29.69771641;69.02308321;87.57755344;31.88048804;70.78837491;86.8467506;38.01982679;19.44914073;50.30041449;50.38851815;34.6956259;109.7704158;58.29497805;39.39460919;148.7405817;76.11225947;34.81634812;143.4317951;87.4121849;21.72763012;82.1273067;86.2724806;50.04774401;124.8600839;133.5668718;58.35579257;119.2784009;142.4160237;76.40070522;113.6802992;152.0377367;87.97881007;113.2454391;153.6444184;87.66109336;119.6541356;142.5686806;3.254376596;-4.027681664;5.285939803;-9.473264101;-22.04291796;2.630744405;-18.84636403;-33.7337562;0.447972776;-20.61165572;-33.00295336;-5.69136598;-12.7276407;-18.01523629;-2.655195398;-22.10074062;-29.70607453;-4.837967027;-23.86603232;-28.97527169;-10.97730578;-9.373099927;-11.69083824;-2.182771629;-11.13839162;-10.9600354;-8.322110385;-1.765291695;0.730802839;-6.139338757;-15.24648518;-59.47000135;-7.906459907;-19.94546846;-98.44016716;-25.72374133;-15.36720739;-93.13138063;-37.02366675;-2.278489395;-31.82689221;-35.88396246;-4.698983289;-38.97016581;-17.81728142;-0.120722215;-33.66137929;-29.11720685;12.96799578;27.64310913;-27.97750255;4.578261074;5.308786526;-11.29992543;17.66697907;66.61327495;-10.16022113;13.088718;61.30448842;1.139704297;-8.308048554;5.581682927;-8.849151941;-26.3529612;11.17978465;-18.47086486;-37.93106606;11.61464475;-20.0775466;-37.61334935;5.205948249;-9.001808833;-18.04491265;5.598101723;-9.621712922;-29.6230175;6.032961827;-11.22839466;-29.30530079;-0.375734679;-0.152656892;-11.57810485;0.434860104;-1.606681734;-11.26038815;-5.973836402;9.469056031;0.317716709;-6.408696506;11.07573776;1209224;1543.5;1045.5;1240.777924;1.065753421;-0.025674611;-1.113722601
0013palmer_sem1_num7;35;5.2;95.25;1;-0.017921899;45.03709768;55.68461753;31.31670428;30.23715415;79.93871685;55.50574186;55.04507712;121.0956836;138.0558057;0.810524566;1.438588787;0.379822512;-10.64751985;13.7203934;24.36791325;31.94543919;40.05200446;26.50903243;44.15463708;54.7637581;30.58489299;47.84562215;62.2017434;29.22293626;-12.20919789;-3.690985073;-15.90018297;-14.71175364;-7.437985297;-22.14973894;-4.075860554;1.361956725;-2.713903829;38.30302218;44.54478367;30.33872727;35.87502672;44.40165787;25.76652626;43.25380945;54.45397151;28.74746438;48.44632117;61.49881331;29.67312459;49.76223055;62.91657668;33.56662029;14.9277181;25.97068974;47.62486751;33.32626419;74.09551148;47.01473591;40.68424497;107.5219075;55.25251409;37.27526926;117.8821446;61.41733872;25.18437959;74.93505468;62.55914962;46.99324952;126.0850881;130.5703489;46.07560911;122.2108554;136.0101571;54.81645599;118.7018565;141.5686713;61.11576096;117.3629455;144.2092029;62.53597235;121.0532661;138.0152607;2.427995454;0.143125801;4.572201019;-4.950787273;-9.909187839;1.591262895;-10.14329899;-16.95402965;0.665602683;-11.45920837;-18.37179302;-3.227893012;-7.378782727;-10.05231364;-2.980938124;-12.57129445;-17.09715545;-3.906598336;-13.88720383;-18.51491882;-7.800094031;-5.19251172;-7.044841809;-0.925660213;-6.508421099;-8.462605179;-4.819155907;-1.315909379;-1.41776337;-3.893495695;-18.39854609;-48.12482174;0.610131598;-25.75652687;-81.55121772;-7.627646577;-22.34755116;-91.91145489;-13.79247121;-10.25666149;-48.96436495;-14.93428211;-7.357980785;-33.42639597;-8.237778175;-3.949005073;-43.78663314;-14.40260281;8.1418846;-0.839543206;-15.54441371;3.408975712;-10.36023717;-6.164824638;15.49986538;32.58685277;-7.306635533;12.09088967;42.94708994;-1.141810896;0.91764041;3.874232706;-5.439808256;-7.823206473;7.383231579;-10.99832241;-14.12251144;8.722142569;-13.63885403;-15.54272283;5.031822036;-7.444911836;-8.740846883;3.508998873;-5.558514155;-15.04015185;4.847909863;-8.19904577;-16.46036324;1.157589329;-2.00510358;-6.299304965;1.338910989;-2.640531616;-7.719516354;-2.351409544;3.553410575;-1.420211389;-3.690320533;6.193942191;1216535.5;1767.5;964;1244.562067;1.028402569;-0.02566135;-1.221583818
0015palmer_sem1_num8;35;4.3;83.2;1;-0.023272907;48.70310938;61.31006292;30.85022839;30.16186457;90.64405428;61.10019886;60.84301009;119.7701286;140.403675;0.795347758;1.579148104;0.333333597;-12.60695354;17.85288099;30.45983453;33.94136885;37.86496381;27.99137588;46.67733406;59.55783475;28.31782213;54.75619408;74.96568388;29.35202424;-12.73596521;-8.078860024;-20.81482523;-21.69287094;-15.40784913;-37.10072008;-0.326446248;-1.034202107;-1.360648355;38.05024825;41.42682187;31.22180795;38.2618097;45.12424522;26.84241362;46.16772673;59.3925953;27.33590875;54.73660091;73.24359099;28.76534351;55.29789747;73.65445636;32.3291038;13.59652453;22.4090769;44.51577593;31.40391948;72.22627604;47.00753565;41.45960126;128.4759035;60.06913592;38.4190225;140.8874093;73.07269555;26.12168959;90.05486234;73.0723047;44.25808845;126.7381764;130.115113;46.67781545;123.0356924;135.7645309;59.74918605;116.7070802;145.0416068;72.75526041;113.7097814;149.5881228;73.04572086;118.5755474;141.6341656;-0.211561456;-3.697423347;4.379394337;-8.11747848;-17.96577343;3.885899204;-16.68635266;-31.81676912;2.456464446;-17.24764923;-32.22763448;-1.107295848;-7.905917024;-14.26835008;-0.493495132;-16.4747912;-28.11934577;-1.92292989;-17.03608777;-28.53021114;-5.486690184;-8.56887418;-13.85099569;-1.429434758;-9.130170747;-14.26186106;-4.993195052;-0.561296568;-0.410865369;-3.563760294;-17.80739495;-49.81719914;-2.491759726;-27.86307673;-106.0668266;-15.55335999;-24.82249797;-118.4783324;-28.55691962;-12.52516506;-67.64578544;-28.55652878;-10.05568178;-56.2496275;-13.06160026;-7.015103019;-68.66113322;-26.0651599;5.282229889;-17.8285863;-26.06476905;3.040578761;-12.41150571;-13.00355963;15.33791167;38.42104121;-13.00316879;12.29733291;50.83254692;0.000390844;-2.419727001;3.702483987;-5.649417905;-15.4910976;10.03109621;-14.92649382;-28.49717196;13.02839496;-19.47300977;-28.78763242;8.162629004;-11.51905261;-13.0713706;6.328612226;-9.277075918;-26.07744496;9.325910976;-13.82359186;-26.36790542;4.460145016;-5.869634703;-13.00607437;2.99729875;-4.546515943;-13.29653482;-1.86846721;3.407441215;-0.290460453;-4.86576596;7.953957158;1241504.5;1786.5;968.5;1257.270727;1.023170679;-0.025625335;-1.269446395
0017palmer_sem1_num9;35;5.1;103.5;1;-0.009574754;51.93859813;57.72966926;31.49373204;24.09874021;86.13102092;59.47363869;58.53810859;122.7192679;139.0731829;0.9172945;1.649176327;0.276436227;-5.791071129;20.44486609;26.23593722;43.1621837;46.00674935;27.21290177;49.93399314;53.55891042;29.10852731;54.45537037;67.42368701;30.07280198;-6.771809442;-4.52137723;-11.29318667;-7.552161063;-13.86477659;-21.41693765;-1.895625542;-0.964274673;-2.859900215;41.86856274;42.43551007;29.38148577;46.97917058;46.63641895;25.81582371;49.71149638;53.65488795;27.99367359;53.43006286;63.46363988;29.66944892;54.93559414;67.60401469;33.0074411;10.1487718;25.98968276;52.45632937;19.58963215;77.38159727;52.6180856;30.74517041;113.7354831;56.95807256;34.71568455;128.0909222;64.05326187;25.49335819;86.23156198;67.1840256;51.01113593;127.142567;130.6348871;49.78827399;125.8211631;136.1992428;55.71015793;122.2147088;141.9045621;63.98711377;118.1246643;146.1644064;67.61716357;120.227701;140.5695401;-5.110607843;-4.200908874;3.56566206;-7.842933638;-11.21937787;1.387812179;-11.56150012;-21.02812981;-0.287963144;-13.0670314;-25.16850461;-3.625955323;-2.732325795;-7.018468998;-2.177849882;-6.450892275;-16.82722093;-3.853625204;-7.956423557;-20.96759574;-7.191617384;-3.71856648;-9.808751935;-1.675775323;-5.224097762;-13.94912674;-5.013767502;-1.505531282;-4.140374805;-3.337992179;-9.440860347;-51.39191451;-0.161756226;-20.5963986;-87.74580032;-4.50174319;-24.56691275;-102.1012394;-11.5969325;-15.34458638;-60.24187922;-14.72769623;-11.15553826;-36.35388582;-4.339986964;-15.1260524;-50.70932491;-11.43517627;-5.903726034;-8.849964712;-14.56594;-3.970514146;-14.35543909;-7.095189306;5.251812222;27.50392111;-10.22595304;9.222326369;41.8593602;-3.130763733;1.222861937;1.3214039;-5.564355718;-4.699021996;4.927858116;-11.26967507;-12.97597784;9.017902655;-15.52951932;-16.60602764;6.914865991;-9.934653004;-5.921883933;3.606454216;-5.705319355;-14.19883977;7.696498755;-9.965163597;-17.82888958;5.593462091;-4.370297285;-8.276955841;4.090044539;-4.259844242;-11.90700565;1.987007875;1.335022069;-3.630049805;-2.103036664;5.594866311;1149424;1744.5;956.5;1209.740843;1.022948031;-0.025699345;-1.194609759
0019palmer_sem1_num10;35;4.3;107.7;1;-0.038507537;49.18662886;59.68712632;31.26221963;28.81588156;89.33424055;59.91581705;59.45497494;120.5452637;140.0038162;0.834462369;1.575413286;0.326241258;-10.50049746;17.92440923;28.42490669;36.14773686;39.93039253;26.17486265;47.22291643;58.38099321;29.87077941;57.79459417;74.58013362;32.00609226;-11.07517958;-10.57167774;-21.64685732;-18.45060068;-16.19914041;-34.64974109;-3.69591676;-2.135312849;-5.831229609;53.73130079;51.07444846;41.97481279;40.07974268;46.16590065;26.51720058;46.76150051;58.20521906;28.40721813;53.78583522;69.03797447;29.65895598;58.13912287;73.71755624;35.21234327;15.65553625;38.91532153;47.03344838;29.63091278;85.59978561;47.8429166;37.00853262;111.9566713;59.28004231;37.19556151;128.7900255;68.87882453;24.78738382;82.14637301;73.23201343;45.43055849;126.2870089;131.6891519;46.64811729;122.6932082;137.1767407;59.20355672;118.4147175;143.0192196;68.70510598;115.5771058;147.5265147;73.6380185;119.6747369;140.7217052;13.65155811;4.908547812;15.45761222;6.969800276;-7.1307706;13.56759466;-0.054534428;-17.96352601;12.31585681;-4.407822084;-22.64310778;6.76246952;-6.681757835;-12.03931841;-1.890017551;-13.70609254;-22.87207383;-3.141755404;-18.0593802;-27.55165559;-8.695142695;-7.024334704;-10.83275541;-1.251737853;-11.37762236;-15.51233718;-6.805125144;-4.353287656;-4.679581762;-5.553387291;-13.97537654;-46.68446408;-0.809468221;-21.35299637;-73.04134977;-12.24659393;-21.54002526;-89.87470401;-21.84537616;-9.131847574;-43.23105148;-26.19856505;-7.377619839;-26.35688569;-11.43712571;-7.564648728;-43.19023993;-21.03590794;4.843528961;3.453412597;-25.38909683;-0.18702889;-16.83335424;-9.598782224;12.2211488;29.81029829;-13.95197112;12.40817769;46.64365253;-4.353188898;-1.217558799;3.593800616;-5.487588793;-13.77299823;7.872291408;-11.33006766;-23.27454748;10.70990308;-15.83736273;-28.20746001;6.612271934;-9.032553303;-12.55543943;4.278490792;-5.842478869;-22.05698869;7.11610246;-10.34977394;-26.98990121;3.018471318;-3.54496451;-9.501549256;2.837611668;-4.507295071;-14.43446178;-1.260019475;2.29751436;-4.932912525;-4.097631143;6.804809431;1247428;1744;990.5;1260.261915;1.024240602;-0.025672794;-1.308338658
