ind;sst;mean_H_full;mean_S_full;mean_V_full
0001palmer_sem1_num1;6.2;23.79923841282416;86.50185701397751;56.31668047107796
0003palmer_sem1_num2;4.5;25.08573243213593;86.20179386493902;61.39703305908545
0005palmer_sem1_num3;5.3;28.426003943336585;83.87753335233302;56.43112970457154
0007palmer_sem1_num4;4.4;24.95624831208199;71.67479444651241;51.3377639466769
0009palmer_sem1_num5;5.5;29.60312709273449;107.34106386963305;70.84539428126158
0011palmer_sem1_num6;3.9;29.98620530179477;106.72366224004259;72.44382735969342
0013palmer_sem1_num7;5.2;30.2371541525824;79.9387168459503;55.505741855595076
0015palmer_sem1_num8;4.3;30.16186456684356;90.64405428327291;61.10019885549941
0017palmer_sem1_num9;5.1;24.098740211779752;86.13102091870806;59.473638686654816
0019palmer_sem1_num10;4.3;28.81588156154841;89.33424054712513;59.91581704529675
0021palmer_sem1_num11;4.9;28.820873111902838;84.68215757812933;58.729223490182974
0023palmer_sem1_num12;4.2;28.24123170669065;81.09021298360723;57.29123547048597
0025palmer_sem1_num13;4.5;28.841638860054235;84.79762577909472;59.829816734078435
0027palmer_sem1_num14;4.2;26.816738511545445;89.9691856720217;66.66391562576499
0029palmer_sem1_num15;6.0;30.683070332811237;93.2952690968536;64.63131853973934
0031palmer_sem1_num16;4.2;26.58414366921764;96.85740674324606;68.5667326860864
0033palmer_sem1_num17;5.2;29.35843971631932;83.84980555214997;56.273527590569714
0035palmer_sem1_num18;5.2;28.386341137321462;75.69751387726376;53.47056175240041
0037palmer_sem1_num19;6.2;27.09540064392076;79.49134064235386;57.559597792131214
0039palmer_sem1_num20;4.5;25.93972954664813;90.7191148553944;63.214074274741726
0041palmer_sem1_num21;5.4;26.52200152263483;77.66390635997367;54.810343662126634
0043palmer_sem1_num22;3.9;25.249979097981356;90.93060170226966;64.22853610345736
0045palmer_sem1_num23;5.0;28.923148148607662;93.27430004498892;62.3469335213307
0047palmer_sem1_num24;4.3;27.03010518923532;83.81412477205235;55.23798755965665
0049palmer_sem1_num25;4.3;28.16892393381075;97.27663761361715;67.83605956618216
0051palmer_sem1_num26;4.2;26.15664898902524;75.62091760643985;52.232099230247144
0053palmer_sem1_num27;5.0;22.539210435024025;88.51439798045345;67.81613679847078
0055palmer_sem1_num28;4.4;24.78908649501775;92.3131288085054;69.56737465211663
0057palmer_sem1_num29;5.6;30.16941266992132;90.17650611861772;60.78125980603565
0059palmer_sem1_num30;4.5;25.307668699872146;78.40380657656485;54.82032374706705
0061palmer_sem1_num31;5.7;30.77679393463769;82.11045029194676;57.56205672264719
0063palmer_sem1_num32;4.2;27.818879649095702;82.0271452030144;56.90219446109335
0065palmer_sem1_num33;5.1;25.096136997843303;91.86961803207016;62.62249300351893
0067palmer_sem1_num34;4.3;28.0380082847856;88.56723267734861;63.27872157831085
0069palmer_sem1_num35;6.0;28.81796338326444;82.73131256992649;57.82837818073685
0071palmer_sem1_num36;4.3;30.64563274632441;93.8107357675934;64.25369097146903
0073palmer_sem1_num37;6.0;24.518977622959017;87.88907285441931;59.59742570923671
0075palmer_sem1_num38;4.5;27.978062173088823;92.05545256522687;64.14911388480161
0077palmer_sem1_num39;4.4;23.84999729391217;85.09565821022397;60.312943893997314
0079palmer_sem1_num40;3.8;27.78012780884265;83.23479202514477;58.849498881960194
0081palmer_sem1_num41;5.9;28.97168357820963;84.78361358656764;57.71330447877431
0083palmer_sem1_num42;4.0;26.721780866385394;94.92806356193321;65.86603286316247
0085palmer_sem1_num43;5.7;30.23716057250217;88.2848265537643;60.018745611120565
0087palmer_sem1_num44;4.2;27.60315382680113;91.95217097904148;60.92931576113725
0089palmer_sem1_num45;4.4;27.81590568785745;102.29883632609398;71.42374715607549
0091palmer_sem1_num46;4.1;27.268924915206732;86.52021610558211;60.17783019785945
0093palmer_sem1_num47;5.0;30.923152259069084;81.62624934336078;53.794297352778045
0095palmer_sem1_num48;4.5;26.80594734035829;88.86173597889109;64.41775939181852
0097palmer_sem1_num49;4.3;24.944869816802125;86.86779796230074;55.2946579316033
0099palmer_sem1_num50;5.6;27.597464150697277;92.83085680776823;62.81734452752281
