;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0017palmer_sem1_num9lado1;5.1;52.18015785754242;49.86189487545265;31.479561296884853;18.851783193123843;76.50106474142997;53.507926905934866;51.76321579035656;126.27286296619756;136.53936148293488
0019palmer_sem1_num10lado1;4.3;52.20349016051424;68.39530740005354;30.73900013903509;32.65584682929041;106.38293333747032;68.15151355114385;67.71200037721704;117.44165343026634;143.59460635084676
0021palmer_sem1_num11lado1;4.9;49.89552324796482;59.572493313060754;31.1591622255602;27.053205194633907;83.06336082639335;59.55408491714938;59.549977941531274;121.33441162339376;139.28288156630364
0023palmer_sem1_num12lado1;4.2;49.32790629381977;63.51629081883141;31.71626297577855;29.53115775535668;88.21037556974994;63.277523519583966;62.96883130353609;119.5205687803483;140.15448376298406
0025palmer_sem1_num13lado1;4.5;46.064986788287754;52.214914255205535;32.062032865837786;26.417945313962363;70.81530229946294;52.079546144615506;52.26233092664587;123.19850542108824;136.40563793177924
0027palmer_sem1_num14lado1;4.2;57.76315381076437;74.5018102804048;33.072394139565624;29.5669023113404;99.2467693534137;74.18658525453125;74.25847909291241;117.85590554579521;143.6204085466787
0029palmer_sem1_num15lado1;6.0;45.008934869699466;53.09154244125966;31.483907638716587;29.511565642083998;77.44711062495651;52.97950527084856;52.716787426011436;122.08509416885849;137.2652587062387
0031palmer_sem1_num16lado1;4.2;52.179749470313006;53.601893552035435;31.785025919530202;22.07871533457105;80.01075761193249;55.26379232574545;54.92850579871536;124.61682161951565;137.84750418414265
0137palmer_sem2_num9lado1;5.9;50.05457427229861;53.30716466165167;33.994965956044716;25.22380293119361;69.07369822107742;53.40854175715632;54.32793213137339;124.24053902147188;136.4282037445073
0139palmer_sem2_num10lado1;4.3;54.750855624518394;72.55926383477187;32.50216416226666;30.65992402409557;98.36971648406538;72.41616350224942;72.09077051381429;117.68006225929108;143.00009996034802
0141palmer_sem2_num11lado1;6.1;48.07189797511778;47.665308724728796;33.85660852771311;21.198983240907573;60.78750569166382;49.79755403964579;49.01945042958074;126.16804251415527;134.44217951353954
0143palmer_sem2_num12lado1;4.6;44.42923522017499;56.489122524664424;28.943083059111128;29.445240085783876;90.1423101754969;56.511471005404644;55.63374092233568;120.60977456059423;138.93075410528428
0145palmer_sem2_num13lado1;6.0;47.164109071401384;43.941241998955356;29.187337875387843;18.338110262064497;73.29003159380818;47.859010470746725;44.978862448170176;127.18522834596035;134.905125380794
0147palmer_sem2_num14lado1;4.4;47.148838176217744;51.62277574469472;32.347971000407036;26.32726128434998;69.79541966632529;51.77945284400469;52.1225201755877;123.90034785109249;136.20663464788592
0149palmer_sem2_num15lado1;6.3;55.907911936362716;68.87451835797302;32.045342570811556;27.259014645194274;91.27927603892584;68.84305160863752;69.03632376032293;119.8162599689619;141.7089859727781
0151palmer_sem2_num16lado1;4.1;50.235863807135324;66.31641313342365;32.054049354347896;28.768256090079035;87.78323577177089;66.15144729162337;65.73495333605602;119.26207427189722;140.23943613988234
0257palmer_sem3_num9lado1;5.8;49.28556674589002;67.50986457109434;28.186328190284105;31.43651057794683;107.80178947325643;67.42105431133285;66.49338767421793;117.33441388502831;143.13033875437867
0259palmer_sem3_num10lado1;5.2;53.04933610442752;68.91650983139988;30.70921802528755;31.19764804123322;102.28402751238808;68.85654729018432;68.4482045769334;118.1569223610085;142.9219734223194
0261palmer_sem3_num11lado1;6.0;48.89046421054394;53.9211227852204;33.29514742337735;26.701434826540922;71.63655596089166;54.07745972706717;54.662698777237644;123.49112661824772;136.80045503062158
0263palmer_sem3_num12lado1;4.7;40.777997646149295;46.7010827662411;32.77474652729851;30.14592576637625;55.480902387437666;46.70825752828018;46.3135643416577;124.0144706785286;133.79272526904938
0265palmer_sem3_num13lado1;5.2;41.82264403726562;52.83629745519439;31.00799059197756;31.569806312979818;75.7452871976485;52.75474666664621;52.02206856485032;121.3791928907123;136.76708155669232
0267palmer_sem3_num14lado1;5.1;46.30400015753082;63.68227976929633;30.07933984814991;31.761035924716968;92.29141097568052;63.612436254712534;62.73747477275421;118.4081778035482;140.60665222513498
0269palmer_sem3_num15lado1;6.0;41.64651443383632;49.56210894289999;33.52800260560459;30.384429767345303;58.361503930414;49.6466162132849;49.12611016214364;123.25526790498554;134.3351852709068
0271palmer_sem3_num16lado1;4.5;50.86161822255168;67.28984025752868;30.81053335461381;30.15097789303318;94.84917365555799;67.19073599300066;66.63952335858082;118.54345471934084;141.67441789891856
0377palmer_sem4_num9lado1;5.8;38.95639705339397;36.246985699977216;26.613393218042184;20.62321485380455;72.9160908182382;40.19145503713296;36.07532581897965;127.50265735411786;133.45771627253828
0379palmer_sem4_num10lado1;6.0;41.6799166203193;48.65583855844029;31.302932349028808;31.35732186607461;67.40069078745228;48.5932689541381;48.10971805350209;123.07640959514593;135.48128137665884
0381palmer_sem4_num11lado1;6.8;39.02573587707607;33.96777429099832;27.09228381039082;22.620909530573172;65.08556714339724;39.42146476415193;33.99032535053724;128.8565491867472;132.13036067514943
0383palmer_sem4_num12lado1;6.3;39.86739164501912;46.38716292054485;27.52712809549627;30.49322791783898;82.32912780141648;46.33482475422918;45.478440546397884;122.81147870438384;136.6046939751355
0385palmer_sem4_num13lado1;6.8;38.61744069661293;39.31788889921951;28.22073180086205;25.41094092758993;64.51426265035565;40.936421590983684;38.76420286223247;126.04267666921965;133.5969418327038
0387palmer_sem4_num14lado1;6.4;43.29170507588714;44.51747799006445;25.96621245728403;24.000686310688373;85.07694382023949;45.86102020256346;44.55014387426353;124.92586629275135;136.76324334107014
0389palmer_sem4_num15lado1;6.0;38.97598582765829;51.37843661973381;26.220438242004718;32.216723989489076;92.08508675615393;51.25746179827516;49.67225902622594;120.36877419057272;138.32761082020858
0391palmer_sem4_num16lado1;5.8;44.582230125504324;32.91358766964346;26.19736537986166;11.561117997673605;82.17188002049087;44.6007768306481;34.868691642983606;131.42081417157698;133.0283135966205
0497palmer_sem5_num9lado1;5.2;35.38717619334612;28.045734781430692;28.53483712348741;87.7360768543182;53.690701043358345;35.49327862142592;28.04353884195754;130.76287437994208;128.89000970343577
0499palmer_sem5_num10lado1;5.0;39.30915631026649;38.018514515683115;28.25514381186925;39.56055466406996;67.98138839950128;41.761013966576506;37.98486328547283;126.97305256467392;133.23656875519998
0501palmer_sem5_num11lado1;5.4;39.59648771836865;49.37088080105934;27.223195637665448;32.79863979120042;88.68353931821268;49.394548099165384;48.177087903013174;121.21998092696148;137.8371488759898
0503palmer_sem5_num12lado1;5.2;39.44361157196394;52.056738983982896;27.66693406658902;35.19105906564624;91.90579166102556;51.976822332789276;50.53283461642233;120.04099180555916;138.372282796567
0505palmer_sem5_num13lado1;5.4;40.42893680415154;41.481169236729826;27.982195594325965;28.81484713624489;71.9933804681432;43.816127630279894;41.194334231145895;125.67351699944452;134.54969753718674
0507palmer_sem5_num14lado1;5.4;39.18445157165913;42.67151235165565;27.239901750005412;30.95722146913509;76.30359730173579;43.85588911944739;41.799742302371634;124.53448851140585;135.21631495831048
0509palmer_sem5_num15lado1;6.0;44.00767062316529;38.3756878657775;30.97177952520721;41.86086330665115;65.48933343309028;45.7598265730746;39.878133674695796;128.93289075998536;132.48036105287287
0511palmer_sem5_num16lado1;5.4;44.32545316098655;55.07435040698115;27.083462837012767;32.978541859794156;95.15053702254153;55.19229020213354;54.18403509013686;120.66250688755724;139.70122205366263
0617palmer_sem6_num9lado1;5.8;34.513463874296626;29.85142143989745;30.37055795814177;76.1008610168994;46.42834995448035;35.310994973934626;29.558876732041842;129.7583984453683;128.4891810912045
0619palmer_sem6_num10lado1;5.8;33.01878219007743;29.252950421044694;28.37229613437405;62.77622963127579;40.26377745610928;33.32212670117133;28.309817672803025;129.23634807469386;129.07585844449918
0621palmer_sem6_num11lado1;5.8;36.73566618934504;30.79486552070287;32.422766374217225;88.59322831621981;40.299041670576344;36.961836831474;31.114540967423487;130.4628255071834;128.04684525891295
0623palmer_sem6_num12lado1;6.0;39.7815188148357;34.0581326154171;28.913875360677036;60.313396427273204;65.72703120943034;41.26248209670374;34.88944753653848;129.29029275068802;131.63668912603208
0625palmer_sem6_num13lado1;6.2;41.82584679511403;47.44519351273279;27.92609738334113;28.682088243645072;77.23057007978184;48.11690513355829;46.90398661822611;123.51974589624304;136.2803997516373
0627palmer_sem6_num14lado1;5.8;42.27598055111918;46.66586724249524;30.982906027898878;31.925609920368892;68.43712212817411;46.865261237338;46.51128277264598;123.99556640833023;135.34573134057177
0629palmer_sem6_num15lado1;5.8;34.670092087195805;25.83999581851641;25.84019973617309;67.61142096997182;65.90584304677981;34.65128081198647;26.008766475844308;131.18385902079916;129.33465670303335
0631palmer_sem6_num16lado1;5.9;37.38356445443138;27.42807456147728;26.015402470214447;42.65303172913227;67.26646550240089;37.412301175461714;28.05468892067903;131.40900607183886;130.1898799761229
0737palmer_sem7_num9lado1;5.4;33.60742727040735;30.72696505825551;23.032558363728203;41.673374219792265;72.23586439274823;34.92801020460073;29.665068646403718;127.83159126643795;132.17837886530398
0739palmer_sem7_num10lado1;5.4;29.041085465156712;19.463602174720727;20.28006881442472;72.33738367819693;68.46068663067051;28.97869849578563;19.08267339582236;130.95707576328172;128.8815471751103
0741palmer_sem7_num11lado1;5.8;34.517524553189176;31.199992514546253;23.426570659489588;44.70332515231302;72.93857783524814;35.88850091889148;30.42343200765813;127.94452899583293;132.21618466703814
0743palmer_sem7_num12lado1;5.4;48.06465806246969;54.41872408021512;23.24490530222405;27.4815101091665;113.97217414317316;54.92511437074357;54.135644239192274;121.62351131703927;141.99760500131183
0745palmer_sem7_num13lado1;5.6;34.9443520892956;27.133527096242727;23.29580494168703;50.15972844104101;70.90712882508555;35.21295099180697;27.202610514339124;130.11649274573742;130.92514551856286
0747palmer_sem7_num14lado1;5.4;29.085935353870482;24.04481520731852;24.17929781387209;71.21468358283452;45.0746220646512;29.231510247837054;22.640945460149368;129.71813198768496;128.62692551285616
0749palmer_sem7_num15lado1;5.4;37.72654680708937;34.39410074324836;25.02344607704246;46.481351642129106;77.5642429218573;40.04086292312774;34.28029851701374;127.82227477349943;132.83150537938846
0751palmer_sem7_num16lado1;5.4;31.921793567316872;25.696317939602288;26.188828247253284;74.43685036977733;46.77258633572938;31.952698428221392;24.937394009970856;130.20074139751492;128.67198343946208
0857tommy_sem1_num9lado1;6.0;53.81343823126849;64.74822871554915;38.16180121494404;29.64419930821725;79.34824564583242;64.3521912637864;65.08123851077495;120.83848990657309;138.83351998366888
0859tommy_sem1_num10lado1;5.6;58.881109392122745;70.7824653922215;40.54585530573407;28.60906759784359;82.56582125603866;70.70807759523508;71.47921499354563;120.32634731849052;140.00958963453056
0861tommy_sem1_num11lado1;5.5;57.451897680165466;67.6364103682938;40.35444770747901;29.504798008968052;78.05628445713927;67.45502002974477;68.39583782230841;121.02850872126602;139.2065170592374
0863tommy_sem1_num12lado1;6.1;50.719914746631574;63.111294374542865;37.05892673010946;29.57139131020093;76.55024456186406;62.80687810453768;63.034600637011614;120.76093236406065;137.9964647909445
0865tommy_sem1_num13lado1;6.3;47.76460039952305;51.063056620945204;38.299264900703065;31.64124349678185;57.55949440752337;51.69617971382041;51.55456248294341;124.87849718921308;134.2655989944017
0867tommy_sem1_num14lado1;5.7;53.63944278403165;66.9105021992154;37.748673800520294;32.007258887850874;88.16974129741536;66.69042264422596;67.09683200916957;119.36692761609687;140.31257169211122
0869tommy_sem1_num15lado1;5.4;57.85100788781771;68.28195632138119;38.88365300784656;31.301816260918798;88.00401366871563;67.93598651064521;69.02058204259029;120.25576775315432;140.84896423083148
0871tommy_sem1_num16lado1;6.1;56.12129728087498;69.41872835739564;37.49565570775105;32.194720934918394;93.62414810776217;69.04943211069235;69.67773150688407;119.0292209408446;141.5902407225231
0977tommy_sem2_num9lado1;5.8;57.150991976880725;65.46960695950665;35.455356654266865;28.88477254957469;89.00203640420055;65.57603830613314;66.30929059067972;121.52583629905232;140.46901750448228
0979tommy_sem2_num10lado1;5.8;48.27536686233458;63.573756551901646;35.087223428112296;33.272597981048676;87.31268981409826;63.41757725664548;63.03727111010546;119.08942200209806;139.35424856833308
0981tommy_sem2_num11lado1;5.8;44.75133443813319;50.46889354405066;33.96495699910247;32.09504608988258;65.04228645708852;50.537517157236536;50.2764714141568;123.75629619949757;135.10215945844172
0983tommy_sem2_num12lado1;5.9;57.0086989516648;69.90875202655607;34.59697892606749;30.94211101486741;102.84710919989477;70.06464934423954;70.35522873424598;118.8501629634182;142.99572569137015
0985tommy_sem2_num13lado1;6.5;59.87394389356164;61.562581229086646;36.266567590206115;24.70104410080717;77.83964541846271;62.23442966484515;63.82050066005532;124.23829828171014;138.87886010073268
0987tommy_sem2_num14lado1;6.2;54.53966599766026;60.48562579134535;35.51261148107742;27.73787924351777;78.72564153969526;60.920724514407816;61.38796824670561;122.93632369201237;138.3585696580885
0989tommy_sem2_num15lado1;6.4;64.75861710773839;51.7314845522729;36.66455198716839;16.75001674705252;85.34303071409433;64.87944749534735;57.0417111798439;130.69834622856376;136.86106812700964
0991tommy_sem2_num16lado1;5.7;52.523652933158615;62.47913226894607;33.896648840185044;30.793918008424004;91.50770403566726;63.022338510387364;62.67891597329103;120.9509815811561;140.0774609793096
1097tommy_sem3_num9lado1;6.0;55.747322232235824;70.46645604760387;29.459460894269967;31.933932228571233;113.7327669665012;70.60008380682693;70.48703876346198;117.6902954725618;145.25524724740905
1099tommy_sem3_num10lado1;5.9;53.65592930690669;62.73820507867977;30.577654145709914;30.53387714890462;106.75416065479062;62.81754267537421;63.3419498177186;120.0560583339336;142.92855126338532
1101tommy_sem3_num11lado1;6.8;54.03337494341486;46.190401682340145;30.72188365520156;19.16736327899179;88.26191575615678;54.13879746418644;49.18968980053874;128.78202646259683;136.7963279714418
1103tommy_sem3_num12lado1;5.8;50.43985832855648;66.41201564208485;30.66436416698703;31.71720913963632;102.91809895703369;66.30595539297148;65.94512386662541;118.04248070883348;142.52029190732256
1105tommy_sem3_num13lado1;5.9;56.40158563718703;51.628523447442454;38.54251857409658;22.46223596950707;63.56298881467168;57.233153222220345;54.85012966824666;127.73533839296051;134.65287446412992
1107tommy_sem3_num14lado1;9.1;50.379601651714545;50.4369913493709;30.925943097380056;24.07194559008784;88.27555609242609;52.78753857440131;51.75202357797003;125.12171564651676;138.06759521303215
