ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem1_num54_;48;4.3;163.50362549386287;163.2058871826953;161.8562703562154;72.66041839139123;12.303680071069815;164.59376864265403;170.27305273013292;127.79977912362112;129.0183781962663
palmer_sem1_num55_;49;5.6;164.17745378631187;164.28513051867213;162.39846515699122;73.33234864955742;12.505884269082932;165.53221908311184;171.3386332333551;127.54145822058436;129.23473906200883
palmer_sem1_num56_;50;4.2;163.4818270403771;163.6149038586052;162.1813621294242;74.73879735569022;11.624071634900478;164.86922889852502;170.61666447308494;127.58714210011395;128.9850339954936
palmer_sem1_num57_;51;4.2;164.99078257507966;164.99212610203762;163.62527587220828;74.82698274672603;11.418687580598785;166.33818056292333;172.09278702877617;127.66781679004309;128.96770079254722
palmer_sem1_num58_;52;5.2;164.62252485277884;164.87220421587432;163.82558943160222;67.34962483612324;9.902393007910737;165.91946317640458;171.8761140660276;127.59956424749764;128.72696524272513
palmer_sem1_num59_;53;4.4;164.18025576605012;164.67691435217472;162.95068752880124;74.65586564875542;11.871016388567385;165.9181318548274;171.68046030498937;127.38108347756271;129.10145284882077
palmer_sem1_num5_;54;5.3;163.24584062294596;163.25923665364581;161.6260586683206;69.98383623288001;11.917400065327433;164.4105845845122;170.26459912377288;127.62323182240759;129.1022280818205
palmer_sem1_num60_;55;4.5;166.31761182689976;166.50510131321204;164.60300150078945;74.05294912832755;11.409525497569089;167.74720316265515;173.6369903522591;127.51587349429873;129.20993623877422
palmer_sem1_num6_;56;4.4;164.2299974927305;164.54538612732009;162.99616681357526;70.9795007273984;11.316549418885035;165.7116211384031;171.53522401102396;127.50557211626051;129.00099115847013
palmer_sem1_num7_;57;4.4;165.68149282335958;165.89239920575596;164.68597442808354;68.1009886802251;9.851619516380527;167.04958965509078;172.95485181769226;127.62788274596693;128.79289833770042
palmer_sem1_num8_;58;4.2;163.98380131976592;163.95834471986456;162.31912679371356;75.23151265490148;12.220945312053473;165.2339000030364;171.0157306044953;127.62665794034172;129.13621922175963
palmer_sem1_num9_;59;4.2;164.35912748248703;164.39145183519625;163.31215636676774;77.26116005645041;10.772058306407537;165.7128774244381;171.44024733555167;127.67681530331932;128.81666219577866
palmer_sem2_num54_;108;4.3;152.57224644774078;153.71480734597625;149.37151762399662;68.22784496389355;23.512642314895192;154.89542811936028;160.1313093957585;126.64642721907863;130.60569419215463
palmer_sem2_num55_;109;4.1;155.4120511566999;155.6447882768701;153.45986349105516;67.38226625349188;16.446285127448775;156.8122007103683;162.28131678203744;127.38951888779935;129.46704517394153
palmer_sem2_num56_;110;6.2;155.1163904631245;155.63114473735618;152.17599074009524;69.76420176732361;20.43965984077611;157.0465092651997;162.29303261494485;127.08725105358904;130.17420396425436
palmer_sem2_num57_;111;4.5;157.17643263973497;158.48385983678432;154.5865773900833;74.19269945853695;19.161278297762703;159.72578495732805;165.12511284855015;126.66068837497677;130.27700056329837
palmer_sem2_num58_;112;5.6;155.8519275108864;157.05855827872264;153.66773407024283;74.89227710753529;19.22679631460405;158.30954019959023;163.60301124073897;126.76030874579368;130.03475253048913
palmer_sem2_num59_;113;4.2;156.13915726097358;158.10352100805142;152.7261558476394;72.67321436864141;22.56021473993163;159.27688945450038;164.61718762234216;126.162401629301;130.99868530217623
palmer_sem2_num5_;114;5.5;154.39618616821605;155.84870047209958;151.34244605946472;73.65389893247922;22.08487590132209;157.06274255239472;162.34405658890117;126.487182700912;130.62741140497292
palmer_sem2_num60_;115;4.7;153.55709977149425;154.88811061389924;150.93607209468516;71.11845587027035;21.244016963922114;156.03299979728962;161.32100705049544;126.60998635625641;130.33975036928086
