ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0049palmer_sem1_num25;4.3;55.46114536;67.53388707;31.60792373;28.16892393;97.27663761;67.83605957;67.68876032;119.77909220000001;142.289954
0051palmer_sem1_num26;4.2;45.64846031;51.58875871;30.74776384;26.15664899;75.62091761;52.23209923;51.46330144;123.2832923;136.88545349999998
0053palmer_sem1_num27;5.0;58.53270081;64.09653875;34.06144698;22.53921044;88.51439798;67.8161368;65.64125996;122.7286311;140.38246740000002
0055palmer_sem1_num28;4.4;59.92236052;67.63452429;33.70032657;24.7890865;92.31312881;69.56737465;68.90718551;121.50130859999999;141.6591321
0057palmer_sem1_num29;5.6;48.86141173;60.94672109;31.10822242;30.16941267;90.17650612;60.78125981;60.45733702;120.13458159999999;140.10318769999998
0059palmer_sem1_num30;4.5;47.779450399999995;53.55146248;31.42102505;25.3076687;78.40380658;54.82032375;53.79750202;123.21408989999999;137.30881599999998
0061palmer_sem1_num31;5.7;45.68001475;57.69989681;31.69371991;30.77679393;82.11045029;57.56205672;56.97755412;120.7011067;138.29317580000003
0063palmer_sem1_num32;4.2;47.45531782;56.79156972;31.04800734;27.81887965;82.0271452;56.90219446;56.43588156;121.5748434;138.5796867
0169palmer_sem2_num25;5.0;48.4420456;53.90060646;30.00943427;25.81593854;89.07126899;55.45578295;54.36457323;122.9905967;138.5007765
0171palmer_sem2_num26;4.1;51.0785485;65.40986017;30.45070928;31.39047131;100.4079703;65.32002374;65.02445891;118.71947209999999;142.2049464
0173palmer_sem2_num27;6.2;53.75276006;60.45280515;32.57913947;25.63845098;87.61406171;62.31948440000001;61.56235833;122.1894507;139.6729874
0175palmer_sem2_num28;4.5;46.11370709;55.86867468;30.25045115;28.11489498;84.08646968;56.03774053;55.48214145;121.4540275;138.4568969
0177palmer_sem2_num29;5.9;46.62627996;55.47802393;32.65906817;29.84489556;79.23742887;55.38290881;55.36584379999999;121.7920369;137.6767741
0179palmer_sem2_num30;4.7;50.64024584;63.07648131;30.99706949;28.65332125;91.12502476;63.09943489;62.99107539999999;120.1546713;140.4701407
0181palmer_sem2_num31;4.8;50.90866891;68.16013709999999;30.6041235;31.45284941;98.30589091;68.05733257;67.46939606;117.90484409999999;142.3498822
0183palmer_sem2_num32;4.5;50.91433926;68.27965101;29.95013032;31.54000457;102.4859731;68.15556586;67.45489254;117.6483217;142.9195646
0289palmer_sem3_num25;5.8;49.84079684;58.03367801;31.7675028;28.61730033;86.41035896;58.07786538;58.36555999;121.67926809999999;139.29448349999998
0291palmer_sem3_num26;4.3;43.15636664;50.51604248;29.43238409;29.03401362;78.85677631;50.61713856;50.04814939;122.49671629999999;137.15372109999998
0293palmer_sem3_num27;5.9;49.85049533;62.31024459;31.48941292;30.76874706;91.75026639;62.2837568;62.20540456;119.7055666;140.7071559
0295palmer_sem3_num28;4.4;47.03937962;63.77697505;28.52589771;33.42759347;105.92672479999999;63.72938608;62.87535069;117.60090359999998;142.52307050000005
0297palmer_sem3_num29;5.6;48.71710477;55.14149162;32.55206355;27.860909200000002;78.84391756;55.87979652;55.70902327;122.70119469999999;137.7856513
0299palmer_sem3_num30;4.4;41.70185179;50.31119247;31.54959552;30.85719773;69.22663458;50.39169834;49.7570885;122.39475530000001;135.94075680000003
0301palmer_sem3_num31;5.8;48.925209100000004;63.77213792;32.34306118;31.65934549;90.86384359;63.79429937;63.39273002;118.9530601;140.6540202
0303palmer_sem3_num32;4.0;42.33499006;54.33761515;31.40688903;33.31225709;78.03868101;54.24592927;53.45533909;120.71156950000001;137.4224858
0409palmer_sem4_num25;6.2;42.53753111;41.38645578;29.19907985;27.76794824;70.83837536;46.29443547;41.86230349;126.84127509999999;133.9787098
0411palmer_sem4_num26;6.0;47.67885087;63.38563104;26.24665956;31.59185834;110.6426174;63.34624758;62.42887896;117.9322898;143.1233366
0413palmer_sem4_num27;5.4;47.02374101;52.14529763;28.37779677;27.45991585;92.74694063;54.82935243;52.23143831;123.05674440000001;138.867953
0415palmer_sem4_num28;6.0;49.01981534;57.66430998;27.84424866;27.0099511;95.65567223;58.11750502;57.76849099;121.37769209999999;140.34431130000002
0417palmer_sem4_num29;5.0;44.43399665;48.53619396;29.50723585;29.51789114;78.46959563;51.74128802;48.49098985;124.2132337;136.4618125
0419palmer_sem4_num30;5.4;41.01690377;42.99800755;28.70115787;29.05156485;72.08876927;44.83061765;42.73755264;125.20045520000001;134.82731940000002
0421palmer_sem4_num31;5.2;43.71464806;52.17510379;29.51506255;28.1993325;81.25851371;53.12965547;51.60357793;122.03994679999998;137.7428958
0423palmer_sem4_num32;5.8;43.76285459;48.31467322;29.69022535;28.28334768;82.73693021;49.89223741;48.33075256;123.55174650000001;136.8413408
0529palmer_sem5_num25;5.4;45.59499001;49.33681951;28.880305600000003;38.75935141;80.94858752;52.210222200000004;49.31466927;124.18537859999998;137.0194342
0531palmer_sem5_num26;6.2;42.51226728;46.76228362;28.89382031;37.54200413;82.23011136;49.38996313;46.39650703;123.9827919;136.4260648
0533palmer_sem5_num27;6.0;41.38468075;43.53833139;27.96394233;37.2285856;73.21544759;46.26798708;43.23288827;125.26872390000001;134.99372419999997
0535palmer_sem5_num28;6.0;37.42271163;32.73814394;28.13436157;51.37196562;58.22575045;38.36371955;32.67645473;129.0397463;130.93074769999998
0537palmer_sem5_num29;5.4;46.71510632;44.22512079;29.67635468;31.058181800000003;75.53520003;48.95651779;45.30581635;127.0263162;135.18014440000002
0539palmer_sem5_num30;5.6;39.30518722;35.79918769;27.20142322;43.03324488;63.88214734;40.61253256;35.75420852;128.105142;132.4555511
0541palmer_sem5_num31;5.4;38.56476603;42.51114664;30.20523965;31.50068024;58.99480288;44.18036866;41.81226426;124.9085388;133.526461
0543palmer_sem5_num32;5.6;39.12487781;44.81888799;28.40722193;32.25191032;70.79123175;45.92708778;43.85094176;123.747178;135.179926
0649palmer_sem6_num25;5.7;33.34792054;32.72028897;28.98870301;69.19917841;43.49568173;36.12938096;31.63701351;127.66176940000001;129.846048
0651palmer_sem6_num26;5.7;38.33936348;33.97723913;29.51454654;35.85554910000001;56.17510748;39.39329901;34.13585892;128.9366549;130.98934440000002
0653palmer_sem6_num27;5.8;40.44014939;39.43008681;29.41350215;41.81120034;63.18069112;43.65116271;39.40875711;126.9771538;133.0590661
0655palmer_sem6_num28;5.8;41.2938229;40.43069139;30.64114652;44.12537821;60.51227792;43.43294308;40.63983953;126.9100966;132.99198729999998
0657palmer_sem6_num29;5.8;48.67567651;46.91803186;29.89107447;34.9745645;82.48687827;52.62600803;48.50360997;126.459897;136.20835119999998
0659palmer_sem6_num30;5.8;41.55017847;38.28069671;27.31057972;47.43186105;73.20834395;43.74257293;38.66236978;127.78716029999998;133.56264040000002
0661palmer_sem6_num31;6.1;37.54223768;30.20504538;28.84588387;70.03979101;60.45477954;37.96803986;30.659688;130.5067619;129.8766487
0663palmer_sem6_num32;5.5;39.55344164;34.32534829;28.08491056;51.19619404;70.64944822;41.12827529;34.84967329999999;129.0118392;131.9760622
0769palmer_sem7_num25;5.8;39.00569801;36.39820406;23.89156331;45.84617185;87.51601403;41.58926706;36.175230600000006;127.2109793;134.4664406
0771palmer_sem7_num26;6.0;35.93861196;27.62094424;22.87782652;51.61659356;80.08977737;36.63373384;27.88162466;130.2513355;131.5145947
0773palmer_sem7_num27;6.0;36.07589013;33.2443727;20.84034257;19.19259711;88.02464235;37.15707359;32.27542888;127.3622986;134.1369997
0775palmer_sem7_num28;6.0;37.39569035;32.28957506;23.27201736;31.11542066;78.82501068;38.50942295;32.03368034;128.6418629;132.97947050000002
0777palmer_sem7_num29;6.2;27.80985112;26.22358123;23.23024652;66.21917457;51.63284992;29.24062908;24.41095675;127.95096310000001;129.70976140000002
0779palmer_sem7_num30;5.8;27.86081525;22.59485166;22.09313347;76.41873469;57.13237297;28.14798707;21.30244647;129.458067;129.02477290000002
0781palmer_sem7_num31;6.0;27.83179445;25.43908736;22.55318994;55.82070883;51.13445184;28.74350728;23.64040194;128.18596440000002;129.7595214
0783palmer_sem7_num32;5.8;34.54442761;23.07783229;23.41082787;71.65276506;72.77234412;34.44331904;23.62637806;131.9867476;129.4437394
