;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0097palmer_sem1_num49lado1;4.3;50.65161896008314;50.96231702145704;30.231876906331355;21.901437345807125;82.17691059261367;53.84565628908266;52.082987233256034;125.292436912085;137.27213591825503
0099palmer_sem1_num50lado1;5.6;51.266597450897905;58.632840778788655;31.05651418174505;26.342110969387754;86.81226599293564;58.81548284339185;59.02787772645465;122.03690394427002;139.57611410910522
0101palmer_sem1_num51lado1;4.2;52.589083730367285;64.05120408843096;31.44300457751461;26.534252583385037;82.29855123624513;63.79147829645579;63.85903069799348;120.95726806586651;139.8392774366545
0103palmer_sem1_num52lado1;4.2;53.10395546259843;69.13792082603473;31.392068217653517;29.641020574662825;97.13423352794705;68.92016801866053;68.58664714332565;118.55647781063831;142.24614118841836
0105palmer_sem1_num53lado1;5.2;44.598814486099855;52.35444266184293;32.09189006346458;28.575466450053955;72.95020086004176;52.18955658003582;52.100302447416716;122.60546853480729;136.4338117824209
0107palmer_sem1_num54lado1;4.4;52.13474963494682;69.63762592841128;32.3852651253771;31.046989159830915;95.26845254533735;69.41778043309914;69.00999690795143;117.94762235309044;142.07537562417428
0109palmer_sem1_num55lado1;5.3;45.90561599549093;49.7361530052466;30.96794901108573;27.00445855576568;73.57786210152658;49.726053101727715;49.8400406241811;123.92747252747252;136.77331161677606
0111palmer_sem1_num56lado1;4.5;51.15658541221586;57.76817874169896;31.9578716818132;26.73161072918996;84.2614873267382;57.671959512915656;58.269135009502115;122.32016869736941;139.00535621134213
0113palmer_sem1_num57lado1;4.4;44.108250522659034;48.186262242362226;31.14014460086778;25.54908516864316;67.04925971559115;48.36732940437108;48.00153348424301;124.26232660814208;135.4990097027568
0115palmer_sem1_num58lado1;4.4;56.02595362368444;72.32949623420652;32.557365104338196;29.25178026597981;95.54539568886628;72.03478433182411;71.9752644818144;118.4569356152934;142.71065931521366
0117palmer_sem1_num59lado1;4.2;53.68708193748057;61.24966989558714;32.3809976719881;25.797148265639446;84.87395437980324;61.17099736603505;61.83883329031613;122.03638758284711;139.59810797031665
0119palmer_sem1_num60lado1;4.2;45.639938435014436;58.46128352687288;31.22051104691378;29.889318223416986;81.47091090973346;58.20557489179652;57.65164256989551;120.56828489334549;138.34275311653434
0217palmer_sem2_num49lado1;4.3;49.04345925515146;56.64560184182672;29.47551088858307;26.60417588220569;89.36888584194391;57.38620739184876;56.87984507277122;122.07074692770462;139.3132078207534
0219palmer_sem2_num50lado1;4.1;47.63969250362089;52.94471498856943;33.20307875094039;27.111418664364013;69.57458588316811;52.96492244738428;53.38683082466276;123.56977253258684;136.2887759940056
0221palmer_sem2_num51lado1;6.2;53.35049337595677;51.281037737655325;30.87251760932152;20.77467791807097;82.02059344155697;54.495689152574606;53.227729548385106;126.02982808471468;137.49514733015522
0223palmer_sem2_num52lado1;4.5;50.45794126911671;58.10153136703496;36.24587232483575;29.21133313450641;71.0820682970474;58.03880134377454;58.84183626916583;122.33844258872652;137.24060095436923
0225palmer_sem2_num53lado1;5.6;49.30670485043514;69.12871121743657;29.65174447673828;31.93274776779632;102.36284692260179;68.98045766377639;67.98810085641882;117.07367861716914;142.72410598312337
0227palmer_sem2_num54lado1;4.2;57.18566245764063;74.75165588752712;32.02322065400655;29.338479995144766;98.93261781288065;74.64171096944703;74.3130327224615;117.80568173256823;143.49152242201268
0229palmer_sem2_num55lado1;5.5;53.4017759769893;67.20028447118098;30.997373399016237;28.375492473583;93.51494003277487;67.12204791778099;67.02411175467978;119.54970531621358;141.48127299794106
0231palmer_sem2_num56lado1;4.7;45.11302753174152;52.49047882067929;31.77343779495088;29.066282719176666;73.34274855216695;52.404186654751214;52.469544158704274;122.60475301399548;136.73480231406606
0233palmer_sem2_num57lado1;5.0;51.60031283552707;56.75767383717656;29.147359582419767;22.81016006338169;86.13457089419356;57.64261629824361;57.53887373143221;123.20084863577247;138.84344797962078
0235palmer_sem2_num58lado1;4.6;56.13484028089938;75.25514435293425;32.0740370391668;30.586161422287567;99.04731376077768;75.13858475137984;74.60157804589792;117.14691011956415;143.7695261570621
0237palmer_sem2_num59lado1;4.5;47.22912820831651;63.0673860706566;31.00987422632044;30.21943734877594;88.25384460909436;62.996486632045745;62.24634911836093;119.21226092428928;139.90515930562992
0239palmer_sem2_num60lado1;4.5;52.61554848703525;63.00573441259048;30.01431642344834;26.4154858614123;91.85895071448871;63.00254876715759;63.28578613986803;120.88991177625559;140.6245568852393
0337palmer_sem3_num49lado1;5.2;43.124078903660354;52.4348135595712;32.25956321420352;32.712941059684;73.44172901715116;52.323668519471425;51.79534242234777;121.89007295199593;136.55242331135452
0339palmer_sem3_num50lado1;4.9;51.42772168069416;62.7059186386799;31.254074620382323;29.00749255021293;93.41304860592199;62.74398161946642;62.85982002302578;120.28107416476858;140.8087763443377
0341palmer_sem3_num51lado1;5.8;49.143443048817616;67.87568127651419;30.3648140536435;33.06072520846113;101.13412129869059;67.76314724382281;66.95083670750644;117.20324304172256;142.55559274054582
0343palmer_sem3_num52lado1;4.7;46.49026500488678;59.55206584129901;29.82340396758247;30.95574342118041;91.2558234344944;59.606973855537966;59.012308745992286;119.79612980817751;139.99287439737708
0345palmer_sem3_num53lado1;5.9;41.956609152972895;55.52734402830474;31.112320086881546;33.520205964311884;81.81895213178595;55.48186687642394;54.55424541929222;120.04132918745873;137.90255821479022
0347palmer_sem3_num54lado1;4.5;53.8989377208889;59.746177418275614;36.46582055069335;29.30000789488524;78.51988290962406;60.63352545367598;61.03896116268601;122.63182643556185;138.41155462594136
0349palmer_sem3_num55lado1;5.6;45.53534233282414;55.23809733607282;30.33677654080738;28.87355226408832;80.15376156936296;55.14433880848215;54.883124788407784;121.62548981927372;137.9795962777649
0351palmer_sem3_num56lado1;4.6;51.5242258087006;69.071870885693;32.193752573578855;31.94665463872707;94.59691805455653;68.98530876647564;68.43444059275;117.9018885709543;142.00642295926838
0353palmer_sem3_num57lado1;5.8;40.378832697851465;49.99042239046727;30.64614798149013;31.642391113356535;71.11702418481364;49.91684722764892;49.10428219889696;122.02228312545874;135.9502940772756
0355palmer_sem3_num58lado1;5.3;61.37437342673128;61.99477809757269;35.669787398562626;22.829103150395866;84.67368581320792;65.35797795027057;64.71800435042361;124.46254365543766;139.70920515060862
0357palmer_sem3_num59lado1;5.8;39.78587226519474;51.11038848314258;30.899349448973087;33.95025945870082;72.37237161872683;50.972443275034344;49.97943861176254;121.37605408559736;136.16289518976495
0359palmer_sem3_num60lado1;4.9;52.16579249473154;67.40793192562036;30.484333938991362;30.21579539796703;98.59453478856042;67.29624087069377;67.08983782391984;118.55172501182342;142.43269477075026
0457palmer_sem4_num49lado1;6.0;38.81321272611878;37.66341282952465;26.74932518275877;23.699853351214852;71.14108556020629;40.29280905533562;37.16651472981819;126.78575531204659;133.77965640113658
0459palmer_sem4_num50lado1;6.0;40.42842845625643;44.64265359505392;28.44088350507604;28.288490612118174;75.95998709324864;45.15782465046628;44.14308663606821;123.98689401137943;135.6063892374305
0461palmer_sem4_num51lado1;5.4;45.776973166007345;60.07870277091555;26.90395721623529;33.78980542846605;107.90339785825121;59.99484640987456;59.09166364102973;118.37452096395307;142.23628014845391
0463palmer_sem4_num52lado1;5.6;47.13608504747137;38.2409497533986;27.72699333300125;14.36975350282022;80.51330027708477;47.165711728255125;40.2723997267141;129.7436898970539;134.46399861041215
0465palmer_sem4_num53lado1;6.0;41.356119445661115;46.24383958597313;26.94753840536973;29.143666854289762;83.75983019512802;46.27204053139489;45.663845572481506;123.38982177599001;136.96137742834472
0467palmer_sem4_num54lado1;6.0;39.594564035102096;37.95437747799416;27.727390725975045;27.62076617256033;70.5612537853393;42.54136190280111;37.88009466104664;127.17045904873642;133.40059968865052
0469palmer_sem4_num55lado1;5.4;47.75198751963437;61.535856731374;27.581741105756173;31.498320057187854;103.612133108632;61.43499181170514;60.705456306473806;118.92799608910644;141.97230852723018
0471palmer_sem4_num56lado1;5.4;50.84216426804577;66.84668492530683;26.47213713469668;31.32652494703777;115.13553791887124;66.77631172608561;66.11544340486094;117.4958755552773;144.48906960402687
0473palmer_sem4_num57lado1;5.6;45.786420423632535;53.22756437747651;27.11622880223173;27.44634874202139;95.05498518162115;54.29111094187671;53.031414097082425;122.03789064184672;139.29732194359983
0475palmer_sem4_num58lado1;6.0;44.814516212627574;42.54373998719768;27.736954723859093;21.409068973320263;80.2544246140955;45.54259784915759;43.22755498790981;126.67996741937829;135.76216656332664
0477palmer_sem4_num59lado1;5.8;49.28531484137452;62.38569218360561;27.20108164187848;30.84185389998491;107.25322324671858;62.45073006506643;61.844985052194644;118.9625488876252;142.70857999582208
0479palmer_sem4_num60lado1;5.6;33.270937523508486;32.439016487679964;27.824907819750628;36.89956473007535;41.67365484134505;34.37111694259831;31.10731965072889;127.53144811878364;130.46287378105092
0577palmer_sem5_num49lado1;5.2;43.99662448643944;49.757182580543464;28.66806729921987;33.08455091764006;78.9686143507394;49.97494903544735;49.33695358749063;123.09862470452637;137.3205092139687
0579palmer_sem5_num50lado1;5.0;36.17622566361677;27.9787956879648;29.392698234829503;90.63207467302333;52.91518180495221;36.20336415374899;28.29141704162517;131.23748214818295;128.49049198805469
0581palmer_sem5_num51lado1;5.6;51.34709426601595;64.09309114865347;28.544167166352164;29.721891726987824;100.66911102874994;64.3047450226457;63.706873165150434;119.51628261565651;142.19597584758475
0583palmer_sem5_num52lado1;5.4;44.00136077935582;31.35372728353481;27.262049404131584;19.413821845481426;75.1391911946202;43.92620735575558;33.423670477791525;132.13467170972228;131.89558526938106
0585palmer_sem5_num53lado1;5.0;34.58059675702494;32.155429273087925;28.246519302360465;23.690763279773865;39.56250458621764;34.91015137109063;31.187734508423535;128.28402151860396;130.2938375117613
0587palmer_sem5_num54lado1;5.2;35.15837471375917;28.006260209814855;27.118871126901002;58.322062322490005;54.123831245089406;35.21974332145225;27.74780730594717;130.50578387577698;129.51222726275782
0589palmer_sem5_num55lado1;5.2;35.31095899052737;29.97925805697053;27.530228628372733;47.30057254085777;53.222192409564656;35.58585187290276;29.52955245785802;129.60332987986368;130.05888663507238
0591palmer_sem5_num56lado1;5.4;39.25967201303972;35.451433803265815;30.09621897553462;43.763064491603316;54.82199512534108;40.46960942836744;35.74590246512216;128.52776398735543;131.14898646962558
0593palmer_sem5_num57lado1;5.0;35.00036008394381;27.466255836031408;28.210018612478947;86.81446688224146;51.39558172955417;35.181349711391746;27.393637606702256;130.7463535965243;128.78758001602358
0595palmer_sem5_num58lado1;5.2;35.41481855394354;29.25288748018282;29.332592004624964;73.94265788621522;45.26624208739503;35.50611221155326;29.0882547858524;130.20805426263686;128.85809067819366
