ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy_sem1_num10_;420;5.3;172.39145775172713;171.87155602084044;172.0313481251072;71.69294948778472;4.376969535000859;173.13467578861776;179.27662260302355;128.17643751049349;128.08685548326224
tommy_sem1_num11_;421;5.9;172.37784417688331;171.65574561573897;171.90804572295104;76.5706226155264;4.637944253329333;173.0800683850505;179.11227543974343;128.27267340235807;128.08181071968235
tommy_sem1_num12_;422;6.1;172.46328290216331;171.95993587596809;172.20546674619374;75.04446889757837;4.498623178601538;173.28213789826066;179.36874681288762;128.16865515131138;128.05117472721446
tommy_sem1_num13_;423;6.0;172.52522769713437;172.02539210413278;172.0103385238054;76.51657287290665;5.227360868868242;173.39452304499957;179.4443170157643;128.12658872809322;128.20604458474438
tommy_sem1_num14_;424;6.2;172.4055757387403;172.0415958915609;172.16580748590752;75.9763965301444;4.99252552369113;173.36549383720742;179.42152243615502;128.0828735742277;128.10812518865922
tommy_sem1_num15_;425;5.8;171.80683894041854;171.46448306487912;171.31931389004987;78.36160985792287;6.070590576953304;172.8602485813721;178.83684666428218;128.02510855717915;128.2721851490162
tommy_sem1_num16_;426;6.0;173.09048898676846;172.56979128711563;172.69666079925412;75.7371979666781;4.659966948918682;173.90442486184347;179.99525028153755;128.1598476415145;128.120474160835
tommy_sem1_num17_;427;6.1;172.94830135280918;172.377103912814;172.56553102204612;77.30431177237833;4.65264934440372;173.75157217855156;179.8036527768847;128.1888187445077;128.09777268286322
tommy_sem2_num10_;480;5.7;163.0394937244775;162.50472033978897;162.35619253740367;77.30208548226202;7.629942452248014;163.9664599618424;169.99465527285759;128.0921092789959;128.3293942075153
tommy_sem2_num11_;481;6.1;166.59475298402072;166.13579277983283;165.72307612833825;73.9982372086834;7.7495750423757555;167.55254957593257;173.52265335666547;128.02812582050004;128.4525988473705
tommy_sem2_num12_;482;6.5;166.67239911533355;166.6623431051556;165.4433605471429;73.58829752604166;9.451500577364113;167.9704343365148;173.97139039146447;127.69935692332352;128.8506078733175
tommy_sem2_num13_;483;6.5;165.86491387763638;165.57727442784798;164.935946547827;72.19414529682678;8.582588380692373;166.88850114869666;172.87585022223828;127.90660954088612;128.56689559176024
tommy_sem2_num14_;484;5.5;165.38890621985917;165.18880018557815;163.46454005335147;73.02120333978124;11.652825556555786;166.65962708328868;172.5143094649313;127.72673728883564;129.1648331281525
tommy_sem2_num15_;485;6.9;166.66947835844618;166.72716012543938;165.69510586794837;73.87483143468506;9.259130658436213;168.033655655891;174.0060613184799;127.68616880845084;128.74907076974736
tommy_sem2_num16_;486;5.8;167.74343965562662;167.48187747043073;166.28890021402214;75.87917539634059;9.28541504241148;168.86892961136653;174.87430198889206;127.82550336282223;128.8604283936775
tommy_sem2_num17_;487;5.6;166.61274097583913;166.57557648221373;165.76971650439742;71.94986725202371;8.593286808190086;167.8425756523366;173.85298760252346;127.77401916196918;128.61564403894994
tommy_sem3_num10_;540;6.7;156.74152557574712;156.68374709293042;154.54219934980668;68.53885815641789;15.581427679962074;158.03549781154356;163.7289522482371;127.57027429372248;129.4550110058638
tommy_sem3_num11_;541;5.8;156.17586776531064;157.46879429025742;153.20800569147949;70.9799318806352;19.910418279758588;158.63467391877072;164.37671130075262;126.64149369744335;130.45214400010178
tommy_sem3_num12_;542;6.2;158.76911667421302;158.73403078069632;156.79031501843278;68.03404048157435;13.936896513846026;160.07666665885242;165.84238981186772;127.6084074518372;129.30366703795687
tommy_sem3_num13_;543;5.8;155.51562527908163;155.809642315565;152.97492013241418;63.80529305135818;17.057720698882953;156.9103980742473;162.76490879276872;127.30083165214548;129.79360751207417
tommy_sem3_num14_;544;5.4;160.99552411644981;160.43992722890232;158.2511013119963;66.2881331581147;14.688921446553856;162.27185527450916;167.77155785719768;127.85874237772205;129.49874856998562
tommy_sem3_num15_;545;6.0;157.8909832292024;158.4535107187446;156.0515602785101;62.192875921862495;14.362067077385545;159.43619049309484;165.38985919996;127.2465431830847;129.4868531333948
tommy_sem3_num16_;546;5.9;156.15795250968074;156.83350630813828;153.0321881608654;69.7077156419235;19.103504461734108;158.01808850951647;163.7646514515818;126.99032823015793;130.28016738647406
