ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0873tommy_sem1_num17;5.2;49.26438592;58.42216627;37.17271557;33.37057521;79.2651719;58.16713401;58.60368216;121.0560763;138.0628269
0875tommy_sem1_num18;5.8;47.00931769;56.97565323;36.064712899999996;34.6585293;79.05687977;56.62833014;56.75427616;120.9632353;137.7382572
0877tommy_sem1_num19;5.6;45.90710695;51.20699149;37.17993664;32.16878995;59.97829464;51.09113463;51.27900489;123.7646535;134.6478368
0879tommy_sem1_num20;5.2;51.1251706;57.54385003;36.91180617;29.84324429;75.48688352;57.46073289;58.04205970000001;122.62045800000001;137.5326507
0881tommy_sem1_num21;5.2;60.95434767;73.17200755;39.48552284;31.09749211;97.35598555;72.84716088;73.97316576;118.92563179999999;142.8395866
0883tommy_sem1_num22;6.1;54.0925847;66.65664835;38.9110352;33.24507461;88.34951034;66.31865202;66.8332696;119.4011722;140.2820669
0885tommy_sem1_num23;5.8;50.924559;55.20117734;38.29293373;27.73133854;69.3403181;55.93087598;56.03322886;123.8462384;136.19588180000002
0887tommy_sem1_num24;6.1;54.01165129;61.95178465;40.22237563;30.10643642;76.30408324;61.99148203;62.73111506;121.72433670000001;138.1728576
0993tommy_sem2_num17;5.8;55.95970612;63.89338272;34.89513798;29.71545522;94.48464645;64.88884878;64.9253592;121.34717690000001;140.9624774
0995tommy_sem2_num18;6.3;44.78138089;51.62753324;33.08648775;29.78649092;69.41758917;52.15993851;51.34842741;123.1254968;136.01562140000001
0997tommy_sem2_num19;5.6;50.13197276;53.13513018;34.05418143;27.353697999999998;76.10781337;54.21514934;54.02371202;124.28105690000001;136.8610183
0999tommy_sem2_num20;5.5;42.28856479;47.18377006;33.43385388;31.796681899999996;61.58963217;47.14485486;46.79920084;124.2359176;134.2117857
1001tommy_sem2_num21;5.6;60.38484846;77.30804166;33.40212261;31.96820998;116.1685841;77.31094752;77.48463535;116.46560890000002;146.4537478
1003tommy_sem2_num22;5.7;49.85697598;65.44709318;32.521400199999995;32.05901903;98.89790831;65.37813299;64.91922401;118.38134740000001;141.4006097
1005tommy_sem2_num23;5.7;53.381221499999995;65.37213365;33.75719392;30.7608673;94.52447114;65.40639089;65.54466335;119.7940514;141.2495971
1007tommy_sem2_num24;5.7;55.02315449;72.61106445;31.70384682;31.48026289;110.68136609999999;72.51689998;72.34883555;116.9485848;144.5277101
1113tommy_sem3_num17;5.1;50.84229910000001;53.69134754;34.44105704;26.22582943;71.83576042;54.55187101;54.81838541;124.33796219999999;136.78825080000001
1115tommy_sem3_num18;5.8;49.55870521;59.46115018;30.77521791;29.93478392;91.8208161;59.48702786;59.49370427;120.68734040000001;140.3179816
1117tommy_sem3_num19;6.7;45.01233845;47.03715866;32.19482812;25.8131479;61.39838444;47.86566576;47.37713584;125.2953868;134.6214697
1119tommy_sem3_num20;6.0;47.82755528;52.20837182;32.29940193;27.66320768;78.14150687;52.94439358;52.73439258;123.55008319999999;137.3152493
1121tommy_sem3_num21;6.0;56.48708872;66.37347515;33.67041789;29.82500896;99.54231552;66.85616923;67.20291476;120.08098629999999;142.5079342
1123tommy_sem3_num22;6.9;48.08502417;57.12479219;31.23980691;29.87910967;88.71100332;57.25962915;57.14015304;121.26258600000001;139.3602304
1125tommy_sem3_num23;5.9;47.98485998;59.19128169;31.485235100000004;30.49458694;87.36816219;59.19243997;58.95636263;120.46798700000001;139.6291334
1127tommy_sem3_num24;5.8;49.55798561;59.96824541;30.21176694;29.349290999999997;95.85698154;60.15916698;59.9868667;120.4234518;140.8017725
1233tommy_sem4_num17;6.6;50.17472772;50.21307539;28.31193538;25.52635616;101.4954075;56.24612341;51.52214872;125.16588429999999;139.0215243
1235tommy_sem4_num18;5.8;56.83267136;65.87807384;30.30511644;27.56853605;106.7132043;67.35162917;66.635992;120.3887519;143.40015359999995
1237tommy_sem4_num19;5.8;49.03745966;48.16112327;27.49962555;24.00205554;100.82924090000002;53.33318849;49.28481408;125.63367040000001;138.6002451
1239tommy_sem4_num20;5.8;53.48629684;60.86497018;27.58927954;27.17555605;110.0765057;62.09715036;61.48573624;121.07653140000001;143.00686130000003
1241tommy_sem4_num21;5.8;56.80485783;64.45063096;28.24366769;26.54178887;113.66406809999998;66.78307809;65.49863009;120.7561308;144.10818419999995
1243tommy_sem4_num22;6.2;55.68740099;73.49934094;28.201086;32.58607519;123.40651640000002;73.42996639;73.12568178;115.9337315;147.0636996
1245tommy_sem4_num23;6.6;49.29934444;54.62585299;27.51617034;26.34964292;98.86306096;56.81913433;55.02737099;122.57463600000001;140.3283884
1247tommy_sem4_num24;6.8;56.47068207;73.69332601;28.12729093;32.00149076;122.89364040000001;73.67191283;73.41488923;116.20179250000001;147.1395372
1353tommy_sem5_num17;6.0;45.84785829;42.54422879;27.94008429;24.97424068;85.94138403;47.51761162;43.53626869;127.146478;135.77206730000003
1355tommy_sem5_num18;6.0;50.35946005;61.41453484;25.72862105;30.48451283;117.316704;61.56475113;61.274933600000004;119.1760324;143.9946076
1357tommy_sem5_num19;6.0;47.41838582;50.43070302;25.46836102;25.23381966;105.2153632;53.43492503;50.8125055;123.5612968;140.00481259999998
1359tommy_sem5_num20;6.2;49.95730006;47.98044722;26.51935359;24.08018926;99.00601761;53.99919761;49.48771017;125.98894820000001;138.69426430000001
1361tommy_sem5_num21;6.4;46.69692682;54.92749572;26.20819704;27.94797119;101.4172592;55.55331068;54.69841514;121.27469009999999;140.6483022
1363tommy_sem5_num22;6.2;46.55687215;52.31307798;26.49522424;29.42031473;104.6067686;54.54706751;52.33082919;122.2113919;140.3632658
1365tommy_sem5_num23;6.2;50.28829983;52.75703817;26.65289864;30.59772326;107.25171259999999;59.13558178;53.69897978;124.08474509999999;140.3155815
1367tommy_sem5_num24;6.0;52.32136765;60.86306612;26.83276404;28.49992348;110.9055165;63.37667373;61.31271671;120.8411688;142.8993092
1473tommy_sem6_num17;5.7;40.5271914;30.21113517;24.89070669;25.83585616;82.06948668;40.50617202;31.25616675;131.2083626;132.0891129
1475tommy_sem6_num18;5.8;48.81036614;40.50620583;26.52140691;22.70924831;96.39583234;49.34329526;42.60569909;129.2579307;136.25627759999998
1477tommy_sem6_num19;5.7;45.99040532;35.61622238;25.33492271;35.14741271;99.03873115;46.63922993;37.78065722;130.6389056;134.8547035
1479tommy_sem6_num20;6.1;48.93519909;55.75424014;25.33505928;27.95903703;110.57545959999999;58.44376425;55.85656702;121.6983871;141.7203904
1481tommy_sem6_num21;5.9;48.45358878;52.21194114;26.04830426;25.47068026;104.88851809999998;55.59308038;52.719318200000004;123.34586370000001;140.0013628
1483tommy_sem6_num22;6.0;52.01097531;60.4393913;26.04716954;28.19723056;116.7926758;61.59752215;60.81583873;120.3950504;143.6101668
1485tommy_sem6_num23;5.8;49.56083553;54.71191175;24.59163863;24.65900581;108.45754779999999;56.95112462;54.87327984;122.46350530000001;141.4214897
1487tommy_sem6_num24;5.9;49.0306846;49.14751396;25.19084451;24.41265894;106.7536422;54.68654952;50.16602818;125.09590259999999;139.4630846
1593tommy_sem7_num17;7.2;50.51617626;36.77523398;23.30575287;31.01785634;112.0999362;51.08377122;40.21666081;131.6461811;136.81030959999998
1595tommy_sem7_num18;6.4;39.70162084;24.69329529;21.96459979;45.21235419;98.89071035;39.61180875;26.64686892;133.4369774;131.5750871
1597tommy_sem7_num19;6.8;44.20331447;30.23642775;21.77586079;51.67612235;112.15850879999999;44.28086722;32.83719388;132.1774791;134.26314219999998
1599tommy_sem7_num20;6.6;47.97161797;34.98545331;23.03844127;31.42672395;111.50703700000001;48.75616220000001;38.02654402;131.44129660000002;135.9770455
1601tommy_sem7_num21;6.6;41.53541831;34.95256555;22.50475692;29.40056121;100.34963979999999;43.56712589999999;35.84298772;128.6928082;135.21939980000002
1603tommy_sem7_num22;7.2;42.16746369;36.18094516;21.99243694;29.64337339;104.6979115;43.98520166;36.85470417;128.3734695;135.7776789
1605tommy_sem7_num23;6.6;49.77405388;55.92862359;22.36214849;26.78330621;122.01944830000001;58.24341652;56.08824317;121.63475840000001;143.0740073
1607tommy_sem7_num24;6.0;40.68700655;40.13723710000001;22.25253961;25.579669;100.4796072;45.22584727;39.93884535;125.8928399;136.54588930000003
