ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy_sem1_num32_;444;5.8;173.42316319654702;172.96873950653008;173.17827239245892;71.89926352585948;4.23637704801276;174.20899199843632;180.328703935249;128.14930776030056;128.0516813441287
tommy_sem1_num33_;445;6.7;173.32598996958234;172.76755507285594;173.26516272915956;74.30689698940114;3.6357988968907167;174.0870543289359;180.13826357855012;128.24393463483614;127.9004006719393
tommy_sem1_num34_;446;5.7;173.49253001690562;172.96773913836552;172.98358762694863;71.31960614435086;4.730462666020091;174.2531884799115;180.35572151424785;128.16065828997523;128.16734712353895
tommy_sem1_num35_;447;6.6;173.3345713116123;172.9789087952246;173.15039536953896;72.61061015955431;4.405563096341664;174.2234238463859;180.32230193352225;128.10080758414423;128.0590844871685
tommy_sem1_num36_;448;5.1;173.20163961584075;173.01121294242256;173.15060699700106;73.44631097040931;4.727628005820973;174.2608118462791;180.3287470729917;128.01543597800034;128.0614864870899
tommy_sem1_num37_;449;6.0;173.1674094982871;172.82527501821846;172.7777006396105;75.16715840852909;5.2575952628457925;174.13563208979016;180.179860307356;128.0516082805534;128.1979219134016
tommy_sem1_num38_;450;6.1;173.57599719779702;173.2243271676383;173.59333709870288;74.09524590553735;4.071462707100909;174.52271378547238;180.57753962624489;128.12980877213897;127.94781047609987
tommy_sem1_num39_;451;6.3;174.0327435891597;173.54097688846736;173.84218426943292;70.80275469214392;3.675968485877129;174.76717267018702;180.91582102136738;128.18847829280622;127.99370855079374
tommy_sem2_num32_;504;6.1;165.84446148435032;165.87314026878417;165.00392000872523;69.92225937915272;9.128568896104824;167.1592665177559;173.1146642016127;127.7467639087595;128.63711610644935
tommy_sem2_num33_;505;6.3;167.1909144004149;167.32716675512017;166.34318444104187;74.95245788323045;8.991548933282967;168.63065367223453;174.63455408191203;127.66722544394078;128.69539284760623
tommy_sem2_num34_;506;6.7;166.76797537203092;166.45990583943848;165.9204233009956;68.23344010438993;7.402352959694357;167.7226857613596;173.76546109716975;127.95967189263796;128.47441692029605
tommy_sem2_num35_;507;6.4;166.29919602336668;166.0867016105816;165.77022194916873;69.53609195494684;7.402948799011204;167.32671984154283;173.34171037919083;127.93158475285423;128.35386729578372
tommy_sem2_num36_;508;6.6;164.93811582156275;165.70001117217583;163.29870538489158;66.12966917549905;11.963685393714993;166.75871680759738;172.8405197694741;127.20277182217545;129.3677060895169
tommy_sem2_num37_;509;6.4;167.2814026117143;167.20435260574283;166.7231907750789;69.85440553264853;7.4834889994945275;168.40944217801848;174.48003610662033;127.8447088129072;128.42448751120793
tommy_sem2_num38_;510;5.8;166.33444870749275;166.20538110214096;165.06938517596438;68.97176413760646;9.37533277695616;167.43656493135518;173.44485091803742;127.76844199433086;128.8117546008284
tommy_sem2_num39_;511;5.7;167.36254430318303;167.5610633365454;165.99857355542375;69.39405912757738;9.742483856801195;168.7454803293976;174.78803268883206;127.56956497980788;128.98657435873736
tommy_sem3_num32_;564;6.6;158.9366181299029;159.04697270648472;156.86732028704776;64.60585287797926;14.760960485164466;160.28512122525328;166.0296276704765;127.49386427835293;129.42529534094402
tommy_sem3_num33_;565;5.9;160.44163035256275;160.8130819119053;157.60163355418737;72.5361368312757;16.608876476453545;162.19617407171023;167.82572065579276;127.24244726919723;129.96971986454045
tommy_sem3_num34_;566;7.0;160.07084303421138;160.21622380874555;158.63724546079285;74.89174835944644;12.227033561912364;161.55154473366238;167.21903393766792;127.55451421820524;129.08707099011022
tommy_sem3_num35_;567;6.1;160.96608105848304;161.03058891139403;159.11812312122237;65.65269243461006;13.614360430821689;162.38734646044097;168.05825608911502;127.58845598860096;129.24986774320735
tommy_sem3_num36_;568;6.1;161.70257805578777;162.2250058942044;159.58518861230783;74.65541200153785;14.84504892971072;163.53707887137597;169.25365423927255;127.24275515207049;129.62636002068328
tommy_sem3_num37_;569;5.9;162.18216253558853;162.9302565474787;160.07081894946526;67.62406574627772;15.187805650220053;164.09511085792818;169.90065938062628;127.12249811675704;129.69742925056977
tommy_sem3_num38_;570;5.9;156.89874186644448;158.50342860176076;153.6005941145923;72.4615859741155;21.43073093046268;159.70947594941345;165.20314311239892;126.41792459928341;130.76449644963492
tommy_sem3_num39_;571;5.7;158.46763074305375;158.70206337341395;155.72097160154462;69.34736915870948;17.56838541331769;160.07800432509572;165.61476610390415;127.32473937681291;129.88417852093872
tommy_sem4_num32_;624;5.8;147.82714411173447;146.9182306960341;142.70281675432062;67.38728545319286;28.37142761537459;149.82115524285012;153.73466437976003;127.77837250076807;130.80168360469
tommy_sem4_num33_;625;6.6;151.51527528278783;152.5806086538834;147.12483017881766;71.7773875658186;26.26119764874829;153.91662101457433;159.12864613789745;126.5605703736747;131.22058808754502
tommy_sem4_num34_;626;6.8;152.70941867309242;152.816044750523;148.8937826478784;67.82017449412544;23.05460416622013;154.2246070152584;159.55784808342287;127.2173581081926;130.50885604209535
tommy_sem4_num35_;627;6.6;148.8482674684436;149.21562304171889;144.7899486792684;65.56978701716642;26.41493256494341;150.7366468889041;155.7391063403279;127.01370837887946;130.79832421517776
tommy_sem4_num36_;628;6.8;151.30040208483214;151.87193244687722;147.15874345992344;65.67723942369865;25.03811150137889;153.40163712387704;158.50993784429562;126.90123024213571;130.88933329850394
tommy_sem4_num37_;629;6.4;150.3472608110107;150.7294754693591;146.11087558824502;65.55950910989478;25.171109897664103;152.31691479175663;157.3548620366443;127.01629616345345;130.8456696631105
tommy_sem4_num38_;630;6.4;153.26148014978648;153.18570315635804;149.43800647391316;66.86681623768469;22.631207082824286;155.0723088029668;159.98765406912509;127.39958022771276;130.3793670696159
tommy_sem4_num39_;631;6.8;146.59827419134808;146.48058559571732;141.72811255900174;66.38233130742384;28.704840152079395;148.43853414862485;153.0477115034792;127.22506037094192;131.05087825878059
tommy_sem5_num32_;684;6.0;133.41772505590563;131.24741603884462;128.9707780584223;72.28795822973822;30.723843519143664;134.43399986961305;138.0190913335995;128.56669024348423;129.98717441218707
tommy_sem5_num33_;685;6.0;142.5733573086795;144.26542629386714;136.35640945050835;68.6337493491816;32.86543227179605;145.6781358339495;150.86987737264053;125.94187371175913;132.48231186101472
tommy_sem5_num34_;686;5.8;138.2952138223112;137.33439166675598;134.79904502725623;70.73177527073153;25.341444785593854;139.56283118619075;144.0472252195591;127.90615394009704;129.9342724486579
tommy_sem5_num35_;687;6.2;142.24687319713257;141.85062205066515;137.1474649004594;67.93447422468884;29.018360697847015;144.4609745899509;148.6874816085194;127.43453456214098;130.9902425520923
tommy_sem5_num36_;688;6.4;138.65825751801304;138.73495978768364;134.464743280607;67.66539932899839;28.616755202528445;140.15458254297408;145.22571917107842;127.0989147686882;130.8115154278567
tommy_sem5_num37_;689;6.0;137.3501332949763;134.48730195249985;132.56562956577577;71.67685775163788;30.799371441150843;138.1229955239769;141.41860589340064;128.9836007437861;129.9133900248628
tommy_sem5_num38_;690;5.8;137.8445814679516;137.2195500712663;132.96843728901428;70.83739338522912;31.197766018393487;139.87378166906902;143.87029097164174;127.57880286141298;130.83362380151178
tommy_sem5_num39_;691;6.0;138.73919468423142;139.3029052846008;133.87106810239663;68.6897097684828;30.526034550084663;140.93257016224243;145.8842972980878;126.77643062275844;131.32272929124872
tommy_sem6_num32_;744;5.7;129.65968418711498;129.86736423444108;124.30354873524664;67.67626364262725;37.54308512212748;131.9765396714711;135.95836983721279;126.92350626013624;131.48197556762975
tommy_sem6_num33_;745;5.8;133.5742675613801;135.3536573147523;128.2631645324735;76.91583497544974;36.58139957659965;136.78730551358166;141.58693513316436;125.94043325974508;132.1182067899002
tommy_sem6_num34_;746;5.9;130.99846488349124;128.23477495190866;123.78461095236946;70.98816559856539;40.37516315113098;132.39987206339129;135.10700662941707;128.58651678977517;131.36062436481018
tommy_sem6_num35_;747;5.9;133.28571508309042;130.4564076978756;128.50929643293466;70.37968424590801;32.84251090539444;134.29038601680384;137.30474448847238;128.9862370885667;129.88874153377915
tommy_sem6_num36_;748;5.9;132.4051380549929;132.63848469493922;127.67524340384944;69.22116760058549;32.522602822609464;134.04365314192353;139.0046507561103;126.93679157914669;131.17608952358756
tommy_sem6_num37_;749;6.0;136.3435466052955;137.2092272318494;131.7271967688597;69.99816682429199;32.948982953916264;138.76327778380593;143.62394529463876;126.59220344114368;131.36098357079834
tommy_sem6_num38_;750;7.2;133.68957594883292;132.036565863492;127.44416218126644;71.23888805722558;35.184838342514;135.432119584923;138.80275622709294;128.09640811314907;131.07756605527692
tommy_sem6_num39_;751;7.0;136.7374164876079;136.47571543138432;131.47911199457198;68.08395987163138;31.224125140433888;138.41333867383972;143.23261541812238;127.25445821768193;131.20787455101342
tommy_sem7_num32_;804;6.6;121.95058270691857;118.65967229648744;115.93196156691064;73.85145555591278;36.72016577747626;122.77716919084507;125.22472286135029;129.15550797771633;130.32756145042976
tommy_sem7_num33_;805;6.4;119.37992070283144;116.99775728854236;113.17535938407158;76.30800379930591;39.54674989087923;120.93823570345086;123.36048705336044;128.59693772639102;130.80854091984418
tommy_sem7_num34_;806;6.8;115.8542436866687;112.70464453391956;109.14626749951047;67.0894157503858;42.24176956923636;116.66747885419242;118.7761637892645;128.94013525636214;130.83767419718257
tommy_sem7_num35_;807;6.2;117.36123559983808;116.8346661231682;112.0732878648452;74.75021899536857;37.82878324906818;119.02950179219738;122.8095223945147;127.4123156442455;131.1452365451389
tommy_sem7_num36_;808;6.6;121.5811110709448;117.12263871723252;114.5975040913537;82.59152404478165;39.55866295557314;122.5670437517724;124.27248898930628;129.72212013415566;130.5706735758352
tommy_sem7_num37_;809;6.4;119.4940275690247;119.11637827485569;113.02328403918415;68.95048195725988;40.79209156302164;121.85018114556424;125.14105260889988;127.25262216743292;131.79661118411886
tommy_sem7_num38_;810;6.6;117.80086567219827;116.09905788175688;112.30328218436537;66.56721022840935;36.442276373602745;119.1189820787162;122.21171387723444;128.23674962201179;130.6562130495899
tommy_sem7_num39_;811;6.2;114.46224845812974;115.62513917801745;107.37586063198376;70.53352225486361;46.55227989980767;117.34611044466412;121.13089300433849;126.09574110801218;132.88807723573422
