ind;time;dominant_HSV
0001palmer_sem1_num1;35;1.0
0003palmer_sem1_num2;35;1.0
0005palmer_sem1_num3;35;1.0
0007palmer_sem1_num4;35;1.0
0009palmer_sem1_num5;35;1.0
0011palmer_sem1_num6;35;1.0
0013palmer_sem1_num7;35;1.0
0015palmer_sem1_num8;35;1.0
0017palmer_sem1_num9;35;1.0
0019palmer_sem1_num10;35;1.0
0021palmer_sem1_num11;35;1.0
0023palmer_sem1_num12;35;1.0
0025palmer_sem1_num13;35;1.0
0027palmer_sem1_num14;35;1.0
0029palmer_sem1_num15;35;1.0
0031palmer_sem1_num16;35;1.0
0033palmer_sem1_num17;35;1.0
0035palmer_sem1_num18;35;1.0
0037palmer_sem1_num19;35;1.0
0039palmer_sem1_num20;35;1.0
0041palmer_sem1_num21;35;1.0
0043palmer_sem1_num22;35;1.0
0045palmer_sem1_num23;35;1.0
0047palmer_sem1_num24;35;1.0
0049palmer_sem1_num25;35;1.0
0051palmer_sem1_num26;35;1.0
0053palmer_sem1_num27;35;1.0
0055palmer_sem1_num28;35;1.0
0057palmer_sem1_num29;35;1.0
0059palmer_sem1_num30;35;1.0
0061palmer_sem1_num31;35;1.0
0063palmer_sem1_num32;35;1.0
0065palmer_sem1_num33;35;1.0
0067palmer_sem1_num34;35;1.0
0069palmer_sem1_num35;35;1.0
0071palmer_sem1_num36;35;1.0
0073palmer_sem1_num37;35;1.0
0075palmer_sem1_num38;35;1.0
0077palmer_sem1_num39;35;1.0
0079palmer_sem1_num40;35;1.0
0081palmer_sem1_num41;35;1.0
0083palmer_sem1_num42;35;1.0
0085palmer_sem1_num43;35;1.0
0087palmer_sem1_num44;35;1.0
0089palmer_sem1_num45;35;1.0
0091palmer_sem1_num46;35;1.0
0093palmer_sem1_num47;35;1.0
0095palmer_sem1_num48;35;1.0
0097palmer_sem1_num49;35;1.0
0099palmer_sem1_num50;35;1.0
0101palmer_sem1_num51;35;1.0
0103palmer_sem1_num52;35;1.0
0105palmer_sem1_num53;35;1.0
0107palmer_sem1_num54;35;1.0
0109palmer_sem1_num55;35;1.0
0111palmer_sem1_num56;35;1.0
0113palmer_sem1_num57;35;1.0
0115palmer_sem1_num58;35;1.0
0117palmer_sem1_num59;35;1.0
0119palmer_sem1_num60;35;1.0
0121palmer_sem2_num1;50;1.0
0123palmer_sem2_num2;50;1.0
0125palmer_sem2_num3;50;1.0
0127palmer_sem2_num4;50;1.0
0129palmer_sem2_num5;50;1.0
0131palmer_sem2_num6;50;1.0
0133palmer_sem2_num7;50;1.0
0135palmer_sem2_num8;50;1.0
0137palmer_sem2_num9;50;1.0
0139palmer_sem2_num10;50;1.0
0141palmer_sem2_num11;50;1.0
0143palmer_sem2_num12;50;1.0
0145palmer_sem2_num13;50;1.0
0147palmer_sem2_num14;50;1.0
0149palmer_sem2_num15;50;1.0
0151palmer_sem2_num16;50;1.0
0153palmer_sem2_num17;50;1.0
0155palmer_sem2_num18;50;1.0
0157palmer_sem2_num19;50;1.0
0159palmer_sem2_num20;50;1.0
0161palmer_sem2_num21;50;1.0
0163palmer_sem2_num22;50;1.0
0165palmer_sem2_num23;50;1.0
0167palmer_sem2_num24;50;1.0
0169palmer_sem2_num25;50;1.0
0171palmer_sem2_num26;50;1.0
0173palmer_sem2_num27;50;1.0
0175palmer_sem2_num28;50;1.0
0177palmer_sem2_num29;50;1.0
0179palmer_sem2_num30;50;1.0
0181palmer_sem2_num31;50;1.0
0183palmer_sem2_num32;50;1.0
0185palmer_sem2_num33;50;1.0
0187palmer_sem2_num34;50;1.0
0189palmer_sem2_num35;50;1.0
0191palmer_sem2_num36;50;1.0
0193palmer_sem2_num37;50;1.0
0195palmer_sem2_num38;50;1.0
0197palmer_sem2_num39;50;1.0
0199palmer_sem2_num40;50;1.0
0201palmer_sem2_num41;50;1.0
0203palmer_sem2_num42;50;1.0
0205palmer_sem2_num43;50;1.0
0207palmer_sem2_num44;50;1.0
0209palmer_sem2_num45;50;1.0
0211palmer_sem2_num46;50;1.0
0213palmer_sem2_num47;50;1.0
0215palmer_sem2_num48;50;1.0
0217palmer_sem2_num49;50;1.0
0219palmer_sem2_num50;50;1.0
0221palmer_sem2_num51;50;1.0
0223palmer_sem2_num52;50;1.0
0225palmer_sem2_num53;50;1.0
0227palmer_sem2_num54;50;1.0
0229palmer_sem2_num55;50;1.0
0231palmer_sem2_num56;50;1.0
0233palmer_sem2_num57;50;1.0
0235palmer_sem2_num58;50;1.0
0237palmer_sem2_num59;50;1.0
0239palmer_sem2_num60;50;1.0
0241palmer_sem3_num1;65;1.0
0243palmer_sem3_num2;65;1.0
0245palmer_sem3_num3;65;1.0
0247palmer_sem3_num4;65;1.0
0249palmer_sem3_num5;65;1.0
0251palmer_sem3_num6;65;1.0
0253palmer_sem3_num7;65;1.0
0255palmer_sem3_num8;65;1.0
0257palmer_sem3_num9;65;1.0
0259palmer_sem3_num10;65;1.0
0261palmer_sem3_num11;65;1.0
0263palmer_sem3_num12;65;1.0
0265palmer_sem3_num13;65;1.0
0267palmer_sem3_num14;65;1.0
0269palmer_sem3_num15;65;1.0
0271palmer_sem3_num16;65;1.0
0273palmer_sem3_num17;65;1.0
0275palmer_sem3_num18;65;1.0
0277palmer_sem3_num19;65;1.0
0279palmer_sem3_num20;65;1.0
0281palmer_sem3_num21;65;1.0
