;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer1_IMG_5321_20170519;165.70416541638087;166.48471514471166;164.65162165414594;66.5567731329661;11.147571956179268;167.5039832207183;173.50213023021337;127.26249934136732;129.08270059942274
palmer1_IMG_5326_20170519;165.37864229457804;165.30891285195543;164.80352272483708;66.91279999044424;7.954527106195703;166.34908866446258;172.36877904681785;127.84413423961193;128.4409496166088
palmer1_IMG_5331_20170519;165.3224566842957;164.7594662820252;164.37720424266618;75.77510640825045;8.291425930837763;166.09896804537462;171.94538628918755;128.07178538130145;128.47675981072462
palmer1_IMG_5336_20170519;165.1893217891768;165.6838390627679;164.33819772644458;67.73463605297282;10.100305962791497;166.73197009762947;172.6842766627908;127.46400728648693;128.84241191513416
palmer1_IMG_5341_20170519;165.92324417456132;165.9574370905314;165.23881513319114;67.52036788096207;8.404274436835562;167.05586355006145;173.0453866575753;127.77050105872414;128.5440069337277
palmer1_IMG_5346_20170519;166.13755577167638;166.4720191624157;165.15407963784585;68.60297928589034;9.762068327671324;167.56870688746713;173.5663536710176;127.54675733917752;128.83857459830105
palmer1_IMG_5351_20170519;164.76280331709748;165.67964401907938;163.11031466790624;65.85600827064043;12.658884363300896;166.68321810610286;172.66021519204392;127.10714430039366;129.45742944369428
palmer1_IMG_5356_20170519;164.8303978967514;164.2938820167824;163.45303842887301;73.98787702814215;10.495264263528092;165.68974722123988;171.46949375258987;127.99286823595394;128.75039875185757
palmer1_IMG_5361_20170519;164.81369848822587;164.80831818478148;163.66672750646578;72.85533211162551;10.179149486400462;166.0405208690558;171.8998274940522;127.70177106329659;128.8338105629501
palmer1_IMG_5366_20170519;164.92966584326416;164.65881827676682;163.71418550802684;74.18591967226438;10.17169744825603;165.9504775198617;171.77580880094018;127.84954613509872;128.76472925954505
palmer1_IMG_5371_20170519;165.4703911675347;164.79694499367713;164.199879001361;73.79395323841878;9.52787824717078;166.2377515530336;172.00363732692472;128.10392174461305;128.6146183301719
palmer1_IMG_5376_20170519;165.5041235429706;166.17026944328347;163.59362112009532;74.81837751530708;13.148316992544725;167.42266837330675;173.23554920812256;127.20776958840591;129.52174799552398
palmer1_IMG_5381_20170519;165.1780010654221;165.66751094446587;163.33067887615385;73.44695043018761;12.834979245256054;166.90424675193614;172.72565727076903;127.3209961942194;129.41611486643376
palmer1_IMG_5386_20170519;164.5577293783222;164.50899954587834;163.34134409293551;73.5883563564529;10.737929662940816;165.7499691335698;171.56823378825874;127.71071568590678;128.86314835131958
palmer1_IMG_5391_20170519;163.80169580055798;163.1975948855274;162.6354858789152;74.58222191858141;10.314500233982052;164.6129625945752;170.2935081590078;128.0599200576203;128.6120786313657
palmer1_IMG_5396_20170519;163.66562507814285;164.51499137302812;162.45809929546397;67.51505801772548;12.553758772094335;165.56111374564185;171.43992667073903;127.17773163999986;129.22442953478648
palmer2_IMG_7268_20170601;155.11166648358915;155.4080728496871;152.87439651384602;71.05008220629001;18.22619718212377;156.57205536488698;162.0554605003465;127.28465501936155;129.6894009925483
palmer2_IMG_7273_20170601;155.7715167484711;157.90620155142602;152.8726977438593;72.75851366473051;22.40405156223208;159.08623260093378;164.43025241707036;126.13497303848024;130.80905657900377
palmer2_IMG_7278_20170601;154.14725575667296;155.41846149655638;150.75357118457433;74.83441700736955;23.732050082429556;156.68411111155766;161.97980732649606;126.54046304333849;130.77990276125615
palmer2_IMG_7283_20170601;153.56367247781637;154.21165300952714;150.7542963503265;75.0108471780157;22.36237992791209;155.5268035595636;160.78448678894458;126.973939299965;130.2104306319123
palmer2_IMG_7288_20170601;153.05768651138118;154.17757384723654;149.70755475135388;71.68867080332647;22.397086242480427;155.4519061946302;160.89599414017846;126.68362696071604;130.61602227830647
palmer2_IMG_7293_20170601;153.76858192586877;153.33341990446033;151.6052941565215;73.60251774066215;15.855966408393344;154.81089795971218;160.17917186874857;127.760928893122;129.32301747095764
palmer2_IMG_7298_20170601;154.8283750013396;155.42423485859268;152.55817094130444;72.66338913180155;18.390829399398434;156.72653408948833;162.16682535249132;127.11206082595665;129.83178833733425
palmer2_IMG_7303_20170601;154.93273501577147;156.26609731777978;152.1218457634066;73.1346393684628;20.912133264389;157.47699468583892;162.9508987098837;126.60188232756774;130.43098243884316
palmer2_IMG_7308_20170601;155.4455099781736;155.60751341378028;153.27865878272178;72.34966742398262;17.144500718467793;156.87851067967318;162.35402913523092;127.3909279152199;129.5864957191108
palmer2_IMG_7313_20170601;155.47779447802355;155.8243107353109;152.9042481473444;72.69620863116926;18.592917722711626;157.07794649937844;162.5514939687107;127.21134741512344;129.8989297442094
palmer2_IMG_7318_20170601;151.03367706145337;151.44049711362595;149.52836680750244;71.69242802372685;17.772797230884915;152.62239544261905;157.80778234801883;127.31224586825205;129.3307561259538
palmer2_IMG_7323_20170601;151.42027268063057;153.17965825224337;149.47522363370555;68.576818228095;21.07217598397491;154.24884387636817;159.5125682187179;126.43436541075458;130.16682323147074
palmer2_IMG_7328_20170601;154.20076748569315;155.71873180387658;151.39706787890802;67.418021273166;22.08701363883173;156.81293101369602;162.18461546791053;126.4921779554077;130.5106315037187
palmer2_IMG_7333_20170601;153.71633454834318;153.5524634983532;151.49235913521304;71.92657640942929;17.447824737172066;154.91313416280863;160.21265223345694;127.57324910872484;129.4909065152392
palmer2_IMG_7338_20170601;154.06886936880215;153.33784865112025;151.23729263117283;67.0087564657636;18.87075695426812;154.85233577942816;160.06520162197788;127.86952659491811;129.58486582647458
palmer2_IMG_7343_20170601;154.24951177456634;156.03623886352594;151.42744122763776;68.63793878332905;22.080366918688558;157.129236626854;162.46883523153502;126.33683575218978;130.62215470679013
palmer3_IMG_9229_20170614;142.9696126971879;143.08134247649463;141.22849106581504;72.92081242453631;17.879273633080427;144.36582759094938;149.30751716463763;127.45229830434455;129.34910233946331
palmer3_IMG_9234_20170614;144.21644093426713;147.55678775684441;139.601461863158;70.46246837446773;32.223512695759034;148.64879037083475;153.65259190940068;125.12436888476292;132.3328351167767
palmer3_IMG_9239_20170614;143.33147984048142;146.44579039941272;139.2408866446259;72.44991997054684;30.82053526297081;147.5785666187986;152.53020796494556;125.29835430017931;131.99823938552026
palmer3_IMG_9244_20170614;145.04229789353641;143.72426124855326;140.52831964270405;68.93247876300298;25.46832060497757;146.2164317803891;150.53570620829402;127.9614640154357;130.396025062425
palmer3_IMG_9249_20170614;140.55560886015022;143.1162327058685;138.13630503936616;69.97848537254944;26.9101102015282;144.16626618450292;149.0653494794346;125.81686143216663;130.86786834758658
palmer3_IMG_9254_20170614;140.45045792833005;142.72520566084748;138.10302008762716;71.11084810456677;25.74401319631988;143.82399626611084;148.6984144366927;126.01509770313572;130.6788282634245
palmer3_IMG_9259_20170614;143.61180725237196;144.3006127405014;141.0044613992127;69.40590505508402;21.654180665402087;145.43724553335406;150.70941963073705;126.94482053487222;130.1203852733303
palmer3_IMG_9264_20170614;143.30055480315144;146.0919824084791;140.88248904437089;72.18462953362554;26.440320901473907;147.21342540125244;152.24123292913382;125.69946054633915;130.95099231386817
palmer3_IMG_9269_20170614;142.36929518041623;143.81014812314243;138.66309190984725;71.13017171782121;28.780597339659767;145.02720259050284;149.984030557431;126.31690988074058;131.1185100121099
palmer3_IMG_9274_20170614;142.09036278604754;141.87541878991985;139.00052216176198;69.74704441372313;21.38217541241569;143.24096266646663;148.34487648516085;127.43581116531992;130.0056760741741
palmer3_IMG_9279_20170614;143.17506255894205;145.21599808750932;139.32918768709632;72.64046854682857;28.34332540518189;146.43789886349026;151.34889620975866;125.96000324627771;131.41948014456878
palmer3_IMG_9284_20170614;144.27634910300932;143.16311992964464;140.55791926547494;69.27752158082562;21.600999815582853;145.12100494621984;149.79211325311854;127.93425210360584;129.9649489079647
palmer3_IMG_9289_20170614;141.14366793883244;142.1523056832633;137.34104977343034;72.34144707406334;27.877819338616685;143.40070961532282;148.34082740117384;126.53817635995372;131.00566976692886
palmer3_IMG_9294_20170614;140.28284958436927;144.15260296103398;135.5195428039802;69.39419640783964;35.27076417690115;145.1768918833233;149.9511608791831;124.74127741474837;132.7195392987147
palmer3_IMG_9299_20170614;142.93339677417342;146.58682246790337;138.067775368745;69.98907417677611;34.06284656358954;147.6918454686964;152.52967056532566;124.89257131540779;132.64005076160265
palmer3_IMG_9304_20170614;139.75223968603535;141.76885408629116;136.69723079561044;72.82773529038779;28.139159709719358;142.9399631746185;147.76731478355768;126.0441261574074;131.00123828526878
palmer4_IMG_0164_20170628;138.27056401954374;139.00330912690757;135.81909721105896;68.64804935324503;25.59549286488697;140.18775156419682;144.77620018504228;126.92537691650948;130.09293870965152
palmer4_IMG_0169_20170628;140.75382157662824;143.66919291373742;135.97523591329806;69.55252584519319;35.03511689948774;144.75070914646562;149.50943669937058;125.28855468303469;132.3459169573581
palmer4_IMG_0174_20170628;136.16584147805213;139.41408153336835;131.94792057380974;69.3150634765625;37.98283530655221;140.49750238670626;144.9186124797275;125.1102338458612;132.26168782775352
palmer4_IMG_0179_20170628;135.09844348351052;134.30294887715405;131.957548332476;69.09749566642019;26.351822715727877;136.10796334921196;140.1388694089899;127.82085676502844;129.80763063923538
palmer4_IMG_0184_20170628;136.833242631798;134.3370571755687;134.6390263645083;73.42823181012803;20.36401166248714;137.41168070558984;140.3929208372628;129.20467340079514;128.38697165378872
palmer4_IMG_0189_20170628;134.57195009528965;135.31628557509578;131.60458858230095;73.59646937157065;28.41907251791481;136.78014701351378;141.16891009239612;126.8525062983146;130.40291285329505
palmer4_IMG_0194_20170628;134.54117168745714;137.85220667625813;130.57942658098636;67.75083808218665;35.04276831356096;138.88139945380374;143.38568207331318;125.11872334212109;132.10688559170669
palmer4_IMG_0199_20170628;132.93797103400422;134.49876137983324;130.59090576730037;67.91456479114869;27.97410362323888;135.6742566827775;140.00171953366126;126.40920804219536;130.41081979452446
palmer4_IMG_0204_20170628;134.9396290580704;138.50797994898835;129.7881600615855;66.36466728109282;39.89860880031507;139.5229622797711;143.96655396233425;124.81931930423384;132.86386313523448
palmer4_IMG_0209_20170628;133.1274954364569;131.06214048702202;129.99635307266658;65.72170078607253;25.58143825731596;133.80897441736684;136.84991429960778;128.7314250511724;129.17736587559298
palmer4_IMG_0214_20170628;137.96898833572675;140.01351971968592;134.44369728705848;70.34566472336536;32.782215901581075;141.12402567015317;145.7371375175933;125.90883630544123;131.35606665452104
palmer4_IMG_0219_20170628;136.92819926920797;141.29764225126456;132.3158171086427;65.08207127030822;39.937917115429954;142.20702058908108;146.82672144257972;124.41741259609341;132.9142704158272
palmer4_IMG_0224_20170628;128.844659471272;128.4850135946252;125.98952132139132;64.37568888513803;27.32180514028207;130.1537777273198;133.87020169342279;127.6201610033186;129.80756857147705
palmer4_IMG_0229_20170628;132.9824524623485;136.96855213111212;128.4552349130694;66.26461003586536;38.712352388135145;137.94257108097923;142.4136566036523;124.62961388942472;132.72992292211433
palmer4_IMG_0234_20170628;131.5449965572488;130.73909019606268;128.7220104550683;60.718931012356386;24.181754378679408;132.31959665557486;136.3463149836034;127.91135836628729;129.57128967647964
palmer4_IMG_0239_20170628;138.85089649955702;136.35234677524505;136.04097554887545;67.06626168570673;20.872971634587905;139.50864907514574;142.76783688950331;129.074074911319;128.80242252916742
palmer5_IMG_0167_20170712;126.22275884041352;127.4106329772698;121.23409513692415;64.53089774314486;38.18840366637375;128.81596407303812;132.7653167822288;126.27974552665607;131.79658168518878
palmer5_IMG_0172_20170712;127.24159372588734;125.5073371123221;122.4157928620292;64.50924402140132;34.20295956039952;128.54866670417525;131.26365552081546;128.21133167491857;130.44551338296966
palmer5_IMG_0177_20170712;127.98838791500557;125.80756773423212;125.9290144108832;71.01033534227466;21.650812652266946;128.6051076741648;131.33869175677654;128.98639298357486;128.41839038655263
palmer5_IMG_0182_20170712;128.90040536051097;130.1213897998114;126.37956638972835;67.10010005635216;30.160243602555585;131.31291555257272;135.27711830784537;126.61380564441515;130.31923747749485
palmer5_IMG_0187_20170712;133.79353065298858;131.37928954073428;132.22651773530382;82.2933090063443;19.95133324000843;134.30562895402878;137.20852857885373;129.26262420249628;127.94712803774792
palmer5_IMG_0192_20170712;137.28552977287666;138.15133548382488;131.79541289125015;65.03789320371442;33.81666121899291;139.95239224322702;144.07295305891347;126.57740234598265;131.7399796292724
palmer5_IMG_0197_20170712;128.5613109447338;127.73466686358671;126.40088499022993;68.47641079121658;22.206635288958907;129.49449957981466;133.22266791561285;128.05278321428827;129.12783853943398
palmer5_IMG_0202_20170712;128.94631736137902;129.95828968496372;125.4948266076889;66.18663066066887;34.09836868962905;131.43736531519704;135.3214025929141;126.60685048323543;130.83066386156122
palmer5_IMG_0207_20170712;132.49440201287078;130.54679802928172;131.17338555732383;80.7710707759988;17.714127905574845;133.13137238288394;136.30178270658294;128.96342417329322;128.0551136576753
palmer5_IMG_0212_20170712;127.71640303497942;125.5786485571702;126.71201503423995;89.77151942765491;18.28420614444016;128.32623757081976;131.45110104407794;129.10919125264346;127.7491115714842
palmer5_IMG_0217_20170712;136.87425094485883;139.32297957166995;130.61671814048572;68.68779231011732;38.44688947875586;140.43761821898576;145.1375793261674;125.35522645131388;132.97559140750027
palmer5_IMG_0222_20170712;137.40447241735612;137.93017003216806;131.15094951390674;68.50173237141702;35.92517726149906;139.42231187441058;144.0622091969236;126.51552224213751;132.20641916813128
palmer5_IMG_0227_20170712;129.2639135597065;128.3925252111197;126.741928791313;70.82947798782578;24.77705322600523;130.40648158195089;133.99304305269777;128.00433285420596;129.36969532768202
palmer5_IMG_0232_20170712;131.11792399646706;130.4342267629923;127.65643598000973;66.88333644788452;29.820952434217105;132.50744567508286;136.1537279949703;127.7050997259195;130.07736070700088
palmer5_IMG_0237_20170712;129.41768408671982;127.48336238015119;126.71933138288752;71.9426479958812;23.138162830075444;130.23283753920538;133.2868889004987;128.68987705002218;128.9985679762517
palmer5_IMG_0242_20170712;133.19651115567487;136.21045502364825;126.42769736877358;63.673293516196566;42.30989806598651;137.1461898322295;141.82258489440443;124.91323591597721;133.5300321435078
palmer6_IMG_0164_20170726;124.01191159541824;122.44147389939128;123.75708532485996;92.52734341510202;16.15922623831876;124.75868116953518;128.02640648219594;128.8384033538023;127.52351223806512
palmer6_IMG_0169_20170726;129.47923721850708;130.7046370643647;125.8847199672425;69.83515858312258;31.835858910608138;132.01788489154666;136.38030221639946;126.48383201874714;130.91182666529136
palmer6_IMG_0174_20170726;123.78777163574888;121.2704859883152;122.52980748278178;95.21436663201591;21.33275915075232;124.42407505644148;126.89940641566288;129.33619213409494;127.73098454870043
palmer6_IMG_0179_20170726;125.60071972924169;126.80998078578676;119.77740866439116;63.508970633019686;40.329586997117204;128.15443312266018;132.48763288751715;126.14229580600565;132.27773373869385
palmer6_IMG_0184_20170726;129.4816724291445;127.34477752280878;128.09978502898878;85.16449379277762;18.62732128950903;130.15969286283294;133.2631117023177;129.0954973301933;128.0104125362583
palmer6_IMG_0189_20170726;130.56991224110158;128.1832795040652;128.0904923915645;82.79783576647877;23.451118905303353;131.35466421342736;134.2632998033479;129.05796592792638;128.60788280624857
palmer6_IMG_0194_20170726;132.80522383910966;132.48395074007988;129.94996780514117;69.95510759602196;23.43339900682656;134.19740053306828;138.61520696918225;127.58094394790236;129.80409277700974
palmer6_IMG_0199_20170726;127.33977749601696;125.37996078791224;126.30213401456051;87.33124323506088;17.451841280239055;127.95317177408407;131.20819468557102;128.96556316667022;127.85198140155252
palmer6_IMG_0204_20170726;125.8453898279428;123.75461640115955;124.86492671539207;89.19577644533037;17.91585520886917;126.51202345134243;129.5488802574517;129.1262231032272;127.72839254999356
palmer6_IMG_0209_20170726;127.80904848563601;126.66403453601895;126.3322346447045;73.83539931895147;17.911874723151005;128.66834612420342;132.2704944723973;128.3971438449324;128.54767881096035
palmer6_IMG_0214_20170726;128.83484824433086;126.03728876868284;126.99887412881873;85.17491782719979;20.55089092908736;129.47199382180213;132.32357920649721;129.44348189184313;127.99567194599837
palmer6_IMG_0219_20170726;126.25374371284865;123.37039984139231;124.92227793808227;97.66830135950715;23.26844897137203;126.88381267280735;129.33734144813457;129.53725466490556;127.62888202571304
palmer6_IMG_0224_20170726;126.78170367512571;126.6340213142468;124.95003350096093;76.37364170962292;23.124206738325906;128.53054777475924;132.47010756476482;127.69241166954231;129.19965115910423
palmer6_IMG_0229_20170726;122.686887192519;120.98912273698272;122.10269445516118;88.8175670063872;15.567086706872285;123.41126989740513;126.66684326953305;128.9782472042717;127.66131209455018
palmer6_IMG_0234_20170726;124.76038496299154;127.08805494827386;121.13972741760617;68.53262363986768;33.95830916486268;128.1555890230267;132.7033952626672;125.73144961035736;131.4998051451939
palmer6_IMG_0239_20170726;122.01460953351835;120.02048872331531;121.00320251771835;90.45630418649263;18.708659803044267;122.61221041371955;125.44810253504372;129.00636027074046;127.8096865220979
palmer7_IMG_0170_20170809;119.56184013935328;117.67580407887873;118.17070497810215;80.60479393057699;21.155837517325388;120.24601912356756;123.19580619543396;128.87029803240742;128.08576664621555
palmer7_IMG_0175_20170809;118.78937362022032;116.70291468407065;116.69324880285136;82.56283193971122;25.707215276438195;119.55852476101678;122.33561633284036;128.847675395001;128.46998962486072
palmer7_IMG_0180_20170809;122.61290443395993;120.65241078541166;119.38641644875973;68.714412903753;28.484924288498085;123.38334621574215;126.672080850623;128.62048825445817;129.24206715999372
palmer7_IMG_0185_20170809;125.95370119196888;122.63627629395648;123.2698699993034;80.15908786963806;26.084902721068392;126.51393298378916;128.761943913073;129.62576395810115;128.32668242696545
palmer7_IMG_0190_20170809;122.52515530335505;120.94134345662935;121.06715363065128;79.22143699809956;22.085843114586908;123.33230932695332;126.58372220570057;128.61628746168768;128.2994498630937
palmer7_IMG_0195_20170809;123.01869964250756;122.175489330597;121.32172320191044;75.56037189080719;21.80603524109082;124.02493142405764;127.87650207324171;128.1020111516561;128.81910909993712
palmer7_IMG_0200_20170809;125.96803164384;123.34913845262844;124.46855324743868;94.89835662213864;21.081523544667352;126.57747948414995;129.42808127348752;129.28890286529779;127.86985663687416
palmer7_IMG_0205_20170809;122.99362555191185;121.84645195687584;120.41817906592935;71.21171418422425;27.43425165707519;124.00127166343378;127.63952312984041;128.18617452962462;129.1777804234718
palmer7_IMG_0210_20170809;113.66892175800898;112.41025716592364;113.53655952833859;89.99989562346394;16.409458992412553;114.52616803483652;117.95903315847195;128.66102190545342;127.58572679335634
palmer7_IMG_0215_20170809;113.92812146124471;111.83041704175241;112.93058681270004;94.11321270754743;22.58727541741684;114.59359315611424;117.46762647310456;128.9907732816608;127.77088245170324
palmer7_IMG_0220_20170809;114.37138494379072;111.37086635427383;112.08910892802284;84.92688998556812;27.032588029049496;114.97901864176096;117.44960081277506;129.44218790187756;128.15628901561428
palmer7_IMG_0225_20170809;121.32097431421823;118.61409549861395;118.23013692192144;71.78653714599051;27.437178944473022;121.88833613977836;124.5925944903478;129.14891584594335;128.82592862743627
palmer7_IMG_0230_20170809;110.8176707689436;109.14967656669741;110.02712132192714;89.04735747635173;21.05330425972365;111.57189935824616;114.71810465159894;128.81403768405994;127.80254281335732
palmer7_IMG_0235_20170809;113.67613696746756;113.58416851307085;110.9974560591528;73.69779208461934;29.88290610398448;115.244729543092;118.9861222185607;127.49829676470694;129.71629240701444
palmer7_IMG_0240_20170809;122.49075162492498;120.862677931295;119.20064340599279;66.42276041443401;29.8844028188586;123.24545269945631;126.66977345938;128.38763000739453;129.41131382485642
palmer7_IMG_0245_20170809;118.12954339340065;116.06119908880959;114.76228305309073;67.70397335239126;31.417703008455504;118.94811018188084;121.94842788842807;128.68513623426426;129.22223372038607
