;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy1_IMG_6248_20170525;174.08795107408488;173.75492707484923;173.97096423378915;71.09914202487354;4.038652752325532;174.9594251565536;181.0998082485818;128.09741177447702;128.02651844975279
tommy1_IMG_6253_20170525;174.10122788110496;173.78361041675598;173.9218579760195;71.54574985443102;4.241912548761145;174.99670114329703;181.13478303969487;128.080063556938;128.06843020592206
tommy1_IMG_6258_20170525;173.2215803902499;172.68964747745915;173.37146950552986;73.64236245070302;2.9926963774755664;173.97872538276607;180.01959610857483;128.26802940002358;127.77965063889604
tommy1_IMG_6263_20170525;173.36360682664966;172.9357331899077;173.3762794219036;72.46843419120798;3.8155118491369455;174.19562970420026;180.2703030223872;128.17169231315373;127.9184454772698
tommy1_IMG_6268_20170525;173.4853942061757;172.95209658412998;173.59475966158337;73.73176078639403;3.2119087041323735;174.25133875466182;180.3068843190944;128.25565737570372;127.81131518677485
tommy1_IMG_6273_20170525;173.45294599703152;172.99707712209218;173.60565729756092;75.01498032139489;3.507930439904121;174.30874696582433;180.33983454030565;128.21004030832052;127.82563592660463
tommy1_IMG_6278_20170525;173.31862394440154;173.03960821625301;173.21494500082161;74.00010052520933;4.729167727176925;174.31019612518574;180.37106567438641;128.05756857147705;128.05777782689614
tommy1_IMG_6283_20170525;173.25867062024892;172.97438114202893;173.1756276992777;73.36320746081249;4.617276638678127;174.2306235286816;180.29677553530087;128.06426401927584;128.04317683327616
tommy1_IMG_6288_20170525;172.8173319638239;172.6870289101795;172.5050164367927;73.04511516694888;5.592981018429213;173.93386362195287;179.98875111186132;127.93819496911794;128.23921561535494
tommy1_IMG_6293_20170525;172.6950225899849;172.44869089497243;172.42860767729053;73.46355288574887;5.4454364122513725;173.713465477377;179.75701979648915;128.00799479613198;128.17119152904593
tommy1_IMG_6298_20170525;173.6939385252343;173.4560551340306;173.4145483253315;72.7018936917724;4.876869735403806;174.68778343532094;180.79610372995967;128.01457582045538;128.16281550738384
tommy1_IMG_6303_20170525;173.5753923999593;173.33560198804366;173.43660437117768;73.83170745947288;4.7805574309842225;174.597905135013;180.67258141146544;128.03224124219466;128.08920582517075
tommy1_IMG_6308_20170525;172.95557729043426;172.7977808432106;172.81862980511616;73.59165683182941;5.1731272951674665;174.0436603701382;180.09841390085592;127.97819322988113;128.13049249426658
tommy1_IMG_6313_20170525;173.0826597976859;172.9573519148127;172.87979244586262;74.35723924397006;5.395023382576731;174.2239218294539;180.26742613713486;127.95174594594835;128.17959903111782
tommy1_IMG_6318_20170525;173.83344976619657;173.37433455772037;173.5715351008802;74.21639404855037;4.370297976591078;174.66574045049583;180.751929737958;128.1445911409215;128.06736662576444
tommy1_IMG_6323_20170525;173.8544637769883;173.42335111864855;173.4776321083212;73.41542793486725;4.577308909447161;174.69993035238411;180.8056592064793;128.11470490129886;128.14080299827458
tommy1_IMG_6328_20170525;173.00119106465405;172.17832865145962;172.91023349979992;75.91897511841992;3.367749291355881;173.6212027592914;179.5621771583505;128.41012577428413;127.796199845679
tommy1_IMG_6333_20170525;173.12057421160554;172.60864190832905;172.82779049273762;74.74847158145077;4.671723123767576;173.93717152090122;179.98054694867756;128.16553766977094;128.07199056212852
tommy1_IMG_6338_20170525;174.09909508334044;173.66632881042457;173.75762718978626;73.87809239210034;4.460562525898776;174.94522453346482;181.05593097618743;128.12024087648606;128.11961059849395
tommy1_IMG_6343_20170525;174.10518163080133;173.70443696282365;173.77384322889873;74.07250641664523;4.527011084676499;174.99133875689446;181.0916010713163;128.10295299639918;128.1265994727366
tommy1_IMG_6348_20170525;173.84901102394832;173.40487797880593;173.63741399819958;75.16741175884844;4.376693523251744;174.722828722458;180.79236961751968;128.14064364265403;128.04861775325432
tommy1_IMG_6353_20170525;173.86430542382905;173.3940120465035;173.6812019086505;74.92257750432242;4.250506589006059;174.71059355977798;180.77847576097759;128.15948037006672;128.02133768968622
tommy1_IMG_6358_20170525;173.40263589266831;173.04864644284768;173.0836210106953;73.8032645184971;4.836177845114598;174.32105815034507;180.40641521633518;128.07224430316217;128.14689786236858
tommy1_IMG_6363_20170525;173.194963145594;172.7539026777549;173.07200546508844;75.94806664514391;4.4907606671703535;174.0831320596494;180.1081602134059;128.146632623171;128.00652554289195
tommy2_IMG_8577_20170608;167.90884138472722;167.8553574522391;166.83906667506145;78.79946404044139;9.114225773926897;169.29615759271763;175.19759421573144;127.74578754161665;128.7462749856217
tommy2_IMG_8582_20170608;167.51128438732425;167.15322866208706;166.6731317046575;65.5843774894083;6.724222791102253;168.30834921866068;174.4429089930377;127.9796002479138;128.4453788097994
tommy2_IMG_8587_20170608;167.296142410676;167.40443167143562;166.1018078127679;65.8911826609475;8.827360093021262;168.5315360586884;174.6171225297925;127.64571048159222;128.85424296758902
tommy2_IMG_8592_20170608;167.11253649271615;167.18290302292309;166.14789848170653;65.88094605775963;8.384733698059556;168.31245294683427;174.3841571711927;127.6952063373414;128.71414950649435
