;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy1_IMG_5768_20170525;172.38234219160807;171.87054027527714;172.01400130297642;65.65407316315158;3.716090240269205;172.9963973908322;179.24290005126167;128.18849598658264;128.06730807443486
tommy1_IMG_5773_20170525;172.40057331184627;171.87257176640372;172.04869494723798;77.73182581241784;5.0378488297325115;173.27295418640333;179.31034515478538;128.1643790344043;128.10640289208965
tommy1_IMG_5778_20170525;172.29125228623684;171.36592783707704;171.90936287669328;77.81766423843307;4.172597430752028;172.87499268806084;178.84898456700816;128.4116555324253;127.94536089275765
tommy1_IMG_5783_20170525;172.46443606752968;171.94556339440086;171.90672856920867;75.32358099261974;5.103291075906637;173.28514408204018;179.37556631247855;128.1336912722908;128.21826054660707
tommy1_IMG_5788_20170525;172.3704927197645;171.8802864761946;172.1978952331961;76.23214563998556;4.482412274591336;173.2242659371249;179.28782309840463;128.17081661076102;128.01279762383191
tommy1_IMG_5793_20170525;172.55607308456212;172.0395852757416;172.2130382591914;73.85679215517118;4.51483408261174;173.34000985939645;179.44967052737053;128.16649369186172;128.089551830597
tommy1_IMG_5798_20170525;172.53768082258088;172.00960933927757;172.0307862221186;76.78260611354023;5.18104640435671;173.39202230599136;179.4355199157129;128.14394584833678;128.1907011223101
tommy1_IMG_5803_20170525;172.51277457168788;172.04117486898792;171.98989082549232;76.25053963227309;5.2736753333797735;173.39702378400779;179.45311411581574;128.10923160784972;128.22138804717866
tommy1_IMG_5808_20170525;172.3579402412516;171.9930423829018;172.2196518802512;76.97886637481426;4.8997686078246465;173.34028609441086;179.37212227750268;128.0943878690129;128.0550972476745
tommy1_IMG_5813_20170525;172.45321123622898;172.09014940022004;172.1119630915638;74.97392668547455;5.085282439557613;173.390701580004;179.47092259480735;128.07135927944245;128.1611531296439
tommy1_IMG_5818_20170525;171.72214681436114;171.34535371477767;171.3369298027049;78.39354815698945;5.8771571895004575;172.74373271926441;178.7115736387067;128.05598651343522;128.20494634264617
tommy1_IMG_5823_20170525;171.89153106647592;171.58361241498056;171.30169797739484;78.32967155885629;6.26402396440615;172.9767644434799;178.96211968985767;127.99423060092307;128.33942395538622
tommy1_IMG_5828_20170525;173.1320031074067;172.6760966122614;172.7164831872285;73.02870382649962;4.601276608760575;173.94650657873592;180.08430448164935;128.12522371184843;128.15026916866714
tommy1_IMG_5833_20170525;173.04897486613015;172.46348596196987;172.67683841127968;78.44569210685657;4.718657289076789;173.86234314495098;179.90619608142575;128.19447157118054;128.09067915300284
tommy1_IMG_5838_20170525;172.90972825038585;172.26680283618396;172.60813716126182;77.90715980616999;4.337607971107682;173.6557590953825;179.69808880422667;128.2430281497378;128.02120836325088
tommy1_IMG_5843_20170525;172.98687445523262;172.487404989444;172.52292488283038;76.70146373858668;4.967690717699759;173.84738526172058;179.90921674954274;128.13460933927755;128.17433700247557
tommy2_IMG_8097_20170608;163.1578861998814;162.2807113166045;162.44946311389032;75.52038568637117;6.714231612314958;163.7652271412037;169.7846143292574;128.31905869779163;128.1810192776206
tommy2_IMG_8102_20170608;162.92114229904334;162.72876551470694;162.26294263465581;79.08378527815286;8.54565329218107;164.1677538013153;170.20471995161395;127.8651598602002;128.47776913740998
tommy2_IMG_8107_20170608;166.24363403599398;165.38664099785308;165.53615346454188;76.82187178497942;6.881931941586647;166.95963100717663;172.8406564915731;128.29633486537995;128.19264073975836
tommy2_IMG_8112_20170608;166.94588679421366;166.88497432225583;165.90999879213462;71.1746026323874;8.617218143164866;168.14549743066272;174.20466848895822;127.75991677562014;128.71255695498257
tommy2_IMG_8117_20170608;166.62538624899975;166.7910289651027;165.40076626889714;74.15907313412708;9.769284876721825;168.10084648812585;174.0866206360561;127.59798288715992;128.92202202021178
