;bcd;cd;dd
0001palmer_sem1_num1lado1;1.027558624834607;-0.02554418367710099;-1.101772382529564
0002palmer_sem1_num1lado2;1.0189495013191052;-0.025825990916038107;-1.2284551658892022
0003palmer_sem1_num2lado1;1.0223400713357598;-0.02561466344619443;-1.1045634417082335
0004palmer_sem1_num2lado2;1.0231891322452638;-0.02587375771374068;-1.3192382300282623
0005palmer_sem1_num3lado1;1.0343713158154373;-0.025277712006479627;-1.0833809301096546
0006palmer_sem1_num3lado2;1.0272883697507202;-0.02539837956110509;-1.1674109447397287
0007palmer_sem1_num4lado1;1.0374427004502873;-0.025402214872437847;-1.0932979299295893
0008palmer_sem1_num4lado2;1.0331765792162793;-0.02552883822161971;-1.368034978217289
0009palmer_sem1_num5lado1;1.0372182281550122;-0.02529046703131769;-1.06690856547266
0010palmer_sem1_num5lado2;1.033872544748887;-0.025391149155248607;-1.4256539730419813
0011palmer_sem1_num6lado1;1.0713558077367589;-0.025661718558963324;-1.134871954925294
0012palmer_sem1_num6lado2;1.0601510342989335;-0.025687504093458734;-1.0925732475581347
0013palmer_sem1_num7lado1;1.0293275786370242;-0.02560922777600673;-1.1495237765556436
0014palmer_sem1_num7lado2;1.0274775600458588;-0.025713472022390577;-1.2936438603957652
0015palmer_sem1_num8lado1;1.024342601128355;-0.0255819058987173;-1.1755237027437764
0016palmer_sem1_num8lado2;1.0219987568061581;-0.02566876330760467;-1.3633690878697398
0017palmer_sem1_num9lado1;1.0179751375292585;-0.025612170517900525;-1.0830055784134016
0018palmer_sem1_num9lado2;1.0279209235130755;-0.025786519899630923;-1.306213940209702
0019palmer_sem1_num10lado1;1.0294847837330492;-0.02578832201093559;-1.395945183166915
0020palmer_sem1_num10lado2;1.0189964202697874;-0.025557266015815313;-1.2207321318447315
0021palmer_sem1_num11lado1;1.0149655187125688;-0.025674680698933645;-1.0913485444705755
0022palmer_sem1_num11lado2;1.0041229385494599;-0.025800383543838606;-1.2224173444736408
0023palmer_sem1_num12lado1;1.038324589608425;-0.025326128077735134;-1.051645384986769
0024palmer_sem1_num12lado2;1.0404145546742631;-0.025406280292050568;-1.166219860441829
0025palmer_sem1_num13lado1;1.015591640150019;-0.025612209474525867;-1.0988365106386995
0026palmer_sem1_num13lado2;1.0498495223647728;-0.025860943509519226;-1.196731236480776
0027palmer_sem1_num14lado1;1.0734473542870904;-0.02584301332157643;-1.2050777582946546
0028palmer_sem1_num14lado2;1.0568818812219871;-0.02587236304261062;-1.1037723733629514
0029palmer_sem1_num15lado1;1.0200100698490588;-0.025650313528949677;-1.3142800138809656
0030palmer_sem1_num15lado2;1.0737849475319543;-0.02574591193398032;-1.1698525563292261
0031palmer_sem1_num16lado1;1.0151827143478676;-0.025639041443488858;-1.214462182124125
0032palmer_sem1_num16lado2;1.0198607031474543;-0.02574129235273032;-1.2429215892856964
0033palmer_sem1_num17lado1;1.0686286797243358;-0.025789488111062932;-1.125956824660354
0034palmer_sem1_num17lado2;1.0729464278626368;-0.02579581767182967;-1.0492759072080504
0035palmer_sem1_num18lado1;1.0252103129893302;-0.025596290460618915;-1.116004756114132
0036palmer_sem1_num18lado2;1.061768097882607;-0.025797043589452742;-1.110357271345453
0037palmer_sem1_num19lado1;1.064586176056713;-0.025837837930507687;-1.2211605013724807
0038palmer_sem1_num19lado2;1.061192430890862;-0.02590366939428048;-1.2736732492350624
0039palmer_sem1_num20lado1;1.0445820813005178;-0.025418050154192743;-1.0660431737181826
0040palmer_sem1_num20lado2;1.026872890054249;-0.025517298471910733;-1.2912022726535277
0041palmer_sem1_num21lado1;1.038311338221648;-0.02536664915942086;-1.1027340361356295
0042palmer_sem1_num21lado2;1.0352797190927665;-0.025619301241115708;-1.1194200130370193
0043palmer_sem1_num22lado1;1.0275094609103887;-0.025484675778606105;-1.0955433972093445
0044palmer_sem1_num22lado2;1.0238057776727454;-0.02552258852133293;-1.402009991762638
0045palmer_sem1_num23lado1;1.0393628589704573;-0.025369733449795727;-1.1025585712373318
0046palmer_sem1_num23lado2;1.0353268961705913;-0.02555815798453958;-1.3691591158905672
0047palmer_sem1_num24lado1;1.0504649894843114;-0.025226652187125786;-1.055414983859859
0048palmer_sem1_num24lado2;1.047133209240849;-0.025381333727894913;-1.1689540113932684
0049palmer_sem1_num25lado1;1.0314795885087864;-0.02519639459564703;-1.0231231092586477
0050palmer_sem1_num25lado2;1.0549999454007273;-0.02539543747684424;-1.1839772408360092
0051palmer_sem1_num26lado1;1.0530502720854669;-0.025220166534547537;-1.0567410130530182
0052palmer_sem1_num26lado2;1.0501815010726758;-0.025419791510715776;-1.43828533194557
0053palmer_sem1_num27lado1;1.0230855027468977;-0.025709825163935607;-1.29740658827365
0054palmer_sem1_num27lado2;1.0145429403870927;-0.025744791017473904;-1.3487435250100654
0055palmer_sem1_num28lado1;1.0737470672776221;-0.025713112206406537;-1.2082455512523804
0056palmer_sem1_num28lado2;1.0540182398162576;-0.02580157365327521;-1.1655903496829565
0057palmer_sem1_num29lado1;1.0467765891463068;-0.025355142199424845;-1.0554918530556472
0058palmer_sem1_num29lado2;1.0428039152115973;-0.025602907269324477;-1.457739621159737
0059palmer_sem1_num30lado1;1.034894540566351;-0.02542464308525645;-1.1017377147057823
0060palmer_sem1_num30lado2;1.0456150454624507;-0.025567835584508553;-1.292815106279246
0061palmer_sem1_num31lado1;1.0352816019430724;-0.025189743318276576;-1.0706027713689403
0062palmer_sem1_num31lado2;1.0419092133998136;-0.025377096011518056;-1.403278578127028
0063palmer_sem1_num32lado1;1.0369312867665108;-0.025453151398772255;-1.0530657970161976
0064palmer_sem1_num32lado2;1.0360277485794045;-0.025474590242433506;-1.4312817057849183
0065palmer_sem1_num33lado1;1.036398609969629;-0.025331095552697698;-1.0652020927058254
