ind;time;bcd;cd;dd
0001palmer_sem1_num1;35;1.023254063;-0.025685087;-1.165113774
0003palmer_sem1_num2;35;1.022764602;-0.025744211;-1.211900836
0005palmer_sem1_num3;35;1.030829843;-0.025338046;-1.125395937
0007palmer_sem1_num4;35;1.03530964;-0.025465527;-1.230666454
0009palmer_sem1_num5;35;1.035545386;-0.025340808;-1.246281269
0011palmer_sem1_num6;35;1.065753421;-0.025674611;-1.113722601
0013palmer_sem1_num7;35;1.028402569;-0.02566135;-1.221583818
0015palmer_sem1_num8;35;1.023170679;-0.025625335;-1.269446395
0017palmer_sem1_num9;35;1.022948031;-0.025699345;-1.194609759
0019palmer_sem1_num10;35;1.024240602;-0.025672794;-1.308338658
0021palmer_sem1_num11;35;1.009544229;-0.025737532;-1.156882944
0023palmer_sem1_num12;35;1.039369572;-0.025366204;-1.108932623
0025palmer_sem1_num13;35;1.032720581;-0.025736576;-1.147783874
0027palmer_sem1_num14;35;1.065164618;-0.025857688;-1.154425066
0029palmer_sem1_num15;35;1.046897509;-0.025698113;-1.242066285
0031palmer_sem1_num16;35;1.017521709;-0.025690167;-1.228691886
0033palmer_sem1_num17;35;1.070787554;-0.025792653;-1.087616366
0035palmer_sem1_num18;35;1.043489205;-0.025696667;-1.113181014
0037palmer_sem1_num19;35;1.062889303;-0.025870754;-1.247416875
0039palmer_sem1_num20;35;1.035727486;-0.025467674;-1.178622723
0041palmer_sem1_num21;35;1.036795529;-0.025492975;-1.111077025
0043palmer_sem1_num22;35;1.025657619;-0.025503632;-1.248776694
0045palmer_sem1_num23;35;1.037344878;-0.025463946;-1.235858844
0047palmer_sem1_num24;35;1.048799099;-0.025303993;-1.112184498
0049palmer_sem1_num25;35;1.043239767;-0.025295916;-1.103550175
0051palmer_sem1_num26;35;1.051615887;-0.025319979;-1.247513172
0053palmer_sem1_num27;35;1.018814222;-0.025727308;-1.323075057
0055palmer_sem1_num28;35;1.063882654;-0.025757343;-1.18691795
0057palmer_sem1_num29;35;1.044790252;-0.025479025;-1.256615737
0059palmer_sem1_num30;35;1.040254793;-0.025496239;-1.19727641
0061palmer_sem1_num31;35;1.038595408;-0.02528342;-1.236940675
0063palmer_sem1_num32;35;1.036479518;-0.025463871;-1.242173751
0065palmer_sem1_num33;35;1.037428293;-0.025382058;-1.25255282
0067palmer_sem1_num34;35;1.032307197;-0.025655346;-1.280895406
0069palmer_sem1_num35;35;1.036441873;-0.025425697;-1.181011536
0071palmer_sem1_num36;35;1.032195696;-0.025315034;-1.101999875
0073palmer_sem1_num37;35;1.026596629;-0.025528079;-1.192894113
0075palmer_sem1_num38;35;1.035177301;-0.025492683;-1.223582658
0077palmer_sem1_num39;35;1.031663252;-0.025615737;-1.105589047
0079palmer_sem1_num40;35;1.014899198;-0.025846589;-1.272919193
0081palmer_sem1_num41;35;1.052762687;-0.025808321;-1.180326613
0083palmer_sem1_num42;35;1.027073305;-0.025619631;-1.218924626
