ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0001palmer_sem1_num1;6.2;100.81928953924884;108.18477632904931;61.22292750191409;47.59847682564832;173.00371402795503;112.63336094215592;109.91239682657536;247.5821213838685;276.73889847019643
0003palmer_sem1_num2;4.5;104.21375706016559;120.24362871814465;64.18885184935851;50.17146486427186;172.40358772987807;122.79406611817087;121.22275408257109;243.9472149740665;278.9547976946532
0005palmer_sem1_num3;5.3;91.8954431599118;113.13625854497627;59.7105658612064;56.852007886673185;167.75506670466604;112.86225940914308;112.0830828522334;242.114796639792;277.48585366968797
0007palmer_sem1_num4;4.4;92.84416288939819;101.0247765831794;62.937635564427;49.91249662416398;143.34958889302482;102.6755278933538;101.7113487471733;248.11528796669472;272.4977186499761
0009palmer_sem1_num5;5.5;113.02589907273615;142.02954474768146;60.80850753677703;59.20625418546896;214.6821277392661;141.69078856252315;142.04226659817274;236.29873936256405;288.73413843255963
0011palmer_sem1_num6;3.9;117.74658464727932;145.1930185817941;64.54398424639966;59.972410603589545;213.44732448008517;144.88765471938683;145.6478396968121;236.32028454360386;289.6361522610437
0013palmer_sem1_num7;5.2;90.07419535241112;111.36923506020871;62.633408552522155;60.47430830516478;159.8774336919006;111.01148371119015;110.09015424658888;242.19136720611118;276.11161136978353
0015palmer_sem1_num8;4.3;97.40621876252655;122.62012583685896;61.700456774211474;60.32372913368712;181.28810856654582;122.20039771099884;121.6860201798159;239.54025723816108;280.8073500034998
0017palmer_sem1_num9;5.1;103.87719626696642;115.45933852533429;62.98746408688487;48.197480423559504;172.26204183741612;118.94727737330963;117.0762171773143;245.43853576128015;278.1463658762817
0019palmer_sem1_num10;4.3;98.37325772243939;119.37425263292576;62.52443925726725;57.63176312309682;178.66848109425027;119.8316340905935;118.90994988872829;241.0905273324416;280.0076324877153
0021palmer_sem1_num11;4.9;97.60744655645864;117.54165879548155;63.0205361685027;57.641746223805676;169.36431515625873;117.45844698036595;117.33245845996893;242.06986398977486;278.5681312093065
0023palmer_sem1_num12;4.2;96.58304544664725;114.46091930644151;64.23436393607602;56.48246341338131;162.18042596721452;114.5824709409719;114.47775124390174;243.3735708066381;276.7527697296282
0025palmer_sem1_num13;4.5;98.5558098349576;119.97582952748337;63.90876103987053;57.68327772010848;169.59525155818946;119.65963346815685;119.61899690744448;241.54199462983559;278.82357138386874
0027palmer_sem1_num14;4.2;110.74065264581688;132.70900614106742;66.68875404963869;53.63347702309089;179.9383713440433;133.32783125152997;133.3415917735136;240.7832838269506;282.3366272569138
0029palmer_sem1_num15;6.0;102.81513545001316;129.63016796312445;63.849258019710156;61.366140665622474;186.5905381937072;129.26263707947868;128.77007386362084;238.41263601843238;282.71164111780126
0031palmer_sem1_num16;4.2;115.73154345696264;135.69958453097834;65.14370799828586;53.16828733843528;193.7148134864921;137.1334653721728;136.91771460449908;240.5493935642827;285.2294244319165
0033palmer_sem1_num17;5.2;92.74805799882564;112.80987539342205;61.691726100406115;58.71687943263864;167.69961110429998;112.54705518113941;111.89707855260885;242.20049378124938;277.55572718104463
0035palmer_sem1_num18;5.2;91.99638485859032;106.79654664882109;63.919725353645525;56.772682274642925;151.3950277545275;106.9411235048008;106.43463763933356;244.70646899597176;274.6965155148178
0037palmer_sem1_num19;6.2;98.92328167920691;114.58057858172579;64.92124278140463;54.19080128784153;158.98268128470772;115.11919558426243;114.81820446335924;244.17387905487297;276.8525413256554
0039palmer_sem1_num20;4.5;107.46245613212513;124.8172382120095;64.05479413788737;51.87945909329626;181.4382297107888;126.4281485494835;125.75782639553358;242.76799591316612;281.0063767090421
0041palmer_sem1_num21;5.4;94.6465573709836;109.3899138421497;63.1745673686378;53.044003045269655;155.32781271994733;109.62068732425327;109.43116854058776;245.01257594249657;275.3616567240956
0043palmer_sem1_num22;3.9;108.76518861542809;126.02252523759584;63.76670737928252;50.49995819596271;181.8612034045393;128.45707220691477;127.09828251464899;242.50011267594383;281.68825456641036
0045palmer_sem1_num23;5.0;101.48202823145712;124.97847652477104;60.434316507972014;57.846296297215346;186.5486000899778;124.6938670426614;124.3286745156118;240.2020779636698;282.0858031971518
0047palmer_sem1_num24;4.3;93.155149277668;108.98504230092934;60.455640916672586;54.06021037847064;167.6282495441047;110.47597511931328;108.72841958921444;244.18509962543288;276.5308813689377
0049palmer_sem1_num25;4.3;110.92229072088594;135.067774134972;63.215847466311175;56.337847867621505;194.5532752272344;135.6721191323643;135.3775206389041;239.55818437715976;284.5799079855883
0051palmer_sem1_num26;4.2;91.29692062077929;103.17751742062609;61.49552768599433;52.31329797805047;151.2418352128797;104.46419846049429;102.92660288016748;246.5665845344581;273.77090692367767
0053palmer_sem1_num27;5.0;117.06540162919224;128.19307750811052;68.12289396572615;45.07842087004806;177.0287959609069;135.63227359694156;131.28251992656266;245.45726217405144;280.7649347583504
0055palmer_sem1_num28;4.4;119.84472104830424;135.26904858913412;67.40065314874553;49.5781729900355;184.6262576170108;139.13474930423322;137.81437101250523;243.00261723834026;283.31826427593415
0057palmer_sem1_num29;5.6;97.72282345846001;121.89344217802808;62.21644484654372;60.33882533984265;180.35301223723542;121.5625196120713;120.9146740378096;240.26916318315725;280.20637539443703
0059palmer_sem1_num30;4.5;95.55890079564259;107.10292495625336;62.84205010202592;50.61533739974429;156.8076131531297;109.6406474941341;107.59500404663473;246.42817989880515;274.6176320326306
0061palmer_sem1_num31;5.7;91.36002950923458;115.39979361176857;63.38743981675757;61.55358786927538;164.22090058389352;115.12411344529436;113.95510823366749;241.40221334987382;276.58635169721674
0063palmer_sem1_num32;4.2;94.91063563331578;113.5831394376251;62.09601468033416;55.637759298191405;164.05429040602885;113.80438892218667;112.87176312933028;243.1496868453345;277.1593733929367
0065palmer_sem1_num33;5.1;109.92834446049143;123.38167502945416;62.466138446582995;50.192273995686605;183.73923606414033;125.24498600703787;124.64383314217771;244.2768133410323;281.2921505427961
0067palmer_sem1_num34;4.3;103.72423001260358;125.86123423069084;63.877702573871964;56.0760165695712;177.1344653546972;126.55744315662169;125.85919395581716;241.175274967637;280.80278563653167
0069palmer_sem1_num35;6.0;96.346389032266;115.93166193440088;62.73345242361614;57.63592676652888;165.462625139853;115.6567563614737;115.2426984315985;242.5299119785231;277.83762683096506
0071palmer_sem1_num36;4.3;98.50318018195387;128.83880549449518;60.953474645617455;61.29126549264882;187.6214715351868;128.50738194293805;127.1670052721182;237.78988586102304;282.30581020888144
0073palmer_sem1_num37;6.0;101.26178349597912;115.03370265013395;61.2985888812848;49.037955245918035;175.77814570883857;119.19485141847342;115.79810337304129;244.7174108293005;278.5208727967587
0075palmer_sem1_num38;4.5;104.11069349924354;128.4070493655827;61.279865597564154;55.956124346177646;184.11090513045372;128.29822776960324;127.88361744590996;240.01121215565726;282.31051029172545
0077palmer_sem1_num39;4.4;106.77211712109322;116.94565557257744;63.844519957796486;47.69999458782436;170.19131642044795;120.62588778799463;118.87783430988144;246.32891743697846;277.9294980759787
0079palmer_sem1_num40;3.8;98.24056922469515;118.06973795258772;62.59449984669786;55.56025561768529;166.46958405028954;117.6989977639204;117.64068982584787;242.5540073720137;278.31553590947794
0081palmer_sem1_num41;5.9;97.70075292570185;115.30818257726028;65.42216075749373;57.94336715641926;169.56722717313528;115.42660895754864;115.4124813961145;243.12856136598893;277.3982708069708
0083palmer_sem1_num42;4.0;110.1051894727287;130.58133408053624;63.691916720177424;53.44356173277079;189.85612712386646;131.73206572632495;131.33157428578795;241.02304726332653;283.2795098536682
0085palmer_sem1_num43;5.7;96.68133800344185;120.34525913005324;61.578023673128214;60.474321145004346;176.5696531075286;120.03749122224112;119.28444545482364;240.73881216282481;279.6742384243319
0087palmer_sem1_num44;4.2;98.60513886111583;120.94254763276086;59.7685969581815;55.206307653602245;183.90434195808297;121.85863152227451;120.6003455274187;241.0400220456774;280.55459234672617
0089palmer_sem1_num45;4.4;116.88086584856589;142.6973448525511;63.149203382584886;55.6318113757149;204.59767265218795;142.84749431215099;143.30346288001994;238.1326484705692;287.54514296707333
0091palmer_sem1_num46;4.1;99.87509278717674;119.32283528690826;62.6513930853254;54.537849830413464;173.04043221116422;120.35566039571891;119.19932727039341;242.46658028342358;278.9990794029761
0093palmer_sem1_num47;5.0;85.82811126827522;107.8829450698876;59.60286571224788;61.84630451813817;163.25249868672157;107.58859470555609;105.98899242395048;242.0654799775695;275.8034575682394
0095palmer_sem1_num48;4.5;108.12475736311087;128.41775443830824;63.914920372509826;53.61189468071658;177.72347195778218;128.83551878363704;128.75669693767742;241.5522027775227;281.79369280253775
0097palmer_sem1_num49;4.3;98.38959536142971;107.38501009023085;60.18222151103332;49.88973963360425;173.73559592460148;110.5893158632066;108.29625699879652;246.66556969432742;276.81569813703857
0099palmer_sem1_num50;5.6;107.94915351668396;125.46701455530001;63.47025912348758;55.194928301394555;185.66171361553646;125.63468905504564;126.2459213703757;242.1216902477978;282.1485387660716
0101palmer_sem1_num51;4.2;96.28679099497492;114.42428500150729;62.733325571343144;54.98536885996681;154.91553877265605;114.01647699316135;113.82795492977124;243.97887097193004;276.0568528965624
0103palmer_sem1_num52;4.2;101.9787598325326;119.39310249991408;62.549085072076714;52.51432005968972;176.74769619212287;120.90674251103547;119.71349967512228;243.3514676682272;279.235683028198
0105palmer_sem1_num53;5.2;92.2738805549023;107.78056940345968;64.735004333031;58.26103431174141;155.81508697597997;107.60373843818584;107.70655887135338;244.53810293102748;274.57254248284687
0107palmer_sem1_num54;4.4;98.68595643783064;126.09844451446106;64.87311551608381;61.637473355479365;176.83865234831836;125.77210723463905;125.24747068910908;239.08683770344163;280.44088230568883
0109palmer_sem1_num55;5.3;102.12516946803473;113.67666509537172;61.71857904663425;54.794574206433204;170.266964879359;113.5411851956965;114.50063911058932;245.11528408793382;278.84110208791327
0111palmer_sem1_num56;4.5;115.70056499113028;140.57361277213846;66.79461309274001;57.82421860578188;196.60798347331985;140.3005591717818;141.1708016582059;238.3843376432711;286.16392557965787
0113palmer_sem1_num57;4.4;97.91501173916537;117.80020000762299;61.91727266883986;57.54932744344349;175.2270645844868;117.8290719438653;117.13780109270134;241.801438811728;279.59079046117074
0115palmer_sem1_num58;4.4;101.71225774159812;117.20682799028148;63.24497254273878;50.362383996573925;166.38928061521568;119.25869930961319;117.5105776547635;244.60556969848042;277.97585472460014
