ind;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem1_num10_;165.71778059331103;165.31727068743785;164.29992089699533;71.89573467797103;10.37576151679636;166.6849760364493;172.50265561896987;127.91536949517034;128.81872488823336
palmer_sem1_num11_;165.8974129075485;165.85328836881465;164.41096103774612;67.10578065164893;10.205482765480323;167.0366445924247;172.98689058615184;127.70687465728774;128.97278390194543
palmer_sem1_num12_;164.17702726583042;164.34003801873462;162.80323708477118;70.84777003158757;11.324071590247414;165.50709062741126;171.36728286219886;127.56775454925412;129.0352337230653
palmer_sem1_num13_;164.6366178898927;164.29418470873696;163.27047415525334;66.17787561822166;9.595124002673824;165.44538790786106;171.39633213596142;127.89328328059807;128.79145361573717
palmer_sem1_num14_;164.80608511298118;165.2711239675166;162.65881208115425;72.1428681466478;13.566565103273607;166.45585926804608;172.3326795008502;127.28725042286452;129.5810204999982
palmer_sem1_num15_;166.30669711112537;166.507774042549;164.39014333298502;76.01449829157379;11.916470388544168;167.79750441283898;173.66509867433984;127.4836368011349;129.3272914668442
palmer_sem1_num16_;165.1932925907618;165.19595768095206;164.1925591641929;76.27512133911858;9.968499105599136;166.501180208378;172.29830540507473;127.71182068178084;128.7620374054248
palmer_sem1_num17_;165.3343695076732;165.50779634117265;163.981543744597;75.27572800680335;11.057277852125129;166.7715632434735;172.59858910831403;127.56715290503901;129.02405438207305
palmer_sem1_num18_;166.05446046708;165.84470811520313;164.5647366719536;66.86323721091605;10.103557487247084;167.05299146501346;173.01576618740535;127.8035302321334;128.91536433215987
palmer_sem1_num19_;165.2291472704922;165.3363866260949;163.83114128653511;70.79605366271218;10.76734604070216;166.53336624822282;172.41855010497937;127.61032756147833;129.00749694238147
palmer_sem1_num1_;165.74261829043067;165.78972838881026;164.3390653633777;66.40133291627373;9.855125088859598;166.86517138627224;172.89018438589534;127.65753994328168;128.9618565437725
palmer_sem1_num20_;163.89414631268397;163.91348468935757;162.63250643115748;76.66159561359561;11.340082336900219;165.24010236938085;170.99114432071082;127.65393295253202;128.93418481702065
palmer_sem1_num21_;165.99107173157438;165.95270788457003;164.81333442621707;76.87110636449046;10.129536611716606;167.27432003989304;173.10706177595057;127.71846737401586;128.83452598875277
palmer_sem1_num22_;166.8845548933076;166.81347784285305;165.45533091715606;76.7759088238026;10.165190799191603;168.16862351959094;174.02320975699064;127.71713612665037;128.9440918805995
palmer_sem1_num23_;165.69985684227822;166.0398729251954;164.4645444070252;74.19946796991098;10.906091286267216;167.26990343328475;173.12472703024088;127.48822188933362;129.01326929972387
palmer_sem1_num24_;166.00119212516432;166.232053208144;164.39490318211125;70.4067773526806;11.202711624264118;167.4407251791481;173.35500391160838;127.52651638454861;129.14897400655863
palmer_sem1_num25_;165.54140385547947;165.89681399833353;164.72757218949153;66.73478656170516;9.551049531187486;166.92653594259045;172.9354546385156;127.55331679048962;128.76182510801578
palmer_sem1_num26_;165.25588673400046;165.22165267239654;164.35770098455538;71.75487123061163;9.19586594681463;166.4154665904373;172.3148314759892;127.76789633389419;128.6595858629294
palmer_sem1_num27_;166.03039997311885;166.21472812647357;165.19644738551847;68.0616735834262;9.083171382253443;167.3122852187643;173.30587016429644;127.65862919895082;128.6912907660144
palmer_sem1_num28_;164.79660060692444;164.98676301793088;163.2816765483896;69.9219426493913;11.577074313414494;166.18648266367137;172.06485447231688;127.5500062681738;129.10391409777594
palmer_sem1_num29_;164.87168216574503;164.73356823077415;163.69045650724632;73.52062589194495;10.175423467328246;165.99549919445874;171.8378181474962;127.77565859919766;128.79926991124756
palmer_sem1_num2_;165.48725735525264;165.4836072184803;163.89675006072815;74.30616537686294;11.338097619857752;166.83020996317015;172.61959326752364;127.65584566650948;129.06818316284796
palmer_sem1_num30_;164.86786522187214;165.0882552451721;163.33601148454468;73.51765339332026;11.786454454098436;166.32710794275297;172.14694552951389;127.51585594006309;129.13963160887667
palmer_sem1_num31_;163.73366043935042;163.85629312927776;162.5467925871896;71.04863996815345;11.434129503038193;165.08703817010854;170.86671741487342;127.61882584881008;128.91825408307608
palmer_sem1_num32_;164.1091724704486;164.47832459361246;162.21810763777256;73.68132397896304;13.227028733799868;165.75047611329018;171.52423505953146;127.37624503904465;129.40536517163747
palmer_sem1_num33_;163.5319432667199;163.64693263594177;162.55866854388145;67.46501920863162;10.50474265769676;164.7845825976741;170.62635728568313;127.6629576157586;128.77504422885943
palmer_sem1_num34_;166.2396209535394;166.13482585081948;164.71844451722893;70.63464176856496;10.53937512726123;167.55097339771413;173.32166791583612;127.74720201112933;128.95795093566028
palmer_sem1_num35_;166.75469267417373;166.9069394712095;165.29051037558582;67.18697376364597;10.411773053706916;168.09395554363317;174.06012657803927;127.60136398922432;129.01994116512344
palmer_sem1_num36_;164.1962620194884;164.80853771040523;163.05226735977152;67.43202919037745;11.6187921357471;165.85461381128187;171.76501035058016;127.33954990493363;129.07125596341666
palmer_sem1_num37_;164.96202494163845;165.00614233588215;164.04423527833148;68.58493900168253;10.069746968950046;166.2158519603588;172.06740340872554;127.71668164218787;128.7097940187668
