;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0081palmer_sem1_num41lado1;5.9;49.44930071695446;58.54162880341456;32.87031235444538;27.443395972131892;81.20130668401099;58.59427245496352;58.64262795795712;121.69243939740187;138.48692202670793
0083palmer_sem1_num42lado1;4.0;50.937032750527976;52.86411985958691;31.478893961920058;22.492426179467106;78.99100017458986;54.1860880128135;53.937688569238546;124.56816269521678;137.4745583158274
0085palmer_sem1_num43lado1;5.7;53.39901486238218;70.36569390607735;30.92090061235935;30.21075242998949;99.26401977427437;70.06716172289343;69.80599152437556;118.05223565764834;142.8180977695597
0087palmer_sem1_num44lado1;4.2;50.29715028037208;55.266121009497006;30.65081852176477;23.40023543128265;81.16113313121355;56.39059912271173;55.924577553517935;123.32690601430143;138.1416319484302
0089palmer_sem1_num45lado1;4.4;64.41758536558532;82.29530439646112;32.35780612490103;28.609506785225026;108.9784746816494;82.10147920684713;82.39836777391966;116.84965451849342;146.61396184086615
0091palmer_sem1_num46lado1;4.1;48.91070148309552;54.25295500374185;31.87378127801188;23.961307666855745;76.20849463509171;55.3890388742723;54.59385898661485;123.49725550671205;137.2005494895065
0093palmer_sem1_num47lado1;5.0;42.55892218496837;52.255097260648725;29.68339739165915;28.97572773106603;76.18589033508724;52.09820061670838;51.387486495230725;121.91627680197037;137.00587595821278
0095palmer_sem1_num48lado1;4.5;47.13453185764817;50.277075223974116;31.249415491427627;23.46605270843194;69.60844693295022;50.88020717727295;50.63218787002819;124.53662433745212;136.0615205844408
0201palmer_sem2_num41lado1;5.4;56.49663927571747;52.6453050391416;35.76194311086368;18.891624583033067;66.8431199063171;56.820421907524135;55.532244437709636;127.03036197187285;135.91072937638833
0203palmer_sem2_num42lado1;4.3;42.716850651774934;50.843009876890676;30.05237644703439;28.226433112064534;71.82377531121591;50.81185384665357;50.136853997646035;122.75563851785203;136.21938668923764
0205palmer_sem2_num43lado1;5.8;47.38900167545148;59.938795069823996;29.51264037500864;28.227259144853377;89.15618903144644;59.933634494792734;59.439846132592315;120.34701175316744;139.6885245638679
0207palmer_sem2_num44lado1;5.1;54.78144625284037;74.02324862995407;32.932857820541024;30.767946795904518;96.39413396887107;73.88259354790156;73.51268734429169;117.30323245503081;143.04038238779341
0209palmer_sem2_num45lado1;6.0;47.500308325323296;59.31208773910987;31.53909473411272;29.980185769244102;83.37927371903734;59.24943096024252;59.079396772387284;120.62698026335084;138.93977162753373
0211palmer_sem2_num46lado1;5.0;49.842695599441136;61.82818048267503;31.410761579895638;28.28671602536561;83.96067515632646;61.7508144718793;61.71129249478563;120.60241770647129;139.59228093519684
0213palmer_sem2_num47lado1;6.0;46.60781236623225;63.54991199313729;29.79999145217657;31.323222215629805;93.92391594061348;63.40882134499144;62.48868089055393;118.54882614430392;140.74965313750818
0215palmer_sem2_num48lado1;4.6;45.04133872188304;55.708326436155176;31.385680644883823;29.809804606838075;78.1591429791861;55.6719461600785;55.3026805799847;121.24926847486431;137.8061829578057
0321palmer_sem3_num41lado1;6.0;56.68561744112905;58.783048006059744;31.084948842993764;24.26761390414353;93.94160623805334;60.58965830406658;60.6589452750976;123.66068752085926;140.5703830011024
0323palmer_sem3_num42lado1;4.6;40.16725472350443;43.442024004758;32.35753003719465;28.550216980603643;50.41835917648197;43.43733957476904;43.17745119712039;125.13476486553922;133.02544900879428
0325palmer_sem3_num43lado1;5.4;48.36487387331188;55.2307042626496;33.539157836512516;28.280279487682208;73.07708346109033;55.21893136978174;55.6610216735791;122.7498387022941;137.10937884620537
0327palmer_sem3_num44lado1;4.6;42.27348290606732;40.65662362178513;33.028895672725824;21.829499649739017;45.63462230127863;43.09054163149106;41.24852200419288;127.40001892387484;131.90559751664586
0329palmer_sem3_num45lado1;5.8;48.462470924282044;67.03569617253632;29.901368963935145;31.356890255531248;98.28840267656805;66.96280383655609;66.07932188998288;117.67197816773128;141.90140475870942
0331palmer_sem3_num46lado1;4.5;52.329962212874314;52.46733578484636;30.859200555445913;22.70303562232473;82.34834683808458;55.430915738530466;54.10046289636466;125.19710463301435;137.63732089361557
0333palmer_sem3_num47lado1;6.0;46.517434166103975;51.458921635273256;29.740445172384785;25.26355923155291;77.25813224610026;51.59323439303565;51.693517628280475;123.53611248312424;137.03591241866457
0335palmer_sem3_num48lado1;4.5;38.52911246761353;44.37754778639359;31.86638416625367;32.34805063035489;54.415692212258946;44.34000998765835;43.57326300870281;124.09878405080508;133.34576351262814
0441palmer_sem4_num41lado1;5.9;44.82013850472269;60.20892176976975;26.69742746677348;32.74803748303305;106.06965091262406;60.151525797507276;58.960417397973615;118.2064796388562;141.97008813935742
0443palmer_sem4_num42lado1;6.0;40.41262430455587;40.14380591362612;28.496485131641865;22.70041948671043;64.53614682001579;42.0146080436979;40.02383161711617;126.31952851597632;133.8196586590405
0445palmer_sem4_num43lado1;5.6;50.43155280181834;62.66068357470191;27.334739147733394;30.309018184196766;105.54310864730508;62.701409992089566;62.18325261766657;119.40744162087911;142.6173595303506
0447palmer_sem4_num44lado1;5.4;41.46370431221128;42.27684993514711;28.605373591909256;25.28944359811389;69.94501962680853;43.80056794266161;42.16578883298254;125.71531632611936;134.6995990811268
0449palmer_sem4_num45lado1;5.8;42.43105168251535;41.81218533301973;26.76760114727235;21.763141968386982;79.83562946025718;44.74286403217539;42.057095706661094;126.02391213317229;135.5520792896426
0451palmer_sem4_num46lado1;6.2;48.681492219572064;60.42835839931705;28.590033444041442;31.805282924698982;98.9410047230571;60.31025532354256;60.05120227648682;119.76514772856552;141.37723890154976
0453palmer_sem4_num47lado1;5.8;41.49791260246417;40.91419880705258;28.36415491398545;25.103414879705817;70.16943602175617;43.617480910455676;41.01997888788196;126.40265147191649;134.29288721551717
0455palmer_sem4_num48lado1;6.0;36.50418498016959;40.62489216002532;28.524271703539977;31.40469450127987;62.19437337876362;41.038009373009366;39.425904058637755;124.60371683688757;133.64175825492902
0561palmer_sem5_num41lado1;5.4;31.592039600456577;27.872132141527896;26.670396738568268;57.901782350216415;41.10524963068063;32.00968489598846;26.60014682144593;129.1171279582832;129.18581466649866
0563palmer_sem5_num42lado1;5.4;51.11858980449102;56.8699928862683;27.97476391854095;29.590143999491435;97.14239152360241;59.51360024946784;57.44930567144879;122.54175080593993;140.37787610835844
0565palmer_sem5_num43lado1;5.2;43.289051263074114;47.556285715869805;29.07083974118895;26.186576744467374;72.51424045423335;48.15879898525013;47.31407786127095;124.0056239860996;136.17805882644765
0567palmer_sem5_num44lado1;5.4;38.57961161826517;37.114019242374;28.26509385635035;42.47162319869921;63.91167298805913;41.21049708475072;36.9421887448655;127.24349980669723;132.53212905547667
0569palmer_sem5_num45lado1;5.0;45.827923765521234;57.41284925912922;27.62840078618509;31.199627720945;98.45469987870058;57.30255125385308;56.713103988672856;120.08782599219136;140.48879905282215
0571palmer_sem5_num46lado1;5.4;45.84134862175044;56.5968612600525;30.553273630014328;32.670750346276925;85.12845304238022;56.60175284825016;56.05964304307946;120.88694722476689;138.79948526692974
0573palmer_sem5_num47lado1;5.0;42.52795374331312;46.8412299770442;29.535940602589346;49.603824998574225;75.94230871752654;49.302172710982866;46.46639943086131;124.19436291040465;135.7102961943113
0575palmer_sem5_num48lado1;5.6;41.454767519420415;28.84476613822249;28.97835018759193;60.20659311378868;65.43947016637462;41.40234100078348;30.830882455571384;132.60747135261423;129.79673573351158
0681palmer_sem6_num41lado1;5.7;40.18778245404851;42.15936839027066;26.40500582163005;37.13606939054509;79.49468919961247;44.28493605559386;41.58592126975406;125.06926752291204;135.44392218305262
0683palmer_sem6_num42lado1;5.8;34.199490415176136;28.738747379846398;33.00181710013975;103.82708730016422;39.54141499526115;35.132731811962145;28.76391837312395;130.71089010704395;126.68330956792495
0685palmer_sem6_num43lado1;5.7;34.049273703835155;28.108218924043182;31.20898442334123;99.94998057251115;44.7048948144903;34.591047253666304;27.99542060108926;130.7545517693683;127.2850028913058
0687palmer_sem6_num44lado1;5.6;34.178887846586136;27.651594605196852;31.98548293566211;104.11905230697107;43.75483273635558;34.55321615066602;27.683967313573238;131.08380630086214;126.80708652881245
