;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer2_IMG_7108_20170601;159.48949983210449;158.991900324985;157.10792522665898;71.38295086868071;14.935247029678214;160.4399241590042;165.97941019331205;127.78675639253258;129.38421851333877
palmer2_IMG_7113_20170601;158.3509434410901;160.14601853191445;155.85233695157106;72.88055283171867;19.95024766821702;161.34471188280534;166.79525426124187;126.40963006946232;130.4102076010231
palmer2_IMG_7118_20170601;157.7939817047468;160.2235463530057;153.8106729082719;69.14945854811457;23.78135476725037;161.3111119595193;166.7680176227781;125.87720290307428;131.4256192151956
palmer2_IMG_7123_20170601;155.80683464256114;156.08427902940315;154.14583288680268;63.50688310229838;15.465128971443471;157.1310665652149;162.69142299489883;127.41497749708859;129.30560796708892
palmer2_IMG_7128_20170601;155.3574145072445;157.86830840352798;152.48835397867728;66.10761209705075;22.591198858846308;158.86666751507488;164.3134132109661;125.93205522869512;130.9218664601016
palmer2_IMG_7133_20170601;155.17395745143534;155.28195373228164;153.02271506924797;63.49628441858139;16.538862956622232;156.34659523739356;161.9345522280093;127.44302202110481;129.52482420088882
palmer2_IMG_7138_20170601;157.7101972638389;158.6143857435271;155.86527897224727;64.76166254295624;16.748937145454676;159.60502037742555;165.27395508482297;127.0029785826046;129.6807730159751
palmer2_IMG_7143_20170601;157.61131511979525;159.5041160077661;155.34702452078332;69.73914277504501;19.93055605790252;160.60635215504615;166.076866174322;126.37452137497499;130.3421327776706
palmer2_IMG_7148_20170601;154.24574238620613;155.42600306409318;150.9626635083555;75.26005536756615;23.41660962237797;156.77879754211676;161.9812658071845;126.63530888533451;130.63688586409037
palmer2_IMG_7153_20170601;153.52562857001243;154.5430574421475;150.8230884693287;59.67306818567458;20.314300076624654;155.45721907194857;161.01266321811056;126.80844271101252;130.23307481442185
palmer2_IMG_7158_20170601;156.26217828584032;156.70577019166882;154.18140055896706;63.685938761449044;17.531762505536975;157.67999203389348;163.3133261374921;127.24518986036095;129.62071816191914
palmer2_IMG_7163_20170601;156.48369141741327;158.7219147300633;153.91301862300668;65.27807656258929;20.884093987107764;159.69491787855083;165.2113494803276;126.13569111555857;130.63293870072087
palmer2_IMG_7168_20170601;156.1014446159122;155.9919374428441;153.89863241062244;75.0747483353338;15.945946182788207;157.33504276423898;162.8390169427119;127.54125072337965;129.48636077755273
palmer2_IMG_7173_20170601;156.19405278126072;158.73495124778518;152.18436222922384;61.942566448223886;23.28371864461877;159.63759199647419;165.2428890554448;125.80745057575659;131.47769959026348
palmer2_IMG_7178_20170601;156.03217147178285;157.89937850749814;153.23421452805283;71.33572188151935;21.93820088564886;159.0332531922475;164.4191619356746;126.29094976173126;130.64311541298724
palmer2_IMG_7183_20170601;156.54961982381687;158.33139544619127;153.2433949188386;78.3793077368577;22.65433287653249;159.65627690347083;164.96648022896304;126.29895795378228;130.8707067195716
palmer2_IMG_7188_20170601;156.1717944012203;156.08710863822446;153.9768874068537;68.84490936097893;15.611817690025575;157.24758287385333;162.85396840706449;127.5408203794796;129.46850742223222
palmer2_IMG_7193_20170601;155.15120258514446;156.71675529183457;152.51609536420824;70.415019917499;21.30119791889932;157.86396527911737;163.2568597710727;126.48677443237024;130.43607422768062
palmer2_IMG_7198_20170601;157.66015100326504;159.44669964741942;154.8382501937943;70.3484074261617;20.32343386077532;160.5802229683749;166.06221215518903;126.36702038590964;130.57341521812128
palmer2_IMG_7203_20170601;156.42237812839363;156.7489553415781;154.30803932639958;70.24892040055585;17.498927098515374;157.92742079886116;163.38312669011844;127.3090779008416;129.60431262636817
palmer2_IMG_7208_20170601;154.55342242289308;153.86265024639562;152.524744104456;72.50358614335062;14.88733607860368;155.43486530180112;160.67085618453862;127.94760230909921;129.12434382323102
palmer2_IMG_7213_20170601;154.96917576696103;156.61912231724398;151.51310958129716;70.43102061721251;23.294057503322183;157.78611305351941;163.15534611036094;126.33630750644792;130.9136976286544
palmer2_IMG_7218_20170601;155.44092634119943;156.42322754129515;153.40805822580876;73.91964904478165;19.742415342256802;157.71679665173468;163.01637405514117;126.90274618573532;129.88473967040682
palmer2_IMG_7223_20170601;156.7368558125786;156.28832605934932;154.55669811581933;73.22059802285166;15.375140712966536;157.78067710119456;163.19857295506833;127.76789571991456;129.31106166900648
palmer2_IMG_7228_20170601;154.86198854381;153.7787089057856;152.35533199999284;69.29893512490355;17.20555345686157;155.55477552235158;160.62608339495458;128.15475395492183;129.22623340692158
palmer2_IMG_7233_20170601;154.56374023884032;155.66733462068115;152.05750053137146;71.11111367866226;20.03286398498228;156.85624571330592;162.2596736396891;126.7853983254208;130.17154724651348
palmer2_IMG_7238_20170601;153.38166793034839;153.4951887998507;151.11379844410862;71.1772951563036;17.724977930223336;154.72334390717882;160.1168306103895;127.38757592137131;129.63346220207475
palmer2_IMG_7243_20170601;153.9769075007323;156.49928689057498;150.30845281376816;71.51569069581977;24.728161414573325;157.6342512217078;162.9366083899534;125.8134278348444;131.36856928905178
palmer2_IMG_7248_20170601;156.36605788912462;157.568795133084;152.94086996670669;71.69611022698045;21.18816694932056;158.7561740674654;164.2109164572438;126.6181074089256;130.68202324593835
palmer2_IMG_7253_20170601;154.30983973792226;155.0263224786201;152.41820239715506;71.9787187964392;18.813135747992398;156.19539996418825;161.55304432307742;127.063663435571;129.67822896349523
palmer2_IMG_7258_20170601;157.58625771828204;159.0164144661637;155.20737574838537;70.64413573548956;19.156803418906463;160.1595972494606;165.66136696200203;126.61906560785324;130.21732735339506
palmer2_IMG_7263_20170601;157.2634678663159;158.89880097593738;155.30368124321276;72.37573811514059;19.440420701070963;160.06848150112884;165.4668539192887;126.53317276091678;130.0997634838856
palmer2_IMG_7268_20170601;155.11166648358915;155.4080728496871;152.87439651384602;71.05008220629001;18.22619718212377;156.57205536488698;162.0554605003465;127.28465501936155;129.6894009925483
palmer2_IMG_7273_20170601;155.7715167484711;157.90620155142602;152.8726977438593;72.75851366473051;22.40405156223208;159.08623260093378;164.43025241707036;126.13497303848024;130.80905657900377
