;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0481palmer_sem5_num1lado1;5.0;46.5257615091822;60.34185811320039;26.934032451470703;31.618145911533798;104.20287307699788;60.28457293770742;59.495600867869044;118.96899560888856;141.72607119780963
0483palmer_sem5_num2lado1;6.8;36.879745014491604;31.736778755109572;27.14293155588618;30.138091408600094;58.372533515327504;37.527292549777435;31.548968597768997;129.13316742304372;131.05202410553343
0485palmer_sem5_num3lado1;5.0;41.881029136105326;39.214219362659286;29.219700131081705;30.493523925357252;66.55404350631012;43.78709181260045;39.66029458563431;127.54031860727643;133.29481577731178
0487palmer_sem5_num4lado1;5.2;43.953608436934736;54.10800869321374;27.38102251009116;34.311987239607895;94.65725900685499;54.57131482008135;53.24989718807349;120.86663605134493;139.50339527925922
0489palmer_sem5_num5lado1;5.0;37.2805721761263;26.796631557388228;27.71564299355936;77.6430762783642;57.880389551850655;37.242411738197774;27.631494047246985;131.7831394689943;129.14101850072979
0491palmer_sem5_num6lado1;5.2;40.708169288770215;41.90358758929035;27.61058557126952;26.31423872625997;76.15074872712273;44.23358545181684;41.6118796239443;125.47811772998143;135.001344291312
0493palmer_sem5_num7lado1;5.4;35.89325742872535;28.94555057311521;27.95218666126041;66.1953054552728;54.75758589266759;36.37505637739473;28.949103228901066;130.3192777495088;129.56799811964234
0495palmer_sem5_num8lado1;5.0;48.57287582617239;62.00268280264037;27.6722475620558;32.02791019749846;103.60403994959343;61.919707933988455;61.3435604476003;119.05158945524671;142.11328792994624
0497palmer_sem5_num9lado1;5.2;35.38717619334612;28.045734781430692;28.53483712348741;87.7360768543182;53.690701043358345;35.49327862142592;28.04353884195754;130.76287437994208;128.89000970343577
0499palmer_sem5_num10lado1;5.0;39.30915631026649;38.018514515683115;28.25514381186925;39.56055466406996;67.98138839950128;41.761013966576506;37.98486328547283;126.97305256467392;133.23656875519998
0501palmer_sem5_num11lado1;5.4;39.59648771836865;49.37088080105934;27.223195637665448;32.79863979120042;88.68353931821268;49.394548099165384;48.177087903013174;121.21998092696148;137.8371488759898
0503palmer_sem5_num12lado1;5.2;39.44361157196394;52.056738983982896;27.66693406658902;35.19105906564624;91.90579166102556;51.976822332789276;50.53283461642233;120.04099180555916;138.372282796567
0505palmer_sem5_num13lado1;5.4;40.42893680415154;41.481169236729826;27.982195594325965;28.81484713624489;71.9933804681432;43.816127630279894;41.194334231145895;125.67351699944452;134.54969753718674
0507palmer_sem5_num14lado1;5.4;39.18445157165913;42.67151235165565;27.239901750005412;30.95722146913509;76.30359730173579;43.85588911944739;41.799742302371634;124.53448851140585;135.21631495831048
0509palmer_sem5_num15lado1;6.0;44.00767062316529;38.3756878657775;30.97177952520721;41.86086330665115;65.48933343309028;45.7598265730746;39.878133674695796;128.93289075998536;132.48036105287287
0511palmer_sem5_num16lado1;5.4;44.32545316098655;55.07435040698115;27.083462837012767;32.978541859794156;95.15053702254153;55.19229020213354;54.18403509013686;120.66250688755724;139.70122205366263
0513palmer_sem5_num17lado1;5.8;43.19428505465025;48.12301890313818;27.523003301914358;34.901687283240136;84.09127810166278;49.598044451876895;47.782419728936794;123.50520107270508;137.18699079943534
0515palmer_sem5_num18lado1;5.8;34.1600714637164;28.248170233765478;26.65289334614484;42.153648588271686;48.72359490758932;34.245810333595855;27.70297193384881;129.82845579010018;129.5646762095327
0517palmer_sem5_num19lado1;5.4;33.74736216557902;26.061003751582717;28.03806653525585;94.99793825356888;52.3752428425852;33.88636590720349;25.823234270214623;131.05754048772067;128.1101709817926
0519palmer_sem5_num20lado1;5.6;36.71062505662177;35.14695324984585;28.94760204783595;41.581802337789604;50.89474949254567;37.87674368985327;34.60151727900916;127.606273255407;131.30094001539862
0521palmer_sem5_num21lado1;5.2;33.86493782905077;28.575297956454293;28.64921273854188;70.44104753005908;45.28603130452049;34.23744027151342;28.01687641555256;129.93054012267837;128.7461217639999
0523palmer_sem5_num22lado1;6.0;52.76412154981169;63.476975652964974;29.25118937465869;29.17528147547894;100.76177836710586;63.65581415712451;63.566584347798795;119.98477227379357;142.35407325552475
0525palmer_sem5_num23lado1;5.8;37.14448535885646;35.64876856781249;27.892502146189198;40.11554050680324;61.858804357319784;39.07476693075204;35.18114339362483;127.33394985549366;132.29266308459296
0527palmer_sem5_num24lado1;6.0;39.45696542873153;34.786459029200486;30.25404778617313;37.735065476304655;55.215767586245576;40.293328349954265;35.24934974083223;129.0235860253371;131.1612641106792
0529palmer_sem5_num25lado1;5.4;53.61127767412771;66.13803568923879;29.532383816257852;30.468878001289585;102.91030197287243;66.03057066718391;66.08182256873859;119.19299738720812;143.00636280929055
0531palmer_sem5_num26lado1;6.2;38.98018740627178;34.592333634053034;28.769568429292196;41.48433890793874;63.820936954761954;39.86173934680986;34.660800914989565;128.76439552652894;131.83726145374456
0533palmer_sem5_num27lado1;6.0;37.79996919436143;34.60248293520385;27.97396294908493;43.092807299331206;60.12403568907553;38.998720304735436;34.41982567732866;128.15152617757198;131.76738077719153
0535palmer_sem5_num28lado1;6.0;36.02096062025771;27.66965856761888;27.40220955566804;62.10805387940573;57.280704088847216;36.016934637099595;27.845886171982087;130.99863814797206;129.37814743864004
0537palmer_sem5_num29lado1;5.4;51.01044411889284;50.9587393886487;30.520377239429802;30.23629526889733;83.23976829064542;53.95656636389607;52.28100875675802;125.41888336743642;137.4725237927037
0539palmer_sem5_num30lado1;5.6;35.410482286344966;28.16028696439121;28.047589536152834;61.517692886760024;48.78890556817439;35.41308535645457;28.05671012767765;130.4697866469081;129.0780247173789
0541palmer_sem5_num31lado1;5.4;38.25039613887761;35.248236404103984;31.919573600222225;28.727661390767608;38.4137365861149;38.65780116897199;35.27504687550239;128.55264970742437;130.23914148532742
0543palmer_sem5_num32lado1;5.6;42.720124610717036;53.37015914448092;28.95454391344602;33.040942829622075;83.87549318492715;53.411942200855634;52.48653756206231;121.06110040449663;138.16393482431218
0545palmer_sem5_num33lado1;5.6;47.14537977125922;33.54302452545376;31.376382980686717;32.960018606333755;67.20624293735611;47.19036057077028;36.79401686943214;132.6359703829639;131.15851049939855
0547palmer_sem5_num34lado1;5.2;42.57319292101432;44.03173445108786;29.21658209978804;42.59425181282528;76.1989076906298;47.42828558514152;44.07242203752536;125.47852029273669;135.0033543909103
0549palmer_sem5_num35lado1;5.8;40.65719254575401;46.38080129501567;28.805713585794226;44.8092372061423;79.07515913131661;48.12156093954093;45.61781985763621;123.5137143626282;135.9352317524447
0551palmer_sem5_num36lado1;5.8;41.51930777215173;47.73776335159675;28.33126583547104;34.26525361478495;76.39842511011388;48.898734772937814;46.916705705808646;123.37829352147943;136.26502458568572
0553palmer_sem5_num37lado1;5.4;46.76035197234464;56.61369673199048;28.186231268363226;33.60194801795172;94.94825383713726;57.15156744668293;56.03697543967847;120.85822050487042;140.18659205202857
0555palmer_sem5_num38lado1;5.4;38.21419936293256;29.58824201637991;29.28790209818893;58.25261019325571;53.98298421679167;38.22125304519925;30.21369780457653;131.21113689334527;129.48090245943058
0557palmer_sem5_num39lado1;5.8;41.44833228782436;37.66966423836789;31.9419326229888;41.21456795269124;54.84845271452919;42.850126590492174;38.53264631335122;128.44045432866758;131.5104605069621
0559palmer_sem5_num40lado1;6.0;46.684845017316505;34.1106209404414;29.229317285650506;45.25445676946829;78.59220889691983;47.401329491515895;37.072321274777615;131.95799872449805;132.40297391034724
0561palmer_sem5_num41lado1;5.4;31.592039600456577;27.872132141527896;26.670396738568268;57.901782350216415;41.10524963068063;32.00968489598846;26.60014682144593;129.1171279582832;129.18581466649866
0563palmer_sem5_num42lado1;5.4;51.11858980449102;56.8699928862683;27.97476391854095;29.590143999491435;97.14239152360241;59.51360024946784;57.44930567144879;122.54175080593993;140.37787610835844
0565palmer_sem5_num43lado1;5.2;43.289051263074114;47.556285715869805;29.07083974118895;26.186576744467374;72.51424045423335;48.15879898525013;47.31407786127095;124.0056239860996;136.17805882644765
0567palmer_sem5_num44lado1;5.4;38.57961161826517;37.114019242374;28.26509385635035;42.47162319869921;63.91167298805913;41.21049708475072;36.9421887448655;127.24349980669723;132.53212905547667
0569palmer_sem5_num45lado1;5.0;45.827923765521234;57.41284925912922;27.62840078618509;31.199627720945;98.45469987870058;57.30255125385308;56.713103988672856;120.08782599219136;140.48879905282215
0571palmer_sem5_num46lado1;5.4;45.84134862175044;56.5968612600525;30.553273630014328;32.670750346276925;85.12845304238022;56.60175284825016;56.05964304307946;120.88694722476689;138.79948526692974
0573palmer_sem5_num47lado1;5.0;42.52795374331312;46.8412299770442;29.535940602589346;49.603824998574225;75.94230871752654;49.302172710982866;46.46639943086131;124.19436291040465;135.7102961943113
0575palmer_sem5_num48lado1;5.6;41.454767519420415;28.84476613822249;28.97835018759193;60.20659311378868;65.43947016637462;41.40234100078348;30.830882455571384;132.60747135261423;129.79673573351158
0577palmer_sem5_num49lado1;5.2;43.99662448643944;49.757182580543464;28.66806729921987;33.08455091764006;78.9686143507394;49.97494903544735;49.33695358749063;123.09862470452637;137.3205092139687
0579palmer_sem5_num50lado1;5.0;36.17622566361677;27.9787956879648;29.392698234829503;90.63207467302333;52.91518180495221;36.20336415374899;28.29141704162517;131.23748214818295;128.49049198805469
0581palmer_sem5_num51lado1;5.6;51.34709426601595;64.09309114865347;28.544167166352164;29.721891726987824;100.66911102874994;64.3047450226457;63.706873165150434;119.51628261565651;142.19597584758475
0583palmer_sem5_num52lado1;5.4;44.00136077935582;31.35372728353481;27.262049404131584;19.413821845481426;75.1391911946202;43.92620735575558;33.423670477791525;132.13467170972228;131.89558526938106
0585palmer_sem5_num53lado1;5.0;34.58059675702494;32.155429273087925;28.246519302360465;23.690763279773865;39.56250458621764;34.91015137109063;31.187734508423535;128.28402151860396;130.2938375117613
0587palmer_sem5_num54lado1;5.2;35.15837471375917;28.006260209814855;27.118871126901002;58.322062322490005;54.123831245089406;35.21974332145225;27.74780730594717;130.50578387577698;129.51222726275782
0589palmer_sem5_num55lado1;5.2;35.31095899052737;29.97925805697053;27.530228628372733;47.30057254085777;53.222192409564656;35.58585187290276;29.52955245785802;129.60332987986368;130.05888663507238
0591palmer_sem5_num56lado1;5.4;39.25967201303972;35.451433803265815;30.09621897553462;43.763064491603316;54.82199512534108;40.46960942836744;35.74590246512216;128.52776398735543;131.14898646962558
0593palmer_sem5_num57lado1;5.0;35.00036008394381;27.466255836031408;28.210018612478947;86.81446688224146;51.39558172955417;35.181349711391746;27.393637606702256;130.7463535965243;128.78758001602358
0595palmer_sem5_num58lado1;5.2;35.41481855394354;29.25288748018282;29.332592004624964;73.94265788621522;45.26624208739503;35.50611221155326;29.0882547858524;130.20805426263686;128.85809067819366
0597palmer_sem5_num59lado1;5.0;33.73571991477819;26.817771569323288;28.686738972324928;104.84628799504;46.27400325412113;33.67002631153749;26.44143076862711;130.75117854285466;128.06673559870848
0599palmer_sem5_num60lado1;5.0;34.10456179767281;28.72371452496838;26.80256292301461;51.192130557397604;52.795261136656784;34.24700110461938;28.12514676478411;129.65793699490624;129.87359251459262
