ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
palmer_sem7_num10_;360;5.0;114.18812565009578;114.26700459880863;107.87847902677237;68.57150122036822;45.25398265043096;116.34735257289978;119.86689197699025;126.85552638036016;131.9271075576203
palmer_sem7_num11_;361;5.3;112.770706546541;112.80855386923258;106.61402556075315;69.11290077799032;46.79674168269712;114.79922802109232;118.276529668835;126.8434459963617;131.9393190262685
palmer_sem7_num12_;362;5.0;115.60336117006977;115.68918113391722;110.59746558224803;69.65838371873392;40.87816334752736;117.53375781971558;121.29067144285436;126.98788168880564;131.2264453973408
palmer_sem7_num13_;363;5.6;114.23067334475559;113.15371758522484;111.506883716278;72.50830541400535;30.78761367962192;115.57922251648591;118.85680150440636;128.09770846617621;129.3343709030814
palmer_sem7_num14_;364;5.6;114.80158458652157;112.13148638773684;110.31759452383758;74.43017293461719;37.06939287015604;115.50026328562599;118.09516639517605;128.8674327290434;129.70025386382954
palmer_sem7_num15_;365;5.8;113.76532680125992;112.27351703826946;111.68266488255352;73.63634009202103;26.296118632919665;114.53684620100664;117.87845639829284;128.48771781206239;128.67435053793542
palmer_sem7_num16_;366;5.0;115.65069356812808;115.42081683402635;112.34907264517605;71.89818227983359;32.69594448039016;117.09767868816445;120.92568262254585;127.44129925009644;130.04094046831239
palmer_sem7_num17_;367;5.2;115.82487473141182;113.82678518482795;113.33267631931943;80.05798761257037;27.294003166125478;116.56028356146584;119.50908022838257;128.72165264448844;128.77276047583192
palmer_sem7_num18_;368;5.4;120.58177109008844;118.35640188739572;117.83462389059463;76.6793860080965;27.894496532243082;121.35730114427942;124.28629964750871;128.8493105622803;128.83648023007936
palmer_sem7_num19_;369;5.4;113.22384882169494;110.41653178650655;110.13345988569708;79.43960706643662;33.04725307190751;113.79153385171075;115.96838630079729;129.11674376018092;128.726093363751
palmer_sem7_num1_;370;5.8;121.2693976536155;118.77781707247368;117.60019301844886;71.04022788914253;32.34815882023034;122.157748724262;124.74027855362476;128.88288160061586;129.30233528824445
palmer_sem7_num20_;371;5.4;117.62035683491048;118.9109122542742;109.28523589990213;67.75726340685907;52.129542974778154;120.13454051774336;124.41276072365648;125.70938231752079;133.7427862975823
palmer_sem7_num21_;372;5.6;123.10301082211649;120.33096579999537;120.06225292901772;73.96332180614498;28.727586087757558;123.76826145641328;126.3848590615355;129.20027828347372;128.78079216655772
palmer_sem7_num22_;373;5.4;119.72099607891626;119.04460361964857;117.75576309183172;77.48265783853273;25.290435302622754;121.06040844235972;124.4612284705254;127.95153122052898;129.04777752213897
palmer_sem7_num23_;374;5.4;121.4300309099669;119.04864381948015;118.32326041153156;78.45320099393254;31.02963224741548;122.44739336066992;125.05606443303112;128.8914212757559;129.00231699165164
palmer_sem7_num24_;375;5.4;124.0989285274134;122.294907809285;122.2049371329518;78.13167158631795;21.868439376545002;124.84573600081804;128.36100120875844;128.75438688441287;128.47780259929948
palmer_sem7_num25_;376;5.6;119.1756068797868;117.18935938147469;117.43197689047676;81.5838129351441;23.4315263968818;119.90227194229216;122.76571126413715;128.8589867137042;128.27787813553812
palmer_sem7_num26_;377;5.6;124.28330281296441;121.64433979028921;121.32814322403156;74.43675038669555;27.28491350478324;124.9486359265862;127.717012381848;129.12312610627964;128.78437479347954
palmer_sem7_num27_;378;6.0;122.77192747293131;121.55840516961813;121.19443841628086;77.39090444445337;21.945939177838863;123.67860935169277;127.23011213947115;128.3591493066719;128.55927948151543
palmer_sem7_num28_;379;6.0;124.48082859787591;122.59779520475216;122.44336615668402;83.05503540318146;24.257887600871268;125.28937557379187;128.53380220166395;128.73753869746122;128.52381853017295
palmer_sem7_num29_;380;6.0;113.79831650589891;112.11990732409993;113.23343893877464;92.0565541655057;19.498340570412267;114.55929253552564;117.71324567532363;128.8258975935571;127.6783046225298
palmer_sem7_num2_;381;6.0;117.8460579635108;114.99229252995018;115.15960697144584;78.35671356577932;27.23488348676126;118.43341166421546;121.02107845766008;129.29555187391045;128.4911088215253
palmer_sem7_num30_;382;6.0;112.24690386820559;111.36692253988413;110.51228869054;81.37257478048555;25.46810518185407;113.40831445066908;116.8521134350798;128.15616722438344;128.75941761018592
palmer_sem7_num31_;383;6.0;120.3085351027135;118.45923557500723;116.98075829881205;67.06336688341264;30.65105291365705;121.09299388448149;124.308294835036;128.53638312082938;129.31677377262122
