;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0001palmer_sem1_num1lado1;-9.49015769413137;19.23050576547003;28.7206634596014;35.46700830856935;42.18956727559629;27.093429594127283;46.67085093116552;56.41025007355105;28.68459413389761;55.25521257810377;70.26451470187857;30.301867623901522;-11.20384262259617;-8.584361646938255;-19.788204269534425;-14.220682797954758;-13.85426462832752;-28.07494742628228;-1.5911645397703253;-1.6172734900039138;-3.208438029774239
0002palmer_sem1_num1lado2;2.124670904330877;20.36585627186472;18.24118536753384;46.21020480584001;39.8285062713797;29.07904467632459;47.450084198356244;44.31898546350787;28.30968301450441;50.79754765206061;57.97807655646415;29.132420547671398;-1.2398793925162366;-3.347463453704364;-4.587342846220601;-4.49047919212817;-13.659091092956281;-18.14957028508445;0.7693616618201773;-0.8227375331669862;-0.05337587134680888
0003palmer_sem1_num2lado1;-13.756603224770522;21.046415919135676;34.8030191439062;38.41486136550243;46.50983860269732;28.223990401313504;48.631754799097514;63.27804084048535;29.7409168750847;64.61128676349504;83.63268170260542;32.85078207150368;-10.216893433595082;-15.97953196439753;-26.196425397992613;-16.76820223778803;-20.35464086212007;-37.1228430999081;-1.5169264737711963;-3.10986519641898;-4.626791670190176
0004palmer_sem1_num2lado2;-2.2732684332085498;18.97848929167138;21.25175772487993;45.510532193968984;42.54963894228272;30.30530103018067;49.21907990564457;49.63949576582499;30.24862419610522;51.70135634253081;64.8134958262735;29.006248356713115;-3.7085477116755854;-2.482276436886238;-6.190824148561823;-7.08985682354227;-15.174000060448506;-22.263856883990776;0.05667683407544999;1.2423758393921034;1.2990526734675534
0005palmer_sem1_num3lado1;-5.942491185173395;14.654327237979729;20.596818423153124;31.941086145843126;35.72518030730637;25.35598056121649;42.832804289544235;47.71038040389091;28.416636291515683;49.79398777418195;60.767776271382004;29.83392429049253;-10.891718143701109;-6.961183484637715;-17.852901628338824;-11.985200096584542;-13.057395867491095;-25.042595964075637;-3.0606557302991924;-1.417287998976846;-4.4779437292760385
0006palmer_sem1_num3lado2;-15.298324199891098;17.530550060725663;32.82887426061676;31.638333099480846;41.307752764834675;24.47407075180804;46.067728955416065;63.14055250042963;27.468453192242887;52.421560241852234;71.02487834459909;29.34906215953594;-14.42939585593522;-6.353831286436169;-20.783227142371388;-21.832799735594953;-7.88432584416946;-29.717125579764414;-2.9943824404348476;-1.8806089672930533;-4.874991407727901
0007palmer_sem1_num4lado1;-3.4869104005176084;18.223902773292775;21.710813173810383;39.75468764871982;34.96891158836405;27.1585273038625;44.93825231608829;46.984387034306714;28.32221329783137;53.015443250247735;66.29686927306048;29.73236442055067;-5.183564667368465;-8.077190934159447;-13.260755601527912;-12.015475445942663;-19.312482238753766;-31.32795768469643;-1.1636859939688726;-1.4101511227192987;-2.5738371166881713
0008palmer_sem1_num4lado2;-4.693703293263617;11.682624551678401;16.37632784494202;40.96431519286854;46.198040510788196;32.93145405494687;41.636293030586835;44.087354798917204;30.621932419006725;45.2100633029231;56.04568369950831;29.856357441536318;-0.6719778377182948;-3.5737702723362688;-4.2457481100545635;2.1106857118709925;-11.958328900591106;-9.847643188720113;2.3095216359401434;0.7655749774704077;3.075096613410551
0009palmer_sem1_num5lado1;-12.646674693394921;23.345781546491168;35.99245623988609;35.76527602191319;48.11552241951631;23.048912184586207;53.05410422325464;66.30604623840892;28.85400067097207;58.42644425330307;73.36257814488982;30.24884714880216;-17.288828201341452;-5.372340030048427;-22.66116823138988;-18.190523818892615;-7.056531906480899;-25.247055725373514;-5.805088486385863;-1.3948464778300895;-7.199934964215952
0010palmer_sem1_num5lado2;-16.356970981550454;28.871609989467935;45.22858097101839;39.91888520923831;48.02344237262619;27.68009116907132;61.80659905105994;80.59446803876729;27.8191769493591;68.76741959019883;87.37459973773291;31.60353909963368;-21.88771384182163;-6.960820539138886;-28.848534380960515;-32.5710256661411;-6.780131698965619;-39.351157365106715;-0.13908578028777896;-3.7843621502745783;-3.9234479305623573
0011palmer_sem1_num6lado1;-12.555462049508144;23.232321084134632;35.787783133642776;40.53174852124037;48.72719532142777;26.92173153580866;54.05517740583649;67.20178893604046;30.352426089490958;64.4845202110283;82.25899307645996;32.38644756966464;-13.523428884596122;-10.429342805191808;-23.95277168978793;-18.474593614612687;-15.0572041404195;-33.53179775503219;-3.4306945536822973;-2.0340214801736813;-5.464716033855979
0012palmer_sem1_num6lado2;-14.890971885006628;29.970279316745042;44.86125120175167;40.16794220861644;47.165185406475224;26.364812949908618;65.30472208878098;84.49002378693149;29.74301263362488;77.38648293963254;95.5107881246127;36.71320000746923;-25.13677988016454;-12.081760850851566;-37.218540731016105;-37.324838380456264;-11.020764337681214;-48.34560271813748;-3.378199683716261;-6.970187373844354;-10.348387057560615
0013palmer_sem1_num7lado1;-13.074766108417265;14.583715223269529;27.658481331686794;30.19954904171364;42.411755495709905;23.72650696727728;43.814193182355446;56.641653560997526;29.960996762530424;47.8315877805929;63.76731952088054;28.542212073457048;-13.614644140641804;-4.017394598237452;-17.632038738879256;-14.229898065287621;-7.125665959883015;-21.355564025170636;-6.234489795253143;1.4187846890733766;-4.815705106179767
