ind;time;RG_diff_full;RB_diff_full;GB_diff_full;apex_R;apex_G;apex_B;equator_R;equator_G;equator_B;stalk_R;stalk_G;stalk_B;apex_equator_R_diff;equator_stalk_R_diff;apex_stalk_R_diff;apex_equator_G_diff;equator_stalk_G_diff;apex_stalk_G_diff;apex_equator_B_diff;equator_stalk_B_diff;apex_stalk_B_diff
0001palmer_sem1_num1;35;-3.682743395;19.79818102;23.48092441;40.83860656;41.00903677;28.08623714;47.06046756;50.36461777;28.49713857;53.02638012;64.12129563;29.71714409;-6.221861008;-5.96591255;-12.18777356;-9.355580995;-13.75667786;-23.11225886;-0.410901439;-1.220005512;-1.630906951
0003palmer_sem1_num2;35;-8.014935829;20.01245261;28.02738843;41.96269678;44.52973877;29.26464572;48.92541735;56.4587683;29.99477054;58.15632155;74.22308876;30.92851521;-6.962720573;-9.230904201;-16.19362477;-11.92902953;-17.76432046;-29.69334999;-0.73012482;-0.933744679;-1.663869498
0005palmer_sem1_num3;35;-10.62040769;16.09243865;26.71284634;31.78970962;38.51646654;24.91502566;44.45026662;55.42546645;27.94254474;51.10777401;65.89632731;29.59149323;-12.660557;-6.657507386;-19.31806439;-16.90899992;-10.47086086;-27.37986077;-3.027519085;-1.648948483;-4.676467569
0007palmer_sem1_num4;35;-4.090306847;14.95326366;19.04357051;40.35950142;40.58347605;30.04499068;43.28727267;45.53587092;29.47207286;49.11275328;61.17127649;29.79436093;-2.927771253;-5.825480603;-8.753251856;-4.952394867;-15.63540557;-20.58780044;0.572917821;-0.322288073;0.250629748
0009palmer_sem1_num5;35;-14.50182284;26.10869577;40.61051861;37.84208062;48.0694824;25.36450168;57.43035164;73.45025714;28.33658881;63.59693192;80.36858894;30.92619312;-19.58827102;-6.166580285;-25.75485131;-25.38077474;-6.918331803;-32.29910655;-2.972087133;-2.589604314;-5.561691447
0011palmer_sem1_num6;35;-13.72321697;26.6013002;40.32451717;40.34984536;47.94619036;26.64327224;59.67994975;75.84590636;30.04771936;70.93550158;88.8848906;34.54982379;-19.33010438;-11.25555183;-30.58565621;-27.899716;-13.03898424;-40.93870024;-3.404447119;-4.502104427;-7.906551546
0013palmer_sem1_num7;35;-10.64751985;13.7203934;24.36791325;31.94543919;40.05200446;26.50903243;44.15463708;54.7637581;30.58489299;47.84562215;62.2017434;29.22293626;-12.20919789;-3.690985073;-15.90018297;-14.71175364;-7.437985297;-22.14973894;-4.075860554;1.361956725;-2.713903829
0015palmer_sem1_num8;35;-12.60695354;17.85288099;30.45983453;33.94136885;37.86496381;27.99137588;46.67733406;59.55783475;28.31782213;54.75619408;74.96568388;29.35202424;-12.73596521;-8.078860024;-20.81482523;-21.69287094;-15.40784913;-37.10072008;-0.326446248;-1.034202107;-1.360648355
0017palmer_sem1_num9;35;-5.791071129;20.44486609;26.23593722;43.1621837;46.00674935;27.21290177;49.93399314;53.55891042;29.10852731;54.45537037;67.42368701;30.07280198;-6.771809442;-4.52137723;-11.29318667;-7.552161063;-13.86477659;-21.41693765;-1.895625542;-0.964274673;-2.859900215
0019palmer_sem1_num10;35;-10.50049746;17.92440923;28.42490669;36.14773686;39.93039253;26.17486265;47.22291643;58.38099321;29.87077941;57.79459417;74.58013362;32.00609226;-11.07517958;-10.57167774;-21.64685732;-18.45060068;-16.19914041;-34.64974109;-3.69591676;-2.135312849;-5.831229609
0021palmer_sem1_num11;35;-9.96710612;17.29345519;27.26056131;35.28304289;38.56797007;29.40064447;47.07630973;55.93262596;29.90099611;55.3454129;73.31928972;30.16426526;-11.79326684;-8.269103172;-20.06237001;-17.36465589;-17.38666376;-34.75131965;-0.500351642;-0.263269145;-0.763620787
0023palmer_sem1_num12;35;-8.93893693;16.17434076;25.11327769;38.25646176;43.87526603;30.41528692;47.80261535;56.66154602;31.33421256;49.20132459;62.56853569;29.07983511;-9.546153597;-1.398709237;-10.94486283;-12.78627999;-5.90698967;-18.69326966;-0.918925637;2.254377451;1.335451814
0025palmer_sem1_num13;35;-10.71000985;17.3235244;28.03353424;35.92367934;45.45712611;28.83507778;48.61337413;59.55883733;31.23625044;54.61497824;69.72710525;30.06014723;-12.68969479;-6.001604116;-18.6912989;-14.10171122;-10.16826792;-24.26997914;-2.401172667;1.176103212;-1.225069455
0027palmer_sem1_num14;35;-10.98417675;22.0259493;33.01012605;41.12684786;49.54162197;30.95198429;55.70239994;66.37858399;33.34415871;63.36013648;80.05579419;32.29880731;-14.57555207;-7.657736545;-22.23328862;-16.83696202;-13.6772102;-30.51417222;-2.392174426;1.045351406;-1.34682302
0029palmer_sem1_num15;35;-13.40751626;19.48293872;32.89045497;35.25845238;45.01257253;27.08596609;49.30719927;64.06167391;29.93636837;58.50606184;75.10299909;30.99850418;-14.04874689;-9.198862571;-23.24760946;-19.04910138;-11.04132518;-30.09042656;-2.850402272;-1.062135818;-3.91253809
0031palmer_sem1_num16;35;-9.984020537;25.29391773;35.27793827;44.81768406;51.96387562;28.99697511;60.17476673;70.2006452;31.91756518;58.85851832;72.8852906;31.3337128;-15.35708267;1.316248412;-14.04083425;-18.23676958;-2.684645402;-20.92141498;-2.920590068;0.583852379;-2.336737689
0033palmer_sem1_num17;35;-10.0309087;15.52816595;25.55907465;37.65362075;46.32072598;28.07640714;46.12428683;57.22832552;28.999967;48.47931827;60.05268831;29.41032374;-8.470666081;-2.355031439;-10.82569752;-10.90759953;-2.824362792;-13.73196233;-0.923559861;-0.410356741;-1.333916602
0035palmer_sem1_num18;35;-7.400080895;14.03832975;21.43841065;34.21720087;37.58784184;28.76649825;46.4840127;54.13127749;31.99624821;49.11099824;61.83297221;28.5508994;-12.26681182;-2.626985547;-14.89379737;-16.54343565;-7.701694717;-24.24513037;-3.22974996;3.445348804;0.215598844
0037palmer_sem1_num19;35;-7.828648451;17.00101945;24.8296679;34.61668985;37.49832248;26.04849466;47.02788383;54.25990144;31.65183752;56.83522541;73.04261244;30.14981205;-12.41119398;-9.807341581;-22.21853556;-16.76157896;-18.78271099;-35.54428995;-5.603342859;1.502025472;-4.101317386
0039palmer_sem1_num20;35;-8.67739104;21.703831;30.38122204;37.67559008;40.82609322;27.17814892;53.51668542;61.86293576;31.98821384;57.70029207;72.33408597;30.27988578;-15.84109534;-4.183606648;-20.02470199;-21.03684254;-10.47115021;-31.50799275;-4.810064921;1.708328065;-3.101736855
0041palmer_sem1_num21;35;-7.371678236;15.735995;23.10767324;32.03811071;35.96159455;24.79238303;47.68604799;52.90123042;32.46415022;50.65208622;66.19422884;28.87051018;-15.64793729;-2.966038227;-18.61397551;-16.93963587;-13.29299842;-30.23263429;-7.671767186;3.593640038;-4.078127148
0043palmer_sem1_num22;35;-8.628668311;22.49924062;31.12790893;40.99334421;44.68039579;30.23843536;51.59590113;60.09201494;29.05339381;62.06089277;74.7388711;32.10504726;-10.60255691;-10.46499164;-21.06754856;-15.41161915;-14.64685616;-30.05847531;1.185041547;-3.051653448;-1.8666119
0045palmer_sem1_num23;35;-11.74822415;20.52385586;32.27208001;35.83763102;42.17889126;27.48767865;49.27773721;60.89355747;28.36120538;58.2465995;76.44492939;29.45261779;-13.44010619;-8.968862286;-22.40896847;-18.71466621;-15.55137193;-34.26603814;-0.873526723;-1.091412413;-1.964939136
0047palmer_sem1_num24;35;-7.914946512;16.34975418;24.26470069;33.12765593;39.7490617;26.22804438;42.81385648;50.34195845;27.57734121;50.27606422;61.26034805;28.32877424;-9.686200549;-7.462207748;-17.1484083;-10.59289675;-10.9183896;-21.51128635;-1.349296828;-0.751433032;-2.100729859
0049palmer_sem1_num25;35;-12.07274171;23.85322163;35.92596333;37.94951595;45.97869008;27.8781699;54.89346594;67.04158262;30.02661421;61.4090567;78.16576924;30.53454351;-16.94394999;-6.515590759;-23.45954075;-21.06289254;-11.12418663;-32.18707916;-2.14844431;-0.507929303;-2.656373613
0051palmer_sem1_num26;35;-5.9402984;14.90069647;20.84099487;34.19926514;34.24194015;28.33081497;45.38033324;48.88953468;30.21650445;49.46333238;64.86174679;29.46929249;-11.1810681;-4.082999141;-15.26406724;-14.64759453;-15.97221211;-30.61980665;-1.885689482;0.74721196;-1.138477522
0053palmer_sem1_num27;35;-5.563837939;24.47125383;30.03509177;43.48945975;50.44354443;30.95978059;58.61273084;62.83283401;32.1405812;63.2553717;72.2743599;33.64583113;-15.12327109;-4.64264086;-19.76591195;-12.38928958;-9.441525887;-21.83081547;-1.180800605;-1.505249934;-2.686050539
0055palmer_sem1_num28;35;-7.71216377;26.22203395;33.93419772;43.49299554;50.18669212;30.24144117;60.32721624;67.42577684;32.5711421;65.86505047;79.5512846;32.94157202;-16.83422071;-5.537834227;-22.37205493;-17.23908472;-12.12550777;-29.36459249;-2.329700934;-0.370429918;-2.700130852
0057palmer_sem1_num29;35;-12.08530936;17.75318931;29.83849867;33.58217851;41.55570155;27.16661851;50.77814669;63.38815828;31.40094406;50.65464391;66.74845399;28.24589721;-17.19596818;0.123502784;-17.07246539;-21.83245673;-3.360295704;-25.19275243;-4.234325546;3.155046846;-1.0792787
0059palmer_sem1_num30;35;-5.77201208;16.35842535;22.13043743;37.38115274;40.01881881;28.14284044;46.87109135;51.08411139;30.79066955;49.78075805;61.86789544;28.78198224;-9.489938603;-2.909666708;-12.39960531;-11.06529259;-10.78378405;-21.84907664;-2.64782911;2.008687313;-0.639141797
