;region_0_R;region_0_G;region_0_B;region_1_R;region_1_G;region_1_B;region_2_R;region_2_G;region_2_B;region_3_R;region_3_G;region_3_B;region_4_R;region_4_G;region_4_B;region_0_H;region_0_S;region_0_V;region_1_H;region_1_S;region_1_V;region_2_H;region_2_S;region_2_V;region_3_H;region_3_S;region_3_V;region_4_H;region_4_S;region_4_V;region_0_L;region_0_a;region_0_b;region_1_L;region_1_a;region_1_b;region_2_L;region_2_a;region_2_b;region_3_L;region_3_a;region_3_b;region_4_L;region_4_a;region_4_b;0_1_R_diff;0_1_G_diff;0_1_B_diff;0_2_R_diff;0_2_G_diff;0_2_B_diff;0_3_R_diff;0_3_G_diff;0_3_B_diff;0_4_R_diff;0_4_G_diff;0_4_B_diff;1_2_R_diff;1_2_G_diff;1_2_B_diff;1_3_R_diff;1_3_G_diff;1_3_B_diff;1_4_R_diff;1_4_G_diff;1_4_B_diff;2_3_R_diff;2_3_G_diff;2_3_B_diff;2_4_R_diff;2_4_G_diff;2_4_B_diff;3_4_R_diff;3_4_G_diff;3_4_B_diff;0_1_H_diff;0_1_S_diff;0_1_V_diff;0_2_H_diff;0_2_S_diff;0_2_V_diff;0_3_H_diff;0_3_S_diff;0_3_V_diff;0_4_H_diff;0_4_S_diff;0_4_V_diff;1_2_H_diff;1_2_S_diff;1_2_V_diff;1_3_H_diff;1_3_S_diff;1_3_V_diff;1_4_H_diff;1_4_S_diff;1_4_V_diff;2_3_H_diff;2_3_S_diff;2_3_V_diff;2_4_H_diff;2_4_S_diff;2_4_V_diff;3_4_H_diff;3_4_S_diff;3_4_V_diff;0_1_L_diff;0_1_a_diff;0_1_b_diff;0_2_L_diff;0_2_a_diff;0_2_b_diff;0_3_L_diff;0_3_a_diff;0_3_b_diff;0_4_L_diff;0_4_a_diff;0_4_b_diff;1_2_L_diff;1_2_a_diff;1_2_b_diff;1_3_L_diff;1_3_a_diff;1_3_b_diff;1_4_L_diff;1_4_a_diff;1_4_b_diff;2_3_L_diff;2_3_a_diff;2_3_b_diff;2_4_L_diff;2_4_a_diff;2_4_b_diff;3_4_L_diff;3_4_a_diff;3_4_b_diff
0001palmer_sem1_num1lado1;45.39342973907576;49.94480698168095;32.13526418786693;42.164918833500934;47.52403554514979;25.552236423425246;46.713299614704;56.15139658494035;27.77818638977195;54.43529524413276;68.70941778444737;28.62852275123906;55.02521380959991;69.10594089139259;33.30018407707651;10.82660572193035;26.283557463175352;50.30832543474476;24.441449852980114;77.78268370517983;49.04130377202686;36.843657241600354;118.36516395156008;57.15906062920789;34.41581961844507;127.56995498822447;68.72801001828996;22.83849126612467;77.06773552598023;68.7974929076359;50.06984133097127;126.64013991276356;130.73244889142825;48.198966609342534;124.10206106551095;136.44416728215276;57.08543818628466;119.08061985256205;143.13208656753858;68.97432181871474;116.68511266879416;146.86495352499338;69.20543249764413;120.80438529379619;139.22649504384452;3.2285109055748293;2.4207714365311546;6.583027764441685;-1.3198698756282354;-6.206589603259403;4.357077798094981;-9.041865505056997;-18.76461080276642;3.5067414366278697;-9.631784070524148;-19.161133909711644;-1.1649198892095782;-4.548380781203065;-8.627361039790557;-2.225949966346704;-12.270376410631826;-21.185382239297574;-3.076286327813815;-12.860294976098977;-21.5819053462428;-7.747947653651263;-7.721995629428761;-12.558021199507017;-0.8503363614671109;-8.311914194895913;-12.954544306452242;-5.521997687304559;-0.5899185654671513;-0.3965231069452244;-4.671661325837448;-13.614844131049763;-51.49912624200448;1.2670216627179016;-26.017051519670005;-92.08160648838472;-6.850735194463134;-23.58921389651472;-101.28639752504911;-18.419684583545205;-12.01188554419432;-50.78417806280487;-18.48916747289114;-12.40220738862024;-40.58248024638024;-8.117756857181035;-9.974369765464957;-49.78727128304463;-19.686706246263107;1.6029585868554435;0.7149481791996095;-19.75618913560904;2.427837623155284;-9.204791036664389;-11.568949389082071;14.005165975475684;41.29742842557985;-11.638432278428006;11.5773283523204;50.50221946224424;-0.0694828893459345;1.8708747216287378;2.5380788472526064;-5.7117183907245135;-7.01559685531339;7.559520060201507;-12.39963767611033;-18.90448048774347;9.955027243969397;-16.132504633565134;-19.135591166672853;5.835754618967371;-8.494046152416274;-8.886471576942128;5.021441212948901;-6.687919285385817;-20.775355209372208;7.416948396716791;-10.42078624284062;-21.00646588830159;3.297675771714765;-2.7823277616917608;-11.88888363243008;2.39550718376789;-3.732866957454803;-12.119994311359463;-1.7237654412341357;3.9055915236940564;-0.23111067892938308;-4.119272625002026;7.638458481148859
0002palmer_sem1_num1lado2;48.79966212494032;41.14104636637519;37.265682117268604;49.723058628092645;40.17529999863792;25.770726287385774;47.65387931593346;44.42951024828007;27.58425528053768;50.72512981859209;53.796613911879085;28.184923899118868;52.732486390268456;60.41547465932109;33.90113937043208;13.488822066185962;35.53037879026418;52.74675746044462;16.189577757486067;102.36580811738405;50.96520541249139;25.3974589880034;109.02589817059732;49.199258090077194;29.774057747410183;114.94982524638685;54.34256810226211;24.126972447842014;77.43075648988693;60.11797802610378;47.035349906595776;129.1639755659813;130.64049560754432;43.80650353557592;130.12618155483486;137.04074120721685;46.7631554568832;126.30943669511005;139.31978651720772;54.7789562943354;122.41794766837747;142.33555212695615;61.04590681182737;122.44513776078993;138.1566746297181;-0.9233965031523255;0.9657463677372746;11.49495582988283;1.1457828090068602;-3.2884638819048746;9.681426836730925;-1.9254676936517683;-12.655567545503892;9.080758218149736;-3.9328242653281364;-19.2744282929459;3.364542746836527;2.0691793121591857;-4.254210249642149;-1.8135289931519054;-1.0020711904994428;-13.621313913241167;-2.414197611733094;-3.009427762175811;-20.240174660683174;-8.130413083046303;-3.0712505026586285;-9.367103663599018;-0.6006686185811887;-5.078607074334997;-15.985964411041024;-6.316884089894398;-2.007356571676368;-6.618860747442007;-5.716215471313209;-2.7007556913001043;-66.83542932711987;1.7815520479532267;-11.908636921817438;-73.49551938033314;3.547499370367426;-16.285235681224222;-79.41944645612267;-1.5958106418174935;-10.638150381656052;-41.90037769962275;-7.371220565659158;-9.207881230517334;-6.660090053213267;1.765947322414199;-13.584479989924116;-12.584017129002802;-3.3773626897707203;-7.937394690355948;24.935051627497117;-9.152772613612385;-4.376598759406782;-5.9239270757895355;-5.143310012184919;1.2704865401613858;31.595141680710384;-10.918719936026584;5.647085299568168;37.51906875649992;-5.775409923841664;3.2288463710198556;-0.9622059888535546;-6.40024559967253;0.272194449712579;2.8545388708712522;-8.679290909663393;-7.743606387739625;6.746027897603838;-11.695056519411821;-14.010556905231596;6.71883780519137;-7.516179022173787;-2.9566519213072766;3.816744859724807;-2.279045309990863;-10.97245275875948;7.708233886457393;-5.294810919739291;-17.23940327625145;7.681043794044925;-1.1159334225012572;-8.015800837452204;3.891489026732586;-3.015765609748428;-14.282751354944175;3.864298934320118;1.163111887489606;-6.266950517491971;-0.027190092412467948;4.178877497238034
0003palmer_sem1_num2lado1;45.320068708846264;49.42127883100139;30.863694752366907;39.47112632029219;47.10366519137641;25.781301584341943;48.554085784804215;64.05261384711864;28.46364478754183;61.0853531929666;81.25610011931452;31.521985885120564;64.16765905861139;82.35281142687526;35.133606050467876;10.969973009446694;26.41201419839191;52.227048088779284;26.299062134975447;67.89472550153664;48.49481332037344;39.011258349493644;122.45428049762415;63.90486966572376;36.569806870116466;135.31641036981594;81.28002942378423;23.622514000497414;85.71764591534237;81.96496663366794;52.03557281171671;126.52876818743692;130.87455062996858;48.18882309007726;123.51962485399018;135.51750700280112;63.641962618527735;116.43478889531521;145.12176368523117;81.2095298469421;113.26613195885642;150.79280214109934;82.37196667503034;118.86438313479641;142.46448776332227;5.848942388554072;2.3176136396249802;5.082393168024964;-3.2340170759579507;-14.631335016117248;2.400049964825076;-15.765284484120336;-31.834821288313137;-0.6582911327536571;-18.847590349765127;-32.931532595873875;-4.269911298100968;-9.082959464512022;-16.948948655742228;-2.6823432031998884;-21.614226872674408;-34.15243492793812;-5.7406843007786215;-24.6965327383192;-35.249146235498856;-9.352304466125933;-12.531267408162385;-17.20348627219589;-3.058341097578733;-15.613573273807177;-18.300197579756627;-6.669961262926044;-3.0823058656447913;-1.0967113075607386;-3.6116201653473112;-15.329089125528753;-41.48271130314473;3.7322347684058457;-28.04128534004695;-96.04226629923224;-11.677821576944474;-25.599833860669772;-108.90439617142403;-29.052981335004944;-12.65254099105072;-59.305631716950465;-29.737918544888657;-12.712196214518197;-54.55955499608751;-15.41005634535032;-10.270744735141019;-67.4216848682793;-32.78521610341079;2.6765481344780326;-17.822920413805733;-33.4701533132945;2.4414514793771787;-12.862129872191787;-17.37515975806047;15.38874434899623;36.73663458228178;-18.060096967944183;12.947292869619051;49.59876445447357;-0.6849372098837136;3.846749721639455;3.009143333446744;-4.642956372832543;-11.606389806811023;10.093979292121716;-14.247213055262591;-29.173957035225392;13.262636228580504;-19.918251511130762;-30.336393863313624;7.664385052640512;-11.589937133353686;-15.453139528450478;7.084835958674972;-9.604256682430048;-33.02070675686485;10.25349289513376;-15.275295138298219;-34.18314358495308;4.655241719193768;-6.946980760521143;-17.56756722841437;3.168656936458788;-5.671038455868171;-18.7300040565026;-2.4295942394812045;2.657275921908905;-1.1624368280882322;-5.598251175939993;8.328314377777076
0004palmer_sem1_num2lado2;52.38564773735581;45.36681634236931;38.20509131156613;47.083495644780164;40.65844398524861;28.581798054874675;48.54937277297799;49.17299398587989;29.036947555946018;51.681958024204725;58.613486325055014;28.844656277298764;52.34858888899515;64.90417457761542;32.47040747400367;10.459418247493227;32.70249005571301;51.665983047343396;16.05392568891333;71.90575034449573;48.28785253067205;27.812719313320812;104.2251674046114;53.06474934947779;32.88716163645624;125.98890114456947;59.56413399513695;27.58193027023279;91.02019654439898;64.55578831789879;48.50152208885039;128.18543400211854;130.8432192930104;44.593477467245364;128.446378967169;134.44509472460652;51.78582682804555;124.4102764402421;139.76777394831157;59.201663911329454;119.96660031934206;144.5811588179969;64.80538700464463;119.94838660875814;140.62063085835314;5.302152092575646;4.708372357120702;9.623293256691454;3.8362749643778216;-3.80617764351058;9.168143755620111;0.7036897131510855;-13.246669982685702;9.360435034267365;0.0370588483606582;-19.53735823524611;5.734683837562457;-1.4658771281978247;-8.514550000631282;-0.4551495010713431;-4.598462379424561;-17.955042339806404;-0.2628582224240894;-5.265093244214988;-24.24573059236681;-3.888609419128997;-3.132585251226736;-9.440492339175123;0.1922912786472537;-3.7992161160171634;-15.73118059173553;-3.433459918057654;-0.6666308647904273;-6.2906882525604075;-3.6257511967049076;-5.594507441420104;-39.20326028878272;3.378130516671348;-17.353301065827587;-71.52267734889838;-1.3987663021343977;-22.427743388963016;-93.28641108885645;-7.898150947793553;-17.122512022739564;-58.31770648868598;-12.889805270555392;-11.758793624407481;-32.31941706011567;-4.776896818805746;-16.83323594754291;-54.08315080007374;-11.276281464464901;-11.528004581319458;-19.114446199903256;-16.26793578722674;-5.074442323135429;-21.76373373995807;-6.4993846456591555;0.2307890430880235;13.204970860212413;-11.491038968420995;5.3052313662234525;34.96870460017048;-4.991654322761839;3.908044621605029;-0.26094496505047005;-3.6018754315961132;-3.284304739195157;3.7751575618764406;-8.924554655301165;-10.700141822479061;8.218833682776477;-13.737939524986501;-16.303864915794236;8.237047393360399;-9.777411565342732;-7.192349360800186;4.036102526926911;-5.322679223705052;-14.60818644408409;8.479778647826947;-10.136064093390388;-20.211909537399265;8.497992358410869;-6.175536133746618;-7.415837083283904;4.443676120900037;-4.813384869685336;-13.019560176599079;4.461889831483958;-0.8528569100415666;-5.603723093315175;0.01821371058392174;3.9605279596437697
0005palmer_sem1_num3lado1;39.528936371520935;37.49528096986929;29.94108399166765;35.869175672090776;38.99558027088985;25.5253129395042;42.391800125153544;47.53645252408199;27.020449962918327;47.86881458899051;56.623017130656706;27.76096778127633;49.99539904603236;60.324880284110435;33.19386717046941;10.707052404517194;19.815020936429388;43.57294266036315;25.904631391955334;56.759687856870954;41.27273024285766;35.777523156959774;98.66877553609947;48.30165214475428;35.66769699276742;119.58914350970689;56.52441829738112;23.40825476799369;69.98770182068017;59.92518390625143;42.237434287317114;127.3395888846593;129.6889607917777;40.79909755672915;125.17374698642304;133.5363989341454;48.374261570829354;122.08922725542443;139.35312016241593;56.714188836144125;119.32016241593706;143.51240705494226;60.22006904234689;122.193936155324;137.12241179688792;3.6597606994301586;-1.5002993010205614;4.41577105216345;-2.8628637536326096;-10.041171554212696;2.9206340287493227;-8.339878217469575;-19.127736160787414;2.1801162103913185;-10.466462674511426;-22.829599314241143;-3.25278317880176;-6.522624453062768;-8.540872253192134;-1.4951370234141272;-11.999638916899734;-17.627436859766853;-2.2356548417721314;-14.126223373941585;-21.329300013220582;-7.66855423096521;-5.477014463836966;-9.086564606574719;-0.7405178183580041;-7.603598920878817;-12.788427760028448;-6.173417207551083;-2.126584457041851;-3.701863153453729;-5.432899389193079;-15.19757898743814;-36.94466692044156;2.3002124175054846;-25.07047075244258;-78.85375459967008;-4.728709484391132;-24.960644588250226;-99.7741225732775;-12.951475637017971;-12.701202363476495;-50.17268088425078;-16.352241245888287;-9.87289176500444;-41.90908767922852;-7.0289219018966165;-9.763065600812084;-62.82945565283593;-15.251688054523456;2.4963766239616447;-13.228013963809218;-18.65245366339377;0.10982616419235569;-20.920367973607412;-8.22276615262684;12.369268388966084;28.681073715419302;-11.623531761497155;12.259442224773728;49.601441689026714;-3.4007656088703158;1.438336730587963;2.165841898236266;-3.8474381423677073;-6.13682728351224;5.250361629234874;-9.664159370638231;-14.47675454882701;8.019426468722244;-13.823446263164556;-17.98263475502978;5.1456527293353105;-7.433451005110214;-7.575164014100203;3.0845197309986077;-5.816721228270524;-15.915091279414973;5.853584570485978;-9.976008120796848;-19.42097148561774;2.9798108310990443;-3.586012862742507;-8.33992726531477;2.7690648394873705;-4.159286892526325;-11.845807471517539;-0.10470889989956333;2.2307083655280167;-3.505880206202768;-2.873773739386934;6.389995258054341
0006palmer_sem1_num3lado2;39.06414862284364;47.316931935817806;30.016472712033785;36.36569203213461;48.93094804776974;23.658891428351932;44.629656742657865;62.45376855454676;25.76496561583113;53.000493880424166;72.36090488525439;28.80054435101294;51.740633847085654;68.35375243642262;32.193440737004046;13.239523844261953;28.48250500229272;48.87132864729235;32.02580088790696;86.5508514319063;50.493315827592234;42.76107799408062;136.1485238025762;62.721213836986706;39.82057140772854;141.96644295302013;72.23684802062319;25.30417263163425;82.13744861371964;67.94245351855102;48.279977006760696;125.92982981783318;130.89683813414482;49.47709245759447;120.94872910500646;137.63453301513192;61.83723048973442;114.55888896994456;146.48575388719829;71.68489929164332;113.16418983700864;149.62676643461586;67.6954649205727;119.73547590590893;139.75616438356164;2.6984565907090285;-1.6140161119519334;6.357581283681853;-5.5655081198142256;-15.136836618728957;4.251507096202655;-13.936345257580527;-25.04397294943658;1.2159283610208433;-12.676485224242015;-21.03682050060482;-2.176968024970261;-8.263964710523254;-13.522820506777023;-2.106074187479198;-16.634801848289555;-23.429956837484646;-5.1416529226610095;-15.374941814951043;-19.422804388652885;-8.534549308652114;-8.370837137766301;-9.907136330707623;-3.0355787351818115;-7.110977104427789;-5.899983881875862;-6.428475121172916;1.2598600333385122;4.007152448831761;-3.3928963859911043;-18.786277043645008;-58.06834642961358;-1.6219871802998824;-29.52155414981867;-107.66601880028347;-13.849885189694355;-26.58104756346659;-113.48393795072741;-23.365519373330834;-12.064648787372295;-53.65494361142692;-19.071124871258668;-10.735277106173662;-49.5976723706699;-12.227898009394472;-7.794770519821583;-55.41559152111384;-21.74353219303095;6.721628256272712;4.413402818186654;-17.449137690958786;2.940506586352079;-5.817919150443942;-9.515634183636479;17.456905362446374;54.01107518885655;-5.221239681564313;14.516398776094295;59.82899433930049;4.294394502072166;-1.1971154508337776;4.981100712826716;-6.737694880987107;-13.55725348297372;11.370940847888619;-15.58891575305347;-23.404922284882623;12.765639980824545;-18.729928300471045;-19.415487913812008;6.194353911924253;-8.859326249416824;-12.360138032139943;6.3898401350619025;-8.851220872066364;-22.207806834048846;7.784539267997829;-11.992233419483938;-18.21837246297823;1.2132531990975366;-2.1216313684297177;-9.847668801908902;1.3946991329359264;-3.1410125474175743;-5.858234430838287;-5.176586935964366;6.729589503636646;3.9894343710706153;-6.571286068900292;9.87060205105422
0007palmer_sem1_num4lado1;43.87265142556826;32.680927851963645;28.373679217507934;42.86562529641112;39.507338405319594;24.986456534110765;44.88200657107676;47.44459941293527;27.093452681392616;50.710795091748025;59.40373146625116;28.387093612531636;53.97843174519636;66.2878222822576;33.56460568006744;10.611367631548108;22.828305793195046;47.94180212723259;17.281214109926168;70.00063283722021;44.8367349897606;31.639691654621924;100.79346328632629;48.85115363890204;34.488883680352096;122.7013320832845;59.36548999433533;22.521873395727205;74.00123997946531;65.93931177185894;42.7266448494996;128.75115955050327;129.5080042189148;42.25021184752772;127.45499693998464;134.5008737320468;49.07784615217202;123.31218146542183;139.61983931663997;59.89932397295892;119.2623201427139;144.43249606104405;66.40925381903642;121.47064723768906;138.43126275191196;1.0070261291571398;-6.826410553355949;3.3872226833971695;-1.0093551455085006;-14.763671560971623;1.2802265361153182;-6.838143666179768;-26.722803614287514;-0.013414395023701786;-10.105780319628103;-33.60689443029395;-5.190926462559503;-2.0163812746656404;-7.937261007615675;-2.1069961472818513;-7.845169795336908;-19.896393060931565;-3.4006370784208713;-11.112806448785243;-26.780483876938;-8.578149145956672;-5.828788520671267;-11.95913205331589;-1.29364093113902;-9.096425174119602;-18.843222869322325;-6.471152998674821;-3.267636653448335;-6.8840908160064345;-5.177512067535801;-6.66984647837806;-47.17232704402517;3.105067137471991;-21.028324023073814;-77.96515749313124;-0.909351511669449;-23.87751604880399;-99.87302629008946;-11.423687867102736;-11.910505764179097;-51.17293418627027;-17.997509644626348;-14.358477544695756;-30.792830449106077;-4.01441864914144;-17.207669570425928;-52.70069924606429;-14.528755004574727;-5.240659285801037;-4.0006071422451015;-21.10257678209834;-2.849192025730172;-21.907868796958212;-10.514336355433286;9.117818258894719;26.792223306860976;-17.0881581329569;11.967010284624891;48.70009210381919;-6.573821777523612;0.476433001971877;1.2961626105186355;-4.992869513132007;-6.351201302672422;5.438978085081445;-10.111835097725162;-17.172679123459318;9.48883940778937;-14.924491842129243;-23.682608969536822;7.28051231281421;-8.923258532997153;-6.827634304644299;4.142815474562809;-5.118965584593155;-17.649112125431195;8.192676797270735;-9.931622328997236;-24.1590419715087;5.9843497022955745;-3.930389019865146;-10.821477820786896;4.049861322707926;-4.81265674440408;-17.3314076668644;1.8415342277327653;1.1885765647280095;-6.509929846077505;-2.2083270949751608;6.00123330913209
0008palmer_sem1_num4lado2;51.054892723641764;47.421294640576306;35.11899044602258;39.44280948551142;42.28871714580765;28.663876503143097;40.60574543661483;43.63118598669893;29.164344081440113;43.50093309521897;50.65599633877466;30.14013671724444;48.71620573290408;59.116627703097606;34.51759691456651;12.9040662608744;23.49496094944273;53.29152864075062;25.666950165374246;58.768859612551765;44.022859662985354;34.04734984296395;79.5174963172962;45.192850404447924;36.03729397704216;97.29827677256178;50.59089854516545;24.726940715417328;68.53105422607632;58.775404957064794;51.86838401653216;127.44456210567276;130.18352928096945;43.333390872564074;125.55388698963284;133.74749159231774;45.152676175843325;123.9116484616026;136.42483393090413;50.47707755440312;121.16027960754884;139.22107618332916;58.989472709912505;122.15352288835153;136.5778898802079;11.612083238130346;5.132577494768654;6.455113942879482;10.449147287026932;3.7901086538773754;5.954646364582466;7.5539596284227954;-3.234701698198357;4.978853728778137;2.338686990737685;-11.6953330625213;0.6013935314560683;-1.1629359511034139;-1.3424688408912786;-0.500467578297016;-4.05812360970755;-8.367279192967011;-1.4762602141013446;-9.273396247392661;-16.827910557289954;-5.853720411423414;-2.8951876586041365;-7.024810352075733;-0.9757926358043285;-8.110460296289247;-15.485441716398675;-5.3532528331263975;-5.215272637685111;-8.460631364322943;-4.377460197322069;-12.762883904499846;-35.27389866310904;9.268668977765266;-21.143283582089552;-56.02253536785348;8.098678236302696;-23.13322771616776;-73.80331582311905;2.7006300955851685;-11.822874454542928;-45.03609327663359;-5.4838763163141735;-8.380399677589708;-20.74863670474444;-1.1699907414625699;-10.370343811667915;-38.52941716001001;-6.5680388821800975;0.9400094499569178;-9.762194613524557;-14.75254529407944;-1.9899441340782076;-17.78078045526557;-5.398048140717528;9.320409127546625;10.986442091219885;-13.58255455261687;11.310353261624833;28.767222546485456;-8.184506411899342;8.534993143968087;1.8906751160399153;-3.5639623113482912;6.715707840688836;3.532913644070163;-6.241304649934676;1.3913064621290445;6.284282498123915;-9.037546902359708;-7.121088693380344;5.291039217321227;-6.394360599238439;-1.8192853032792513;1.6422385280302478;-2.677342338586385;-7.143686681839043;4.393607382083999;-5.4735845910114165;-15.656081837348431;3.400364101281312;-2.830398287890148;-5.3244013785597915;2.7513688540537515;-2.7962422524250314;-13.83679653406918;1.758125573251064;-0.15305594930376287;-8.512395155509388;-0.9932432808026874;2.6431863031212686
0009palmer_sem1_num5lado1;48.81924386774152;54.05972718275313;29.42209267435381;45.07413777618107;58.03811298724627;24.167845483000345;53.18364537753058;66.63188628828047;27.834606380806676;59.17971335307238;73.63981151979745;28.895011924412398;57.44069255573941;71.55260845393734;33.261368478994285;12.770933231201328;35.257020298736116;53.90669832458282;31.661210264266565;101.98677901187284;57.779079424749746;39.18978424613813;139.76614834673816;67.04272160276163;36.29859057832248;143.79450785139792;73.52919021775845;24.178921492921493;84.07125611325611;71.18354006711922;53.41009713594864;125.56855866207073;131.9773420145538;57.559995699112605;119.81745691306013;140.96597727562875;67.29636382883002;115.89106855610878;148.31028979956594;74.07604528514169;115.20788459083366;150.53394867866717;71.78308607602882;120.12884942084942;140.65974517374516;3.7451060915604515;-3.9783858044931435;5.254247191353464;-4.364401509789062;-12.57215910552734;1.5874862935471334;-10.36046948533086;-19.58008433704432;0.5270807499414119;-8.62144868799789;-17.49288127118421;-3.839275804640476;-8.109507601349513;-8.593773301034197;-3.6667608978063306;-14.105575576891312;-15.601698532551175;-4.727166441412052;-12.366554779558342;-13.514495466691066;-9.09352299599394;-5.9960679755417985;-7.007925231516978;-1.0604055436057216;-4.257047178208829;-4.920722165656869;-5.426762098187609;1.7390207973329694;2.087203065860109;-4.366356554581888;-18.89027703306524;-66.72975871313673;-3.872381100166926;-26.418851014936806;-104.50912804800205;-13.136023278178811;-23.527657347121156;-108.53748755266182;-19.622491893175635;-11.407988261720165;-48.814235814519996;-17.276841742536405;-7.528573981871567;-37.77936933486532;-9.263642178011885;-4.6373803140559176;-41.80772883952508;-15.750110793008709;7.482288771345072;17.91552289861673;-13.404460642369479;2.8911936678156493;-4.028359504659761;-6.486468614996824;15.010862753216639;55.69489223348205;-4.140818464357594;12.11966908540099;59.72325173814181;2.34565015063923;-4.1498985631639655;5.751101749010601;-8.988635261074933;-13.886266692881385;9.677490105961951;-16.332947785012124;-20.66594814919305;10.36067407123707;-18.55660666411336;-18.372988940080184;5.439709241221308;-8.682403159191352;-9.73636812971742;3.9263883569513496;-7.344312523937191;-16.516049586029084;4.6095723222264695;-9.567971403038428;-14.223090376916218;-0.31139250778929295;0.3062321018835803;-6.779681456311664;0.6831839652751199;-2.2236588791012366;-4.486722247198799;-4.2377808647406425;7.650544625820771;2.2929592091128654;-4.9209648300157625;9.874203504922008
0010palmer_sem1_num5lado2;49.555283601149306;55.4110374104537;33.94482685587207;47.55200402241057;62.15221859074892;24.671279669268465;60.785048648957115;80.03500472227057;26.646521912805294;66.73380900767107;87.3813521953151;29.1852245802845;66.52867753682317;83.65004403140283;33.991749259102946;16.095530726256982;39.007305960839616;53.517183000867306;34.73009166350274;118.9186093182188;62.24709167963232;40.26748657590714;163.4413570537506;80.04666512338024;37.00551065791615;155.8214731246949;87.21601503736822;24.156067277451115;92.8111472719814;83.16026682952037;53.750330644323654;125.28324564733958;132.4312632206975;62.02155022366816;117.75043119813418;144.19538970548354;80.11899907985432;111.62750447469762;155.21552855670663;87.30816234701224;111.48860986060639;155.69372728751966;83.89182817370111;118.57952413510188;143.94076302475045;2.0032795787387343;-6.7411811802952215;9.273547186603608;-11.22976504780781;-24.62396731181687;7.298304943066778;-17.178525406521764;-31.9703147848614;4.7596022755875715;-16.97339393567386;-28.239006620949127;-0.046922403230873044;-13.233044626546544;-17.882786131521648;-1.9752422435368295;-19.1818049852605;-25.22913360456618;-4.513944911016036;-18.976673514412596;-21.497825440653905;-9.320469589834481;-5.948760358713955;-7.346347473044531;-2.538702667479207;-5.743628887866052;-3.615039309132257;-7.345227346297651;0.20513147084790262;3.7313081639122743;-4.806524678818445;-18.63456093724576;-79.91130335737918;-8.729908678765014;-24.17195584965016;-124.43405109291099;-26.52948212251293;-20.909979931659166;-116.81416716385529;-33.69883203650092;-8.060536551194133;-53.80384131114178;-29.64308382865306;-5.537394912404402;-44.52274773553181;-17.799573443747917;-2.275418994413407;-36.902863806476105;-24.968923357735903;10.574024386051626;26.1074620462374;-20.913175149888048;3.261975917990995;7.619883929055703;-7.169349913987986;16.111419298456028;70.63020978176921;-3.1136017061401304;12.849443380465033;63.01032585271351;4.055748207847856;-8.271219579344503;7.532814449205404;-11.764126484786033;-26.368668435530665;13.655741172641967;-22.784265336009128;-33.55783170268859;13.794635786733195;-23.26246406682216;-30.14149752937746;6.703721512237706;-11.50949980405295;-18.097448856186162;6.122926723436564;-11.020138851223095;-25.286612123344085;6.261821337527792;-11.498337582036129;-21.870277950032957;-0.8290929369676974;0.25462668073308237;-7.189163267157923;0.13889461409122816;-0.478198730813034;-3.772829093846795;-6.952019660404261;11.274765531956177;3.416334173311128;-7.090914274495489;11.752964262769211
