;area;height;width;diameter
0001palmer_sem1_num1lado1;1198861.0;1823.0;983.0;1235.4906854528454
0002palmer_sem1_num1lado2;1185155.0;1742.0;910.0;1228.4079992578206
0003palmer_sem1_num2lado1;1180145.0;1818.0;969.0;1225.8088278852779
0004palmer_sem1_num2lado2;1185295.0;1743.0;917.0;1228.4805518105952
0005palmer_sem1_num3lado1;1343310.0;1850.0;1065.0;1307.805571496846
0006palmer_sem1_num3lado2;1339910.0;1838.0;1043.0;1306.1494548427802
0007palmer_sem1_num4lado1;1302060.0;1852.0;1035.0;1287.5691366361132
0008palmer_sem1_num4lado2;1265283.0;1791.0;1005.0;1269.2550377607886
0009palmer_sem1_num5lado1;1378490.0;1863.0;1050.0;1324.8199802320219
0010palmer_sem1_num5lado2;1366294.0;1788.0;1030.0;1318.9463789458555
0011palmer_sem1_num6lado1;1189544.0;1562.0;1042.0;1230.6804869674518
0012palmer_sem1_num6lado2;1228904.0;1525.0;1049.0;1250.8753612903326
0013palmer_sem1_num7lado1;1221469.0;1790.0;977.0;1247.0856560269285
0014palmer_sem1_num7lado2;1211602.0;1745.0;951.0;1242.0384772140567
0015palmer_sem1_num8lado1;1244893.0;1811.0;981.0;1258.9864957830132
0016palmer_sem1_num8lado2;1238116.0;1762.0;956.0;1255.554957845064
0017palmer_sem1_num9lado1;1141101.0;1753.0;973.0;1205.3609076690843
0018palmer_sem1_num9lado2;1157747.0;1736.0;940.0;1214.1207778464632
0019palmer_sem1_num10lado1;1254983.0;1765.0;948.0;1264.0783138596946
0020palmer_sem1_num10lado2;1239873.0;1723.0;1033.0;1256.4455157504524
0021palmer_sem1_num11lado1;1163135.0;1783.0;951.0;1216.9426764911868
0022palmer_sem1_num11lado2;1172841.0;1719.0;911.0;1222.0096320760867
0023palmer_sem1_num12lado1;1392847.0;1931.0;1055.0;1331.7011226869704
0024palmer_sem1_num12lado2;1411064.0;1899.0;1012.0;1340.381469937636
0025palmer_sem1_num13lado1;1173009.0;1743.0;994.0;1222.0971504468246
0026palmer_sem1_num13lado2;1144639.0;1694.0;927.0;1207.2280808720911
0027palmer_sem1_num14lado1;1089644.0;1668.0;943.0;1177.8700397256914
0028palmer_sem1_num14lado2;1103340.0;1616.0;954.0;1185.249391178116
0029palmer_sem1_num15lado1;1202003.0;1718.0;985.0;1237.1086259865378
0030palmer_sem1_num15lado2;1199219.0;1668.0;979.0;1235.6751408026937
0031palmer_sem1_num16lado1;1183933.0;1742.0;965.0;1227.774537086079
0032palmer_sem1_num16lado2;1232311.0;1721.0;962.0;1252.6081177336082
0033palmer_sem1_num17lado1;1149952.0;1634.0;977.0;1210.026595140491
0034palmer_sem1_num17lado2;1140488.0;1578.0;994.0;1205.037103949881
0035palmer_sem1_num18lado1;1203148.0;1729.0;1012.0;1237.697706133861
0036palmer_sem1_num18lado2;1194234.0;1631.0;964.0;1233.1041944893595
0037palmer_sem1_num19lado1;1111202.0;1707.0;937.0;1189.464723557955
0038palmer_sem1_num19lado2;1111411.0;1673.0;913.0;1189.576578305765
0039palmer_sem1_num20lado1;1329041.0;1890.0;1011.0;1300.8410962813118
0040palmer_sem1_num20lado2;1315931.0;1821.0;987.0;1294.409281233292
0041palmer_sem1_num21lado1;1279054.0;1806.0;1061.0;1276.1434608427412
0042palmer_sem1_num21lado2;1282100.0;1722.0;1011.0;1277.6620915973645
0043palmer_sem1_num22lado1;1235342.0;1780.0;1013.0;1254.1476331246754
0044palmer_sem1_num22lado2;1295084.0;1791.0;993.0;1284.1153229183872
0045palmer_sem1_num23lado1;1317228.0;1826.0;1031.0;1295.04701807788
0046palmer_sem1_num23lado2;1309693.0;1761.0;999.0;1291.3376471948882
0047palmer_sem1_num24lado1;1397476.0;1900.0;1082.0;1333.9121807744002
0048palmer_sem1_num24lado2;1396017.0;1858.0;1030.0;1333.2156800467612
0049palmer_sem1_num25lado1;1448146.0;1976.0;1063.0;1357.8795063443763
0050palmer_sem1_num25lado2;1448418.0;1897.0;1016.0;1358.007023143185
0051palmer_sem1_num26lado1;1403267.0;1916.0;1072.0;1336.6731224281716
0052palmer_sem1_num26lado2;1398363.0;1859.0;1033.0;1334.3354411445782
0053palmer_sem1_num27lado1;1184999.0;1740.0;977.0;1228.3271499367027
0054palmer_sem1_num27lado2;1203467.0;1736.0;961.0;1237.8617754756756
0055palmer_sem1_num28lado1;1116987.0;1700.0;975.0;1192.5569249956561
0056palmer_sem1_num28lado2;1120002.0;1662.0;942.0;1194.1653305059865
0057palmer_sem1_num29lado1;1346488.0;1906.0;1020.0;1309.3516594526316
0058palmer_sem1_num29lado2;1346854.0;1845.0;985.0;1309.5296001941815
0059palmer_sem1_num30lado1;1246637.0;1805.0;1024.0;1259.8680590958757
0060palmer_sem1_num30lado2;1255673.0;1773.0;999.0;1264.4257664474558
0061palmer_sem1_num31lado1;1407827.0;1887.0;1093.0;1338.8431605478925
0062palmer_sem1_num31lado2;1399772.0;1839.0;1049.0;1335.0075145904716
0063palmer_sem1_num32lado1;1309135.0;1873.0;1012.0;1291.062528074015
0064palmer_sem1_num32lado2;1320140.0;1829.0;993.0;1296.4777100230754
0065palmer_sem1_num33lado1;1370877.0;1871.0;1055.0;1321.1566172743887
0066palmer_sem1_num33lado2;1360752.0;1801.0;1017.0;1316.268687228205
0067palmer_sem1_num34lado1;1209054.0;1775.0;981.0;1240.7317858909828
0068palmer_sem1_num34lado2;1211981.0;1754.0;950.0;1242.2327224267067
0069palmer_sem1_num35lado1;1339582.0;1886.0;1039.0;1305.989577223118
0070palmer_sem1_num35lado2;1345628.0;1833.0;1001.0;1308.9334521292087
0071palmer_sem1_num36lado1;1434620.0;1995.0;1043.0;1351.5231835480881
0072palmer_sem1_num36lado2;1407073.0;1907.0;1023.0;1338.4845856150678
0073palmer_sem1_num37lado1;1255975.0;1811.0;1008.0;1264.5778098633339
0074palmer_sem1_num37lado2;1277456.0;1765.0;1003.0;1275.3460298519778
0075palmer_sem1_num38lado1;1253567.0;1815.0;1045.0;1263.3649814582577
0076palmer_sem1_num38lado2;1251425.0;1774.0;985.0;1262.2851489541501
0077palmer_sem1_num39lado1;1203495.0;1815.0;997.0;1237.8761755082955
0078palmer_sem1_num39lado2;1201682.0;1713.0;987.0;1236.9434274033877
0079palmer_sem1_num40lado1;1106976.0;1737.0;926.0;1187.2007489353903
