ind;time;area;height;width;diameter
0001palmer_sem1_num1;35;1192008.0;1782.5;946.5;1231.9493423553329
0003palmer_sem1_num2;35;1182720.0;1780.5;943.0;1227.1446898479367
0005palmer_sem1_num3;35;1341610.0;1844.0;1054.0;1306.977513169813
0007palmer_sem1_num4;35;1283671.5;1821.5;1020.0;1278.412087198451
0009palmer_sem1_num5;35;1372392.0;1825.5;1040.0;1321.8831795889387
0011palmer_sem1_num6;35;1209224.0;1543.5;1045.5;1240.7779241288922
0013palmer_sem1_num7;35;1216535.5;1767.5;964.0;1244.5620666204927
0015palmer_sem1_num8;35;1241504.5;1786.5;968.5;1257.2707268140387
0017palmer_sem1_num9;35;1149424.0;1744.5;956.5;1209.740842757774
0019palmer_sem1_num10;35;1247428.0;1744.0;990.5;1260.2619148050735
0021palmer_sem1_num11;35;1167988.0;1751.0;931.0;1219.4761542836368
0023palmer_sem1_num12;35;1401955.5;1915.0;1033.5;1336.041296312303
0025palmer_sem1_num13;35;1158824.0;1718.5;960.5;1214.662615659458
0027palmer_sem1_num14;35;1096492.0;1642.0;948.5;1181.5597154519035
0029palmer_sem1_num15;35;1200611.0;1693.0;982.0;1236.391883394616
0031palmer_sem1_num16;35;1208122.0;1731.5;963.5;1240.1913274098436
0033palmer_sem1_num17;35;1145220.0;1606.0;985.5;1207.531849545186
0035palmer_sem1_num18;35;1198691.0;1680.0;988.0;1235.4009503116106
0037palmer_sem1_num19;35;1111306.5;1690.0;925.0;1189.5206509318598
0039palmer_sem1_num20;35;1322486.0;1855.5;999.0;1297.6251887573019
0041palmer_sem1_num21;35;1280577.0;1764.0;1036.0;1276.9027762200528
0043palmer_sem1_num22;35;1265213.0;1785.5;1003.0;1269.1314780215312
0045palmer_sem1_num23;35;1313460.5;1793.5;1015.0;1293.192332636384
0047palmer_sem1_num24;35;1396746.5;1879.0;1056.0;1333.5639304105807
0049palmer_sem1_num25;35;1448282.0;1936.5;1039.5;1357.943264743781
0051palmer_sem1_num26;35;1400815.0;1887.5;1052.5;1335.504281786375
0053palmer_sem1_num27;35;1194233.0;1738.0;969.0;1233.094462706189
0055palmer_sem1_num28;35;1118494.5;1681.0;958.5;1193.3611277508212
0057palmer_sem1_num29;35;1346671.0;1875.5;1002.5;1309.4406298234067
0059palmer_sem1_num30;35;1251155.0;1789.0;1011.5;1262.1469127716655
0061palmer_sem1_num31;35;1403799.5;1863.0;1071.0;1336.925337569182
0063palmer_sem1_num32;35;1314637.5;1851.0;1002.5;1293.7701190485452
0065palmer_sem1_num33;35;1365814.5;1836.0;1036.0;1318.7126522512967
0067palmer_sem1_num34;35;1210517.5;1764.5;965.5;1241.4822541588444
0069palmer_sem1_num35;35;1342605.0;1859.5;1020.0;1307.4615146761635
0071palmer_sem1_num36;35;1420846.5;1951.0;1033.0;1345.0038845815782
0073palmer_sem1_num37;35;1266715.5;1788.0;1005.5;1269.9619198576559
0075palmer_sem1_num38;35;1252496.0;1794.5;1015.0;1262.8250652062038
0077palmer_sem1_num39;35;1202588.5;1764.0;992.0;1237.4098014558415
0079palmer_sem1_num40;35;1108420.5;1728.5;920.5;1187.9748370999425
0081palmer_sem1_num41;35;1188538.5;1707.5;955.0;1230.160226099435
0083palmer_sem1_num42;35;1234324.5;1741.0;998.0;1253.6282918608024
0085palmer_sem1_num43;35;1244153.5;1714.0;1010.0;1258.5973624473427
0087palmer_sem1_num44;35;1483449.5;2010.0;1061.5;1374.3192027932184
0089palmer_sem1_num45;35;1181681.5;1679.0;984.5;1226.6064839941234
0091palmer_sem1_num46;35;1140667.5;1729.0;944.5;1205.131691291357
0093palmer_sem1_num47;35;1388010.0;1846.0;1059.0;1329.3866843230994
0095palmer_sem1_num48;35;1193325.5;1751.5;982.0;1232.6335925622445
0097palmer_sem1_num49;35;1481850.5;1913.0;1086.0;1373.587931256563
0099palmer_sem1_num50;35;1447828.5;1925.0;1029.0;1357.730547357032
0101palmer_sem1_num51;35;1460770.5;2044.0;1050.0;1363.7854541043678
0103palmer_sem1_num52;35;1308023.5;1909.5;968.0;1290.511079995194
0105palmer_sem1_num53;35;1276913.0;1806.5;986.5;1275.074907795942
0107palmer_sem1_num54;35;1394128.5;1840.5;1051.5;1332.3106790671845
0109palmer_sem1_num55;35;1517024.5;1812.0;1127.0;1389.787490934147
0111palmer_sem1_num56;35;1209639.0;1710.0;974.5;1241.0318375296024
0113palmer_sem1_num57;35;1371903.5;1769.5;1060.5;1321.6508642301606
0115palmer_sem1_num58;35;1180854.5;1724.5;958.0;1226.1650643211149
0117palmer_sem1_num59;35;1437879.5;1855.5;1094.0;1353.0556192944905
0119palmer_sem1_num60;35;1324908.5;1889.0;1010.5;1298.8171138286011
0121palmer_sem2_num1;50;2118512.5;2427.5;1255.0;1642.358997770904
0123palmer_sem2_num2;50;2355584.5;2350.0;1403.5;1731.809663993643
0125palmer_sem2_num3;50;2493636.0;2595.0;1332.0;1781.8444886851835
0127palmer_sem2_num4;50;2181949.0;2406.5;1296.0;1666.760824162939
0129palmer_sem2_num5;50;2660071.5;2528.5;1451.0;1840.3492303910648
0131palmer_sem2_num6;50;2339361.0;2534.5;1323.0;1725.8469341512478
0133palmer_sem2_num7;50;2446020.0;2463.5;1384.0;1764.7515915112756
0135palmer_sem2_num8;50;2437415.5;2471.0;1382.0;1761.5981820552395
0137palmer_sem2_num9;50;2469330.0;2443.5;1375.0;1773.1155663724026
0139palmer_sem2_num10;50;2319920.0;2350.5;1348.5;1718.6651220456645
0141palmer_sem2_num11;50;2605406.0;2483.0;1446.0;1821.345015668936
0143palmer_sem2_num12;50;2380547.0;2482.0;1338.5;1740.9541423484945
0145palmer_sem2_num13;50;2464650.0;2494.0;1382.5;1771.4651506971259
0147palmer_sem2_num14;50;2735248.5;2525.0;1506.0;1866.1796165886108
0149palmer_sem2_num15;50;2515026.5;2485.0;1426.5;1789.4778367175816
0151palmer_sem2_num16;50;2251728.0;2418.5;1363.0;1693.2185650777014
0153palmer_sem2_num17;50;2458382.5;2407.0;1397.0;1769.2116358050284
0155palmer_sem2_num18;50;2683990.5;2416.0;1495.0;1848.5998146218164
0157palmer_sem2_num19;50;2577331.5;2417.0;1465.0;1811.4977540744683
0159palmer_sem2_num20;50;2428163.0;2449.0;1404.0;1758.3032449083112
0161palmer_sem2_num21;50;2435587.0;2363.5;1430.5;1760.965044987424
0163palmer_sem2_num22;50;2829958.5;2636.0;1483.5;1898.206887207678
0165palmer_sem2_num23;50;2654879.5;2412.0;1520.5;1838.5535902191903
0167palmer_sem2_num24;50;2668005.5;2449.0;1462.5;1843.0979031157744
0169palmer_sem2_num25;50;2603150.5;2576.0;1403.0;1820.5570665107268
0171palmer_sem2_num26;50;2544950.5;2394.5;1444.0;1800.0829250860525
0173palmer_sem2_num27;50;2366498.5;2437.0;1380.0;1735.778203887495
0175palmer_sem2_num28;50;2362308.5;2453.0;1373.5;1734.2965443221874
0177palmer_sem2_num29;50;2414630.5;2443.0;1375.0;1753.3962447640301
0179palmer_sem2_num30;50;2528982.0;2538.5;1435.5;1794.4138448433555
0181palmer_sem2_num31;50;2677289.5;2638.0;1431.0;1846.2980755498693
0183palmer_sem2_num32;50;2614343.5;2366.5;1537.5;1824.4681176431375
0185palmer_sem2_num33;50;2630427.0;2397.0;1539.0;1830.00412031116
0187palmer_sem2_num34;50;2551655.0;2494.5;1404.5;1802.4610065760492
0189palmer_sem2_num35;50;3015070.0;2581.0;1614.5;1959.3123928392486
0191palmer_sem2_num36;50;2668962.0;2515.5;1441.0;1843.4275876500933
