;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0857tommy_sem1_num9lado1;6.0;53.81343823126849;64.74822871554915;38.16180121494404;29.64419930821725;79.34824564583242;64.3521912637864;65.08123851077495;120.83848990657309;138.83351998366888
0859tommy_sem1_num10lado1;5.6;58.881109392122745;70.7824653922215;40.54585530573407;28.60906759784359;82.56582125603866;70.70807759523508;71.47921499354563;120.32634731849052;140.00958963453056
0861tommy_sem1_num11lado1;5.5;57.451897680165466;67.6364103682938;40.35444770747901;29.504798008968052;78.05628445713927;67.45502002974477;68.39583782230841;121.02850872126602;139.2065170592374
0863tommy_sem1_num12lado1;6.1;50.719914746631574;63.111294374542865;37.05892673010946;29.57139131020093;76.55024456186406;62.80687810453768;63.034600637011614;120.76093236406065;137.9964647909445
0865tommy_sem1_num13lado1;6.3;47.76460039952305;51.063056620945204;38.299264900703065;31.64124349678185;57.55949440752337;51.69617971382041;51.55456248294341;124.87849718921308;134.2655989944017
0867tommy_sem1_num14lado1;5.7;53.63944278403165;66.9105021992154;37.748673800520294;32.007258887850874;88.16974129741536;66.69042264422596;67.09683200916957;119.36692761609687;140.31257169211122
0869tommy_sem1_num15lado1;5.4;57.85100788781771;68.28195632138119;38.88365300784656;31.301816260918798;88.00401366871563;67.93598651064521;69.02058204259029;120.25576775315432;140.84896423083148
0871tommy_sem1_num16lado1;6.1;56.12129728087498;69.41872835739564;37.49565570775105;32.194720934918394;93.62414810776217;69.04943211069235;69.67773150688407;119.0292209408446;141.5902407225231
0977tommy_sem2_num9lado1;5.8;57.150991976880725;65.46960695950665;35.455356654266865;28.88477254957469;89.00203640420055;65.57603830613314;66.30929059067972;121.52583629905232;140.46901750448228
0979tommy_sem2_num10lado1;5.8;48.27536686233458;63.573756551901646;35.087223428112296;33.272597981048676;87.31268981409826;63.41757725664548;63.03727111010546;119.08942200209806;139.35424856833308
0981tommy_sem2_num11lado1;5.8;44.75133443813319;50.46889354405066;33.96495699910247;32.09504608988258;65.04228645708852;50.537517157236536;50.2764714141568;123.75629619949757;135.10215945844172
0983tommy_sem2_num12lado1;5.9;57.0086989516648;69.90875202655607;34.59697892606749;30.94211101486741;102.84710919989477;70.06464934423954;70.35522873424598;118.8501629634182;142.99572569137015
0985tommy_sem2_num13lado1;6.5;59.87394389356164;61.562581229086646;36.266567590206115;24.70104410080717;77.83964541846271;62.23442966484515;63.82050066005532;124.23829828171014;138.87886010073268
0987tommy_sem2_num14lado1;6.2;54.53966599766026;60.48562579134535;35.51261148107742;27.73787924351777;78.72564153969526;60.920724514407816;61.38796824670561;122.93632369201237;138.3585696580885
0989tommy_sem2_num15lado1;6.4;64.75861710773839;51.7314845522729;36.66455198716839;16.75001674705252;85.34303071409433;64.87944749534735;57.0417111798439;130.69834622856376;136.86106812700964
0991tommy_sem2_num16lado1;5.7;52.523652933158615;62.47913226894607;33.896648840185044;30.793918008424004;91.50770403566726;63.022338510387364;62.67891597329103;120.9509815811561;140.0774609793096
1097tommy_sem3_num9lado1;6.0;55.747322232235824;70.46645604760387;29.459460894269967;31.933932228571233;113.7327669665012;70.60008380682693;70.48703876346198;117.6902954725618;145.25524724740905
1099tommy_sem3_num10lado1;5.9;53.65592930690669;62.73820507867977;30.577654145709914;30.53387714890462;106.75416065479062;62.81754267537421;63.3419498177186;120.0560583339336;142.92855126338532
1101tommy_sem3_num11lado1;6.8;54.03337494341486;46.190401682340145;30.72188365520156;19.16736327899179;88.26191575615678;54.13879746418644;49.18968980053874;128.78202646259683;136.7963279714418
1103tommy_sem3_num12lado1;5.8;50.43985832855648;66.41201564208485;30.66436416698703;31.71720913963632;102.91809895703369;66.30595539297148;65.94512386662541;118.04248070883348;142.52029190732256
1105tommy_sem3_num13lado1;5.9;56.40158563718703;51.628523447442454;38.54251857409658;22.46223596950707;63.56298881467168;57.233153222220345;54.85012966824666;127.73533839296051;134.65287446412992
1107tommy_sem3_num14lado1;9.1;50.379601651714545;50.4369913493709;30.925943097380056;24.07194559008784;88.27555609242609;52.78753857440131;51.75202357797003;125.12171564651676;138.06759521303215
1109tommy_sem3_num15lado1;5.8;57.61766555321744;71.3019136450863;32.075914435255896;28.28702023197255;101.38850403958892;71.88850754906936;71.62675465496464;118.86974498575694;143.53139796027494
1111tommy_sem3_num16lado1;5.3;49.138695813767356;54.14713639906146;30.690577996698927;26.79427580598497;87.25263865756489;54.6918263866183;54.66574823730016;122.99028400071936;138.7140397382064
1217tommy_sem4_num9lado1;5.8;50.322613032016754;61.15591917591622;27.9487266612812;31.774404266293374;113.30996589664105;61.15587195162609;61.13273453968286;119.32115186757844;143.1700914604685
1219tommy_sem4_num10lado1;5.8;53.55299260312934;72.19173413785101;26.639117233700844;31.77958764000873;121.617416518468;72.16108754351501;71.50366313562627;116.05025550340746;146.4403285887476
