ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy_sem1_num25_;436;5.2;172.81523257213257;172.31850229271157;172.4659139443927;74.28391137840434;4.600523004588548;173.60925658565708;179.69147172255447;128.15265037700584;128.10511113477725
tommy_sem1_num26_;437;5.8;172.41538858435501;171.96197434413585;172.15548685471992;75.92856372193107;4.8012089426243865;173.28923760711356;179.32450536685172;128.132769130712;128.08214888291428
tommy_sem1_num27_;438;5.6;172.7209175155214;171.98840828796585;172.3783193971122;78.41354265461571;4.270456294027921;173.40237980734886;179.40256542455242;128.2894484978263;128.00903164026778
tommy_sem1_num28_;439;5.2;172.76066177488616;172.21035918917363;172.49609521423503;77.43454324158022;4.721144743798583;173.5854101879001;179.59725759468384;128.1893505066783;128.04613989894122
tommy_sem1_num29_;440;5.2;174.03214141468945;173.54328587047576;173.70082977671683;75.81776080068303;4.4361782693187015;174.87259518135394;180.96253783788967;128.15128550030187;128.09408523287465
tommy_sem1_num2_;441;6.1;173.76955028336837;173.30152664917165;173.48531807270234;75.59673385724773;4.42075515698231;174.61715621494736;180.69914909122085;128.14541437596452;128.07827534128336
tommy_sem1_num30_;442;5.8;173.6242465632769;172.92618117400048;173.16954918936833;72.69318698626651;4.027211772289022;174.2256466935746;180.33949774457366;128.26802577196216;128.0663443496907
tommy_sem1_num31_;443;6.1;174.2280276298552;173.74818744842568;174.10563795951504;73.48321055973508;3.723106548237811;175.01961882857483;181.14566268122917;128.18436700152;127.969099186957
tommy_sem2_num25_;496;5.8;167.22545042872045;167.1594709205578;166.296133256798;69.91801979403327;8.43889418027692;168.40305637903785;174.4526647932911;127.79051352920843;128.63501749618663
tommy_sem2_num26_;497;6.3;166.63958407258306;166.39862841051308;166.06342501611974;70.0761897641336;7.0217760153213575;167.6490838139737;173.65357589720543;127.94561335001572;128.36112023708097
tommy_sem2_num27_;498;5.6;164.7677078396715;164.3757382958866;163.676190579052;68.16770652488425;8.869980688666338;165.6251015083391;171.60960978341413;127.9474474466932;128.6123126692351
tommy_sem2_num28_;499;5.5;165.12559241265944;164.85340152460847;164.6473135544821;70.24266562267803;7.224726449751015;166.0687021160546;172.04451204355985;127.96667285111592;128.30513852385008
tommy_sem2_num29_;500;5.6;167.35485567255898;167.4436716943242;165.84445837758534;77.57615086015196;10.365238310051224;168.84333609619483;174.7665637132923;127.60714625396521;129.04341935522766
tommy_sem2_num2_;501;5.7;167.13621542624918;167.1986461922349;165.92688161311872;67.31528646279864;9.027974139624767;168.35866709203125;174.4607420312143;127.66751501905792;128.85389551093823
tommy_sem2_num30_;502;5.7;167.00013127971013;166.9604352000396;165.85365751010946;67.52138616616833;8.492589907827146;168.12258750290502;174.25646771728583;127.74486961417074;128.76351009136908
tommy_sem2_num31_;503;5.7;166.4949150941371;166.89859236143587;165.29871889244328;73.03415200260059;10.512351372277948;168.15014797022548;174.13110460797353;127.4637235999925;129.00087595356618
tommy_sem3_num25_;556;5.1;158.47165423525377;158.08179174213038;156.7193347039591;72.3411571640482;12.543699022946315;159.45247312108842;165.19217885963224;127.82839409052427;129.04680944372106
tommy_sem3_num26_;557;5.8;160.45408038020295;160.79330013154794;158.65915479341706;71.33631280899921;13.949473774809242;162.01014294338708;167.801635825912;127.3837382696402;129.3738713100941
tommy_sem3_num27_;558;6.7;160.5520334335348;160.05425654212038;159.3005047638121;71.51636177554869;10.401499695466107;161.40029531861748;167.117989385297;127.9868234391075;128.69183991497164
tommy_sem3_num28_;559;6.0;159.75213913291788;159.48127208652156;158.21836447661252;73.75594764852502;12.364350383882387;160.85973666190662;166.5489074679123;127.78834601368706;128.97912438579712
tommy_sem3_num29_;560;6.0;160.40966353135178;160.69001569778453;157.93675610786931;73.62699825250235;15.478709503020337;162.03439686883786;167.73105652385726;127.32512677004743;129.73802697871122
tommy_sem3_num2_;561;6.9;160.98919789367034;161.10078595531655;159.3906477451543;73.52217046932157;12.884461816718819;162.3925531192844;168.16252169022562;127.55099519399076;129.17170819289944
tommy_sem3_num30_;562;5.9;162.63453898279428;162.82955400966645;161.21599303613144;74.32006199631344;12.004885184694006;164.1301506192487;169.90289954110045;127.53871917375756;129.0873827243102
tommy_sem3_num31_;563;5.8;161.4297658580598;161.68551104173926;159.53529329242446;72.55615853936257;14.086418320987587;162.95341592169132;168.69473214971458;127.42450171646375;129.40346808623224
tommy_sem4_num25_;616;6.6;146.17088082744806;145.70166171910722;141.974403524377;64.42255704763767;27.09233620028328;147.9654896286562;152.2641398949224;127.56182585037294;130.5102225095647
tommy_sem4_num26_;617;5.8;152.08891367857456;153.02896401431934;147.6646162686587;67.9105842496142;25.126213223736855;154.37704438339097;159.65059791755954;126.64195019129372;131.1586520836459
