;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy7_IMG_0009_20170816;112.09191961510844;110.62014275137888;107.83551402150849;70.15723460005144;37.56669476460691;113.23953075435101;116.14359119137946;128.18689735109098;130.04872090183113
tommy7_IMG_0014_20170816;108.89561615199543;104.36174937083834;103.94781653217164;75.26384764062142;37.93223763645975;109.14270985153748;110.30748975881987;129.94740790082378;128.94551103868386
tommy7_IMG_0019_20170816;115.21877238234809;112.48977896956804;109.16836616226567;75.14115525512975;40.92746556355738;116.53765151900794;118.81390523191016;128.7586714016775;130.68882005619142
tommy7_IMG_0024_20170816;118.25656360962864;112.45795813596679;112.30563442402908;76.2077056787087;38.28451899496671;118.94860851007016;119.50014009898693;130.7521178389882;129.3724020289459
tommy7_IMG_0029_20170816;121.55202511690172;122.38583674036207;116.84206211419752;73.77077796353453;37.891841349451305;123.79250742803713;128.04915063175153;126.58979820387518;131.35203403635117
tommy7_IMG_0034_20170816;116.74628012072401;114.51805591278007;112.22052830825619;73.028928375593;35.7547262476959;117.75693791393391;120.61880606192128;128.64410654354924;129.93633042463279
tommy7_IMG_0039_20170816;116.01405444012201;111.71224192761915;108.51765135602423;71.14232114661921;44.48689907023391;116.74091181779049;118.03972543054485;129.55267431662952;130.87580035034793
tommy7_IMG_0044_20170816;111.70934310654935;106.22962207209862;105.93676975496186;74.30643577907092;41.88457931009231;112.33161151120257;112.5882698969586;130.57193848549312;129.32982711896648
tommy7_IMG_0049_20170816;110.15713915412807;109.03649734894762;104.83019450204691;68.2574419353888;42.461943533521946;111.24661412563944;114.35164064286123;127.7628573473044;130.8211520334112
tommy7_IMG_0054_20170816;114.42258531860855;110.36511838866741;107.173756456833;67.28387096738183;46.34837678299682;115.26875160751028;116.49396485937858;129.4602253394526;130.7785828166974
tommy7_IMG_0059_20170816;116.17523491976738;112.38882157439558;111.21660765764318;68.54808074434871;36.387615160250924;116.94361858603395;118.5814169354781;129.66803360857486;129.47773151720392
tommy7_IMG_0064_20170816;118.66171134875471;116.68209826308514;112.92698900373655;64.44742096184487;39.114862414980564;119.58838878574029;122.56008672518006;128.28228751393178;130.76170440520337
tommy7_IMG_0069_20170816;115.38390571862854;111.30413832313458;111.88001359015988;75.63923037319245;34.56141336769833;116.22106900103952;117.3961422767168;130.0183761310621;128.4519723927969
tommy7_IMG_0074_20170816;114.04313558500871;112.134627033054;109.00117376159193;69.19466882608882;36.84547411060028;114.92522504027708;118.00675020361795;128.368063425658;130.35753574031207
