;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0961tommy_sem2_num1lado1;5.7;44.58593279890152;42.400014122940185;32.75903168813577;22.309921373620377;55.80649206267129;44.78615692032635;43.08010977456216;127.39705316257879;132.9706709527667
0963tommy_sem2_num2lado1;6.1;50.37390591463657;48.23627304695141;35.611660932365545;24.22982606585228;63.71842731170617;51.45135505420331;49.67920673624722;127.04206536687971;134.20555213979452
0965tommy_sem2_num3lado1;6.5;54.33612589166463;71.7985788816351;33.415056062313354;30.83601594357409;99.28949302205116;71.70803612656569;71.46283114452584;117.76688470874521;142.70221972256857
0967tommy_sem2_num4lado1;6.5;52.30062101593276;62.12672162511394;35.20317377471419;28.860045667763572;81.79492569686747;62.11838968259229;62.38490561116495;121.4951769109079;138.67892006901153
0969tommy_sem2_num5lado1;5.5;60.510005729981366;60.29820917005062;32.835717493882804;22.368112377710947;100.32484012090977;65.1821458410836;62.873764571635476;124.6248585112142;140.95727168178038
0971tommy_sem2_num6lado1;6.9;49.37592891884146;63.77468480062822;33.25236908760381;31.75760757314973;94.89328274135504;63.84379320814394;63.321501112715524;119.15006571741512;140.43275856673444
0973tommy_sem2_num7lado1;5.8;62.717824142551386;77.95688393730556;32.756928400460914;28.68401046319692;108.20726104950386;78.0671340005767;78.48331095427703;117.89882359152288;145.5785016114676
0975tommy_sem2_num8lado1;5.6;50.19706822009618;55.836234706193935;34.45463362617809;28.93908483896308;78.97920895522388;56.40201413900344;56.40307334129674;123.1316017282011;137.37790494893952
0977tommy_sem2_num9lado1;5.8;57.150991976880725;65.46960695950665;35.455356654266865;28.88477254957469;89.00203640420055;65.57603830613314;66.30929059067972;121.52583629905232;140.46901750448228
0979tommy_sem2_num10lado1;5.8;48.27536686233458;63.573756551901646;35.087223428112296;33.272597981048676;87.31268981409826;63.41757725664548;63.03727111010546;119.08942200209806;139.35424856833308
0981tommy_sem2_num11lado1;5.8;44.75133443813319;50.46889354405066;33.96495699910247;32.09504608988258;65.04228645708852;50.537517157236536;50.2764714141568;123.75629619949757;135.10215945844172
0983tommy_sem2_num12lado1;5.9;57.0086989516648;69.90875202655607;34.59697892606749;30.94211101486741;102.84710919989477;70.06464934423954;70.35522873424598;118.8501629634182;142.99572569137015
0985tommy_sem2_num13lado1;6.5;59.87394389356164;61.562581229086646;36.266567590206115;24.70104410080717;77.83964541846271;62.23442966484515;63.82050066005532;124.23829828171014;138.87886010073268
0987tommy_sem2_num14lado1;6.2;54.53966599766026;60.48562579134535;35.51261148107742;27.73787924351777;78.72564153969526;60.920724514407816;61.38796824670561;122.93632369201237;138.3585696580885
0989tommy_sem2_num15lado1;6.4;64.75861710773839;51.7314845522729;36.66455198716839;16.75001674705252;85.34303071409433;64.87944749534735;57.0417111798439;130.69834622856376;136.86106812700964
0991tommy_sem2_num16lado1;5.7;52.523652933158615;62.47913226894607;33.896648840185044;30.793918008424004;91.50770403566726;63.022338510387364;62.67891597329103;120.9509815811561;140.0774609793096
0993tommy_sem2_num17lado1;5.8;56.96581255905389;72.91833202150136;34.10795700653297;31.844961382600516;105.26345184568392;72.8855691861972;72.94054844729895;117.7145349433859;143.8169634550996
0995tommy_sem2_num18lado1;6.3;47.91113047170062;62.22979263414003;31.98240567329523;33.08547289083394;94.27499392171164;62.08620365037877;61.52853373647852;119.18739119863848;140.30057622173595
0997tommy_sem2_num19lado1;5.6;47.78217777402333;52.795920582655754;34.3249134849824;29.082117745669407;65.91176929034668;52.85850764201846;53.121968007203805;123.85909372382551;135.79098503084987
0999tommy_sem2_num20lado1;5.5;41.62313144841833;49.28505626234892;33.59344655491934;32.75508089890932;62.82117286441128;49.09588642562152;48.50702156891894;123.20959215658077;134.470911412665
1001tommy_sem2_num21lado1;5.6;58.4701464458142;75.01843217514059;33.18227675944474;30.563758612089767;108.71019830487668;75.04296620451066;75.1541369025877;117.32998925974056;144.8307625429784
