ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy_sem5_num10_;660;6.6;136.7441187170907;135.3718079199353;132.03171670823866;74.54755936401534;31.141408354275626;138.68722800702665;142.28500652269625;128.10017046865178;130.43908995605244
tommy_sem5_num11_;661;6.6;135.21513854394397;134.70791113861742;130.6163553343443;71.06588313936044;30.863346834187087;137.41151521017306;141.31095070614356;127.57805857856796;130.64464226867926
tommy_sem5_num12_;662;6.2;134.8184847531777;136.13413300272205;129.7394786218993;70.71102803408637;34.54472062922418;137.5808338308797;142.479849160835;126.2356805160376;131.82924425694623
tommy_sem5_num13_;663;6.4;140.38654987769524;140.79662739876258;136.859643030014;72.57308738091028;27.066107465188473;142.37040653935188;147.37809200138602;127.02109081406107;130.54276429478523
tommy_sem5_num14_;664;5.8;133.788545417524;134.1900428803369;128.54829954436013;70.7962688346622;34.963987443781804;136.29536232165566;140.5675404099062;126.86247819256008;131.453909945041
tommy_sem5_num15_;665;6.0;135.28664124344493;134.01153865861306;130.78474477201934;68.27866721098752;29.844825692301093;136.45392152692938;140.6478348789991;127.96481919081506;130.4014781782711
tommy_sem5_num16_;666;6.0;133.0618304831283;133.68879625052693;127.41357544670929;69.70009621060707;38.362187387637135;135.83322234256224;139.92974602342142;126.60760188266244;131.89145688657408
tommy_sem5_num17_;667;6.0;141.0438791143333;142.7233912394262;136.63269550897348;71.52170233776648;30.98977227160851;143.9632966887967;149.22940134642383;126.12459114538679;131.55634602641317
tommy_sem5_num18_;668;9.2;139.64191820853694;134.26677529082542;131.40086196599398;71.44769649915517;37.267538662855095;140.70400354902546;142.3424415536051;130.0696942504269;131.05153036095749
tommy_sem5_num19_;669;5.8;138.09505412062936;138.43396545884593;132.76201438118892;72.63720248221915;32.15660033119177;140.3393745300265;145.129258311498;126.8423365072731;131.53065686777515
tommy_sem5_num1_;670;6.0;138.32761556436114;136.15201136375816;133.66494688183192;72.03557199792988;29.47924478161973;139.48708239896794;143.09435195120489;128.5572710704411;130.09741255590563
tommy_sem5_num20_;671;6.0;140.51295354674818;140.8239365731794;135.93933336637468;67.88935344819888;29.80353690218479;143.2024908335276;147.47536844295314;127.07184270467181;131.01382073715064
tommy_sem5_num21_;672;6.0;135.60149155744529;134.52817390626785;129.62273380120814;66.89345022723944;33.871983294842394;136.86834736332594;141.2128293107621;127.63458899422548;131.3332914152699
tommy_sem5_num22_;673;6.4;140.2608520619445;141.25726050440997;135.10264463908717;70.10715666371064;31.597753705311213;142.81785764201462;147.85499950211837;126.46099613505407;131.69169895083158
tommy_sem5_num23_;674;6.0;139.33376367723338;138.93082718572282;134.55962663117643;72.12005964086434;30.93701476073996;141.62773497223475;145.5720491134581;127.49375635747991;130.81267383995808
tommy_sem5_num24_;675;6.2;141.84580323158684;141.6500811513614;136.281611550274;71.4152583648584;31.25073769651813;144.3017667989291;148.4967533036569;127.20076620191759;131.40555145863698
tommy_sem5_num25_;676;6.0;138.2808612950817;137.12613764842678;134.7028619655475;69.36404515228479;26.14569382041789;139.372910655248;143.76113298553062;128.01254996677812;129.88540433125786
tommy_sem5_num26_;677;6.0;138.5606243201571;140.47144791019196;133.2472113603645;71.84376481923545;34.803873056028884;141.67973472061468;146.82438379888617;125.82997238096384;132.20274623038836
tommy_sem5_num27_;678;6.0;139.6002265361547;139.77610861835385;135.18285541159406;67.99278844651099;29.92641604911479;141.5255511248553;146.30727796375774;127.06836663112284;130.9385637196984
tommy_sem5_num28_;679;6.2;141.6263754818066;140.6931771067762;137.07496571202878;69.89562999444516;27.867354781539355;143.05805715971692;147.54673130085985;127.76771557271128;130.54276951361203
tommy_sem5_num29_;680;6.4;141.09628534513246;142.18292707976107;137.09229210538302;71.70358434048319;28.935695569701647;143.48434000316144;148.67296447893446;126.52022192126059;131.10894995865127
tommy_sem5_num2_;681;6.2;139.61644550562448;140.198651516552;135.53972582125914;72.27070861174519;28.77427407514575;141.85067956939258;146.72046663121216;126.85561052347677;130.91197008534988
tommy_sem5_num30_;682;6.2;139.57152767730838;139.51266536703923;134.7421081570877;71.37070496135723;30.254808102343034;142.0133429214624;146.21987824337523;127.25688047893092;131.0049552900038
tommy_sem5_num31_;683;6.0;138.08703253265924;139.45836020889595;132.42782569051494;68.6377825813311;34.29272611641589;141.12124716118151;145.92610160782291;126.18507737594489;132.12559274151056
tommy_sem5_num32_;684;6.0;133.41772505590563;131.24741603884462;128.9707780584223;72.28795822973822;30.723843519143664;134.43399986961305;138.0190913335995;128.56669024348423;129.98717441218707
tommy_sem5_num33_;685;6.0;142.5733573086795;144.26542629386714;136.35640945050835;68.6337493491816;32.86543227179605;145.6781358339495;150.86987737264053;125.94187371175913;132.48231186101472
tommy_sem5_num34_;686;5.8;138.2952138223112;137.33439166675598;134.79904502725623;70.73177527073153;25.341444785593854;139.56283118619075;144.0472252195591;127.90615394009704;129.9342724486579
tommy_sem5_num35_;687;6.2;142.24687319713257;141.85062205066515;137.1474649004594;67.93447422468884;29.018360697847015;144.4609745899509;148.6874816085194;127.43453456214098;130.9902425520923
tommy_sem5_num36_;688;6.4;138.65825751801304;138.73495978768364;134.464743280607;67.66539932899839;28.616755202528445;140.15458254297408;145.22571917107842;127.0989147686882;130.8115154278567
tommy_sem5_num37_;689;6.0;137.3501332949763;134.48730195249985;132.56562956577577;71.67685775163788;30.799371441150843;138.1229955239769;141.41860589340064;128.9836007437861;129.9133900248628
tommy_sem5_num38_;690;5.8;137.8445814679516;137.2195500712663;132.96843728901428;70.83739338522912;31.197766018393487;139.87378166906902;143.87029097164174;127.57880286141298;130.83362380151178
