ind;firmeza
0001palmer_sem1_num1;86.8
0003palmer_sem1_num2;86.75
0005palmer_sem1_num3;98.45
0007palmer_sem1_num4;95.9
0009palmer_sem1_num5;120
0011palmer_sem1_num6;75.45
0013palmer_sem1_num7;95.25
0015palmer_sem1_num8;83.2
0017palmer_sem1_num9;103.5
0019palmer_sem1_num10;107.7
0021palmer_sem1_num11;83.45
0023palmer_sem1_num12;113.2
0025palmer_sem1_num13;80.8
0027palmer_sem1_num14;95.4
0029palmer_sem1_num15;100
0031palmer_sem1_num16;102.35
0033palmer_sem1_num17;87.95
0035palmer_sem1_num18;88.55
0037palmer_sem1_num19;97.55
0039palmer_sem1_num20;98.8
0041palmer_sem1_num21;87.9
0043palmer_sem1_num22;102.4
0045palmer_sem1_num23;87.7
0047palmer_sem1_num24;93.9
0049palmer_sem1_num25;86.75
0051palmer_sem1_num26;111.9
0053palmer_sem1_num27;105.7
0055palmer_sem1_num28;90.7
0057palmer_sem1_num29;78.95
0059palmer_sem1_num30;93.5
0061palmer_sem1_num31;89.4
0063palmer_sem1_num32;91.6
0065palmer_sem1_num33;92.85
0067palmer_sem1_num34;97.05
0069palmer_sem1_num35;116
0071palmer_sem1_num36;93.8
0073palmer_sem1_num37;80.9
0075palmer_sem1_num38;77.35
0077palmer_sem1_num39;82
0079palmer_sem1_num40;88.95
0081palmer_sem1_num41;97.65
0083palmer_sem1_num42;99.85
0085palmer_sem1_num43;99.05
0087palmer_sem1_num44;97.2
0089palmer_sem1_num45;113.85
0091palmer_sem1_num46;83.8
0093palmer_sem1_num47;89.7
0095palmer_sem1_num48;79.15
0097palmer_sem1_num49;104.5
0099palmer_sem1_num50;98.45
0101palmer_sem1_num51;91.85
0103palmer_sem1_num52;97.75
0105palmer_sem1_num53;100.7
0107palmer_sem1_num54;95.55
0109palmer_sem1_num55;83.25
0111palmer_sem1_num56;84
0113palmer_sem1_num57;102.45
0115palmer_sem1_num58;74.95
0117palmer_sem1_num59;71.4
0119palmer_sem1_num60;73.35
0121palmer_sem2_num1;104.1
0123palmer_sem2_num2;91.6
0125palmer_sem2_num3;112.3
0127palmer_sem2_num4;93.25
0129palmer_sem2_num5;96.1
0131palmer_sem2_num6;120.45
0133palmer_sem2_num7;114.45
0135palmer_sem2_num8;85.75
0137palmer_sem2_num9;97.55
0139palmer_sem2_num10;85.25
0141palmer_sem2_num11;145.2
0143palmer_sem2_num12;139.3
0145palmer_sem2_num13;129.85
0147palmer_sem2_num14;100.9
0149palmer_sem2_num15;117.85
0151palmer_sem2_num16;109
0153palmer_sem2_num17;108.4
0155palmer_sem2_num18;103.4
0157palmer_sem2_num19;112.25
0159palmer_sem2_num20;135.95
0161palmer_sem2_num21;124.25
0163palmer_sem2_num22;138.15
0165palmer_sem2_num23;138.2
0167palmer_sem2_num24;133.8
0169palmer_sem2_num25;152.6
0171palmer_sem2_num26;143.25
0173palmer_sem2_num27;100.1
0175palmer_sem2_num28;129.1
0177palmer_sem2_num29;109.8
0179palmer_sem2_num30;104.8
0181palmer_sem2_num31;101.4
0183palmer_sem2_num32;102.05
0185palmer_sem2_num33;99.75
0187palmer_sem2_num34;97.5
0189palmer_sem2_num35;83.65
0191palmer_sem2_num36;108.95
