;sst_predict;firmeza_predict;time_predict;sst_real;firmeza_real;time_real
0001palmer_sem1_num1;4.8782;92.2079;35;6.2;86.8;35
0003palmer_sem1_num2;4.7648;89.359;35;4.5;86.75;35
0005palmer_sem1_num3;4.7828;94.7508;35;5.3;98.45;35
0007palmer_sem1_num4;4.787;96.7233;35;4.4;95.9;35
0009palmer_sem1_num5;4.416;90.7;35;5.5;120;35
0011palmer_sem1_num6;5.421;108.0124;35;3.9;75.45;35
0013palmer_sem1_num7;4.9212;90.1365;35;5.2;95.25;35
0015palmer_sem1_num8;5.1324;88.8511;35;4.3;83.2;35
0017palmer_sem1_num9;5.5542;90.7169;35;5.1;103.5;35
0019palmer_sem1_num10;4.6596;91.3309;35;4.3;107.7;35
0021palmer_sem1_num11;4.767;90.6849;35;4.9;83.45;35
0023palmer_sem1_num12;5.1906;96.3584;35;4.2;113.2;35
0025palmer_sem1_num13;4.9342;90.3351;35;4.5;80.8;35
0027palmer_sem1_num14;4.743;93.8544;35;4.2;95.4;35
0029palmer_sem1_num15;4.4086;87.401;35;6;100;35
0031palmer_sem1_num16;4.347;90.1015;35;4.2;102.35;35
0033palmer_sem1_num17;4.9602;91.9091;35;5.2;87.95;35
0035palmer_sem1_num18;4.8954;95.0948;35;5.2;88.55;35
0037palmer_sem1_num19;4.8608;93.3306;35;6.2;97.55;35
0039palmer_sem1_num20;4.5564;92.8958;35;4.5;98.8;35
0041palmer_sem1_num21;4.6656;95.3857;35;5.4;87.9;35
0043palmer_sem1_num22;4.7632;97.1006;35;3.9;102.4;35
0045palmer_sem1_num23;4.3902;89.6174;35;5;87.7;35
0047palmer_sem1_num24;4.8882;97.0172;35;4.3;93.9;35
0049palmer_sem1_num25;4.4034;98.7932;35;4.3;86.75;35
0051palmer_sem1_num26;4.5874;94.6733;35;4.2;111.9;35
0053palmer_sem1_num27;5.133;87.3889;35;5;105.7;35
0055palmer_sem1_num28;5.1988;93.1518;35;4.4;90.7;35
0057palmer_sem1_num29;4.6248;96.5645;35;5.6;78.95;35
0059palmer_sem1_num30;4.7592;92.9462;35;4.5;93.5;35
0061palmer_sem1_num31;4.9408;100.0603;35;5.7;89.4;35
0063palmer_sem1_num32;4.9164;90.5255;35;4.2;91.6;35
0065palmer_sem1_num33;4.9094;97.2148;35;5.1;92.85;35
0067palmer_sem1_num34;4.5128;88.6487;35;4.3;97.05;35
0069palmer_sem1_num35;4.6772;93.3291;35;6;116;35
0071palmer_sem1_num36;4.8156;94.1233;35;4.3;93.8;35
0073palmer_sem1_num37;4.915;94.6336;35;6;80.9;35
0075palmer_sem1_num38;4.3366;92.3848;35;4.5;77.35;35
0077palmer_sem1_num39;5.4018;92.4615;35;4.4;82;35
0079palmer_sem1_num40;4.9522;87.3343;35;3.8;88.95;35
0081palmer_sem1_num41;5.3392;91.4091;35;5.9;97.65;35
0083palmer_sem1_num42;4.45;92.3298;35;4;99.85;35
0085palmer_sem1_num43;4.6814;89.0271;35;5.7;99.05;35
0087palmer_sem1_num44;4.5108;93.7638;35;4.2;97.2;35
0089palmer_sem1_num45;4.8324;95.2977;35;4.4;113.85;35
0091palmer_sem1_num46;4.6992;90.0622;35;4.1;83.8;35
0093palmer_sem1_num47;4.8288;96.4618;35;5;89.7;35
0095palmer_sem1_num48;4.7164;96.706;35;4.5;79.15;35
0097palmer_sem1_num49;5.0418;94.1943;35;4.3;104.5;35
0099palmer_sem1_num50;4.4982;98.8399;35;5.6;98.45;35
0101palmer_sem1_num51;4.6158;97.5764;35;4.2;91.85;35
0103palmer_sem1_num52;4.904;95.5368;35;4.2;97.75;35
0105palmer_sem1_num53;4.817;93.8379;35;5.2;100.7;35
0107palmer_sem1_num54;5.2042;96.6703;35;4.4;95.55;35
0109palmer_sem1_num55;4.92;88.3873;35;5.3;83.25;35
0111palmer_sem1_num56;5.1346;99.7132;35;4.5;84;35
0113palmer_sem1_num57;5.1586;97.5086;35;4.4;102.45;35
0115palmer_sem1_num58;5.217;90.9183;35;4.4;74.95;35
0117palmer_sem1_num59;5.1572;95.8689;35;4.2;71.4;35
0119palmer_sem1_num60;4.9598;97.1223;35;4.2;73.35;35
0121palmer_sem2_num1;4.7208;95.8136;50;6.2;104.1;50
0123palmer_sem2_num2;4.7984;113.7593;50;4.5;91.6;50
0125palmer_sem2_num3;5.0752;113.322;50;5.9;112.3;50
0127palmer_sem2_num4;4.8168;97.7487;50;4.6;93.25;50
0129palmer_sem2_num5;4.6958;123.3259;50;6;96.1;50
0131palmer_sem2_num6;4.7798;96.6175;50;4.1;120.45;50
0133palmer_sem2_num7;4.8268;105.2715;50;5.3;114.45;50
0135palmer_sem2_num8;5.1548;116.5465;50;4.2;85.75;50
0137palmer_sem2_num9;5.309;121.8985;50;5.9;97.55;50
0139palmer_sem2_num10;4.5796;99.0661;50;4.3;85.25;50
0141palmer_sem2_num11;5.2578;118.2393;50;6.1;145.2;50
0143palmer_sem2_num12;5.2074;110.9237;50;4.6;139.3;50
0145palmer_sem2_num13;4.8376;126.0121;50;6;129.85;50
0147palmer_sem2_num14;4.9468;115.5015;50;4.4;100.9;50
0149palmer_sem2_num15;4.9516;118.3787;50;6.3;117.85;50
0151palmer_sem2_num16;4.9686;100.4423;50;4.1;109;50
0153palmer_sem2_num17;4.6944;114.7858;50;6.9;108.4;50
0155palmer_sem2_num18;4.8822;118.0966;50;4.2;103.4;50
0157palmer_sem2_num19;5.5372;131.9341;50;6.3;112.25;50
0159palmer_sem2_num20;4.9912;110.8248;50;4.6;135.95;50
0161palmer_sem2_num21;5.079;116.3116;50;6.1;124.25;50
0163palmer_sem2_num22;4.8554;121.4478;50;4.5;138.15;50
0165palmer_sem2_num23;5.135;120.9572;50;6.1;138.2;50
0167palmer_sem2_num24;5.2424;131.4071;50;4.9;133.8;50
0169palmer_sem2_num25;5.4756;126.7276;50;5;152.6;50
0171palmer_sem2_num26;4.7366;109.0694;50;4.1;143.25;50
0173palmer_sem2_num27;5.1842;116.9963;50;6.2;100.1;50
0175palmer_sem2_num28;5.03;105.4224;50;4.5;129.1;50
0177palmer_sem2_num29;4.7736;125.6166;50;5.9;109.8;50
0179palmer_sem2_num30;5.124;112.9541;50;4.7;104.8;50
0181palmer_sem2_num31;5.1744;124.2202;50;4.8;101.4;50
0183palmer_sem2_num32;4.549;121.0451;50;4.5;102.05;50
0185palmer_sem2_num33;4.9058;117.033;50;4.4;99.75;50
