;sst_predict;firmeza_predict;time_predict
0001palmer_sem1_num1;5.036500000000005;90.39849999999998;35.0
0003palmer_sem1_num2;4.854999999999998;89.59549999999996;35.0
0005palmer_sem1_num3;4.8035000000000005;94.77125000000018;35.0
0007palmer_sem1_num4;4.959500000000005;97.17500000000005;35.0
0009palmer_sem1_num5;4.4069999999999965;92.80825;35.0
0011palmer_sem1_num6;4.658999999999995;99.94424999999997;35.0
0013palmer_sem1_num7;5.003000000000005;95.32425000000019;35.0
0015palmer_sem1_num8;4.9885000000000055;87.10025000000014;35.0
0017palmer_sem1_num9;5.192999999999996;82.18525000000005;35.0
0019palmer_sem1_num10;4.5569999999999995;86.59400000000004;35.0
0021palmer_sem1_num11;4.642999999999996;87.71875000000006;35.0
0023palmer_sem1_num12;4.964000000000004;99.18800000000002;35.0
0025palmer_sem1_num13;4.793499999999997;91.04975000000005;35.0
0027palmer_sem1_num14;4.5865;95.99575000000009;35.0
0029palmer_sem1_num15;4.7054999999999945;93.23000000000006;35.0
0031palmer_sem1_num16;4.3569999999999975;90.45875;35.0
0033palmer_sem1_num17;5.189500000000002;93.60350000000005;35.0
0035palmer_sem1_num18;5.028500000000005;95.52700000000013;35.0
0037palmer_sem1_num19;4.948499999999998;92.98600000000012;35.0
0039palmer_sem1_num20;4.381000000000003;91.99049999999997;35.0
0041palmer_sem1_num21;4.928000000000008;94.95274999999998;35.0
0043palmer_sem1_num22;4.6065000000000005;93.51199999999997;35.0
0045palmer_sem1_num23;4.461999999999997;87.71175000000001;35.0
0047palmer_sem1_num24;4.769500000000009;98.7582500000001;35.0
0049palmer_sem1_num25;4.791500000000003;97.13524999999996;35.0
0051palmer_sem1_num26;4.592500000000002;92.90850000000005;35.0
0053palmer_sem1_num27;5.072000000000004;89.12349999999995;35.0
0055palmer_sem1_num28;4.9470000000000045;92.89699999999995;35.0
0057palmer_sem1_num29;4.569999999999995;96.53450000000008;35.0
0059palmer_sem1_num30;4.735000000000002;94.09899999999999;35.0
0061palmer_sem1_num31;5.046499999999999;99.78950000000007;35.0
0063palmer_sem1_num32;4.858000000000005;89.55375000000011;35.0
0065palmer_sem1_num33;4.8314999999999975;96.54050000000002;35.0
0067palmer_sem1_num34;4.520499999999999;86.31775000000002;35.0
0069palmer_sem1_num35;4.870500000000003;91.5315000000001;35.0
0071palmer_sem1_num36;4.742500000000003;95.44150000000005;35.0
0073palmer_sem1_num37;4.9890000000000025;91.57350000000004;35.0
0075palmer_sem1_num38;4.630999999999997;92.00325000000012;35.0
0077palmer_sem1_num39;5.103000000000004;94.8985;35.0
0079palmer_sem1_num40;4.807000000000006;87.74575000000003;35.0
0081palmer_sem1_num41;5.199500000000003;89.226;35.0
0083palmer_sem1_num42;4.3394999999999975;99.90125000000003;35.0
0085palmer_sem1_num43;4.897000000000001;85.90600000000012;35.0
0087palmer_sem1_num44;4.705500000000002;96.16475000000004;35.0
0089palmer_sem1_num45;4.635500000000001;87.08600000000004;35.0
0091palmer_sem1_num46;4.533499999999997;86.8070000000001;35.0
0093palmer_sem1_num47;5.046500000000001;95.07850000000006;35.0
0095palmer_sem1_num48;4.43;99.55924999999996;35.0
0097palmer_sem1_num49;4.8100000000000005;96.44200000000009;35.0
0099palmer_sem1_num50;4.516500000000004;95.03375;35.0
0101palmer_sem1_num51;4.746500000000009;101.14725000000011;35.0
0103palmer_sem1_num52;4.671500000000006;90.97125000000001;35.0
0105palmer_sem1_num53;5.066000000000003;94.40674999999999;35.0
0107palmer_sem1_num54;5.030000000000003;91.74100000000011;35.0
0109palmer_sem1_num55;5.085500000000001;85.85974999999993;35.0
0111palmer_sem1_num56;4.575499999999993;97.9320000000001;35.0
0113palmer_sem1_num57;5.317499999999999;95.60850000000013;35.0
0115palmer_sem1_num58;4.792;91.45649999999995;35.0
0117palmer_sem1_num59;5.229000000000001;92.93050000000008;35.0
0119palmer_sem1_num60;5.034500000000001;99.64050000000017;35.0
0121palmer_sem2_num1;4.690500000000003;97.62049999999998;50.0
0123palmer_sem2_num2;4.774;118.304;50.0
0125palmer_sem2_num3;4.918000000000006;114.57500000000003;50.0
0127palmer_sem2_num4;5.082;97.34199999999996;50.0
0129palmer_sem2_num5;5.069000000000005;118.58449999999999;50.0
0131palmer_sem2_num6;4.883000000000003;100.9075;50.0
0133palmer_sem2_num7;5.034000000000003;114.06650000000003;50.0
0135palmer_sem2_num8;5.198;118.2930000000001;50.0
0137palmer_sem2_num9;5.500999999999996;121.5329999999999;50.0
0139palmer_sem2_num10;4.590500000000005;108.53800000000001;50.0
0141palmer_sem2_num11;5.507499999999994;120.64274999999998;50.0
0143palmer_sem2_num12;5.083000000000001;114.70674999999983;50.0
0145palmer_sem2_num13;4.959;122.5127499999998;50.0
0147palmer_sem2_num14;5.000000000000003;117.85175000000008;50.0
0149palmer_sem2_num15;4.83650000000001;118.36175000000011;50.0
0151palmer_sem2_num16;5.0485;100.87549999999989;50.0
0153palmer_sem2_num17;4.617000000000007;120.61050000000004;50.0
0155palmer_sem2_num18;4.8545;115.90724999999995;50.0
0157palmer_sem2_num19;5.651;130.22775000000013;50.0
0159palmer_sem2_num20;5.244999999999997;112.55849999999988;50.0
0161palmer_sem2_num21;5.1049999999999995;117.83699999999993;50.0
0163palmer_sem2_num22;4.743000000000002;125.40450000000008;50.0
0165palmer_sem2_num23;5.2545;126.00049999999993;50.0
0167palmer_sem2_num24;5.656999999999996;128.80875;50.0
0169palmer_sem2_num25;5.453500000000004;125.37824999999982;50.0
0171palmer_sem2_num26;4.732000000000004;109.27099999999993;50.0
0173palmer_sem2_num27;5.370999999999997;114.17674999999996;50.0
0175palmer_sem2_num28;5.028000000000002;104.8145;50.0
0177palmer_sem2_num29;5.2635000000000005;113.67199999999997;50.0
0179palmer_sem2_num30;5.040499999999997;117.74500000000003;50.0
0181palmer_sem2_num31;4.876000000000002;123.33874999999993;50.0
0183palmer_sem2_num32;4.637000000000005;118.71425000000005;50.0
0185palmer_sem2_num33;4.957000000000004;118.42450000000004;50.0
0187palmer_sem2_num34;4.890500000000006;118.76424999999993;50.0
0189palmer_sem2_num35;5.006500000000003;120.91125000000002;50.675
0191palmer_sem2_num36;5.331999999999999;120.29399999999998;50.0
0193palmer_sem2_num37;5.449;115.16449999999995;50.0
0195palmer_sem2_num38;4.931999999999994;104.27500000000005;50.0
0197palmer_sem2_num39;5.235999999999997;114.62674999999994;50.0
0199palmer_sem2_num40;5.488000000000005;126.41624999999988;50.0
0201palmer_sem2_num41;5.428999999999997;116.22624999999995;50.0
0203palmer_sem2_num42;5.047500000000002;122.88625000000003;50.0
0205palmer_sem2_num43;5.297999999999993;125.09575000000004;54.05
0207palmer_sem2_num44;4.812000000000004;121.34600000000009;50.0
0209palmer_sem2_num45;4.695500000000007;122.08550000000012;50.0
0211palmer_sem2_num46;5.284499999999996;131.67300000000012;50.15
0213palmer_sem2_num47;5.113499999999994;122.45225000000003;51.125
0215palmer_sem2_num48;5.030500000000006;121.91025000000002;50.0
0217palmer_sem2_num49;5.454499999999999;119.70049999999992;50.0
0219palmer_sem2_num50;5.4105000000000025;117.88599999999998;50.0
0221palmer_sem2_num51;5.268;125.74249999999998;50.0
0223palmer_sem2_num52;4.960499999999997;119.76700000000007;50.0
0225palmer_sem2_num53;5.142000000000007;114.03824999999999;50.0
0227palmer_sem2_num54;5.0654999999999974;110.31525000000006;50.0
0229palmer_sem2_num55;5.081999999999999;108.32200000000012;50.0
0231palmer_sem2_num56;4.875500000000001;117.94024999999998;50.0
0233palmer_sem2_num57;5.388499999999998;123.98324999999996;50.375
0235palmer_sem2_num58;5.645499999999991;121.06625;50.0
0237palmer_sem2_num59;5.158999999999996;120.73224999999996;50.0
0239palmer_sem2_num60;5.304499999999998;123.08950000000013;50.0
0241palmer_sem3_num1;5.1904999999999974;117.04224999999998;65.075
0243palmer_sem3_num2;5.171500000000002;128.10724999999996;65.0
0245palmer_sem3_num3;5.298499999999998;119.52124999999998;65.0
0247palmer_sem3_num4;5.4849999999999905;124.90800000000014;65.0
0249palmer_sem3_num5;4.984;117.33175000000008;65.0
0251palmer_sem3_num6;4.888000000000002;120.93125;65.0
0253palmer_sem3_num7;5.438499999999998;116.6312499999999;69.8
0255palmer_sem3_num8;5.207000000000004;128.83450000000013;65.0
0257palmer_sem3_num9;5.2769999999999975;126.30799999999994;65.225
0259palmer_sem3_num10;5.360499999999997;128.3767500000001;65.0
0261palmer_sem3_num11;5.296000000000001;121.99650000000013;65.0
0263palmer_sem3_num12;5.3130000000000015;126.12725000000002;65.0
0265palmer_sem3_num13;5.330500000000001;118.9045000000001;65.0
0267palmer_sem3_num14;5.455499999999997;125.61675000000001;65.0
0269palmer_sem3_num15;5.239;124.32600000000002;65.075
0271palmer_sem3_num16;5.452999999999998;117.63875000000007;65.0
0273palmer_sem3_num17;5.2215000000000025;118.06850000000007;65.0
0275palmer_sem3_num18;5.239499999999998;119.90125000000008;65.0
0277palmer_sem3_num19;5.281499999999998;126.95650000000003;65.0
0279palmer_sem3_num20;5.328999999999997;125.20649999999995;65.0
0281palmer_sem3_num21;5.385500000000002;123.20224999999999;65.075
0283palmer_sem3_num22;5.580499999999998;121.99900000000012;65.0
0285palmer_sem3_num23;5.395499999999995;121.821;79.25
0287palmer_sem3_num24;5.769999999999995;115.99500000000008;74.6
0289palmer_sem3_num25;5.591999999999998;126.66100000000013;65.0
0291palmer_sem3_num26;5.596000000000004;128.8657500000001;65.15
0293palmer_sem3_num27;5.044999999999996;124.25450000000001;65.0
0295palmer_sem3_num28;5.427499999999991;121.44849999999997;69.65
0297palmer_sem3_num29;5.133500000000002;126.52174999999995;65.0
0299palmer_sem3_num30;5.145500000000003;118.98599999999999;65.0
0301palmer_sem3_num31;5.226999999999997;124.33499999999997;65.0
0303palmer_sem3_num32;5.047000000000003;124.22349999999993;65.0
0305palmer_sem3_num33;5.391499999999991;124.16650000000007;65.0
0307palmer_sem3_num34;5.3934999999999995;120.80275000000002;65.0
0309palmer_sem3_num35;5.066000000000006;122.46075000000006;65.075
0311palmer_sem3_num36;5.639499999999995;126.38200000000008;65.0
