;sst_predict;firmeza_predict;time_predict;sst_real;firmeza_real;time_real
0001palmer_sem1_num1;5.133000000000002;98.39900000000002;35.0;6.2;86.8;35
0003palmer_sem1_num2;4.880000000000004;91.34874999999984;35.0;4.5;86.75;35
0005palmer_sem1_num3;4.881000000000004;91.62050000000012;35.0;5.3;98.45;35
0007palmer_sem1_num4;4.695500000000004;103.25150000000009;35.0;4.4;95.9;35
0009palmer_sem1_num5;4.532999999999999;94.56475000000002;35.0;5.5;120.0;35
0011palmer_sem1_num6;4.687999999999997;100.25299999999996;35.0;3.9;75.45;35
0013palmer_sem1_num7;4.9655000000000085;92.07774999999997;35.0;5.2;95.25;35
0015palmer_sem1_num8;4.913500000000003;87.10675000000016;35.0;4.3;83.2;35
0017palmer_sem1_num9;5.042499999999997;83.93875000000004;35.0;5.1;103.5;35
0019palmer_sem1_num10;5.1754999999999995;87.59150000000001;35.0;4.3;107.7;35
0021palmer_sem1_num11;4.964000000000003;88.76674999999999;35.0;4.9;83.45;35
0023palmer_sem1_num12;4.870500000000006;95.19325000000006;35.0;4.2;113.2;35
0025palmer_sem1_num13;5.027499999999994;90.73300000000003;35.0;4.5;80.8;35
0027palmer_sem1_num14;4.870999999999999;89.88400000000003;35.0;4.2;95.4;35
0029palmer_sem1_num15;4.4354999999999976;88.16800000000005;35.0;6.0;100.0;35
0031palmer_sem1_num16;4.531999999999994;86.67024999999995;35.0;4.2;102.35;35
0033palmer_sem1_num17;5.329000000000001;91.21800000000005;35.0;5.2;87.95;35
0035palmer_sem1_num18;5.050000000000008;95.37550000000002;35.0;5.2;88.55;35
0037palmer_sem1_num19;4.569999999999997;91.32125000000009;35.0;6.2;97.55;35
0039palmer_sem1_num20;4.604500000000003;93.33050000000007;35.0;4.5;98.8;35
0041palmer_sem1_num21;4.459500000000004;93.13725000000001;35.0;5.4;87.9;35
0043palmer_sem1_num22;4.825500000000004;96.49974999999986;35.0;3.9;102.4;35
